V4	Fisher_dis2Del_r1_pr_counts	Fisher_dis2Del_r1gb_counts	Fisher_dis2Del_r1term_counts	Fisher_dis2Del_r1pr_map	Fisher_dis2Del_r1gb_map	Fisher_dis2Del_r1term_map	Fisher_dis2Del_r1pr_density	Fisher_dis2Del_r1pr_densityRPKM	Fisher_dis2Del_r1gb_density	Fisher_dis2Del_r1gb_densityRPKM	Fisher_dis2Del_r1pause_index_CI_low	Fisher_dis2Del_r1pause_index_CI_high	Fisher_dis2Del_r1pause_index_scaled	Fisher_dis2Del_r1pause_index_CI_low_scaled	Fisher_dis2Del_r1pause_index_CI_high_scaled	Fisher_dis2Del_r1_ExpPR	Fisher_dis2Del_r1_ExpGB	Fisher_dis2Del_r1Fexact_Pval
SPAC1002.01	25	17	35	100	481	300	0.25	158.944708857798	0.0353430353430353	22.4703538509985	0.765111921776086	2.84359879073216	7.07352941176471	3.68018834374297	13.6777101834217	4	121	3.71872136131867e-05
SPAC1002.02	12	73	19	100	837	300	0.12	76.293460251743	0.0872162485065711	55.4502449061852	0.0848492129597838	0.311526600579241	1.3758904109589	0.710187912473391	2.60747764684825	8	104	1
SPAC1002.03c	5	172	31	100	2955	300	0.05	31.7889417715596	0.0582064297800338	37.0064161401573	0.010556059511701	0.0732088417308471	0.859011627906977	0.311931558570766	2.16332127314653	5	100	1
SPAC1002.04c	11	47	7	100	641	300	0.11	69.9356718974311	0.0733229329173167	46.617168900571	0.114649474776915	0.466577754997097	1.50021276595745	0.734903133320025	2.99076340953139	7	104	1
SPAC1002.05c	5	78	72	100	2086	300	0.05	31.7889417715596	0.037392138063279	23.7731299921539	0.022901661609946	0.164381818503692	1.33717948717949	0.477728661183473	3.42900473398701	3	102	1
SPAC1002.06c	3	25	11	100	311	300	0.03	19.0733650629357	0.0803858520900322	51.1076234269447	0.0288991736999246	0.415829500379834	0.3732	0.0898764302067655	1.29322974618128	7	96	1
SPAC1002.07c	9	39	7	100	1084	300	0.09	57.2200951888072	0.0359778597785978	22.8739617913436	0.104212986988898	0.494868058877077	2.50153846153846	1.12966877895966	5.36436975822752	3	106	1
SPAC1002.08c	14	137	28	100	1783	300	0.14	89.0090369603668	0.0768367919237241	48.8512060875341	0.0565342474645058	0.181369721526874	1.82204379562044	1.00800563229214	3.23382213482417	8	106	1
SPAC1002.09c	5	250	34	100	2132	300	0.05	31.7889417715596	0.117260787992495	74.5519272316125	0.00729363125667449	0.0501307147056246	0.4264	0.1555002183923	1.06878683752392	11	94	1
SPAC1002.10c	9	37	25	100	1806	300	0.09	57.2200951888072	0.0204872646733112	13.0253692751684	0.109412337320634	0.523875714264458	4.39297297297297	1.97598681201065	9.46119539961611	2	107	1
SPAC1002.11	5	91	21	100	1871	300	0.05	31.7889417715596	0.048637092463923	30.9224340054722	0.0197130691508831	0.14023665256983	1.02802197802198	0.368831523813023	2.62382776958152	4	101	1
SPAC1002.12c	14	59	15	100	1692	300	0.14	89.0090369603668	0.0348699763593381	22.1695929612531	0.126707735952617	0.437121452202751	4.01491525423729	2.14389489231828	7.39609497127055	3	111	0.523744640089235
SPAC1002.13c	112	1279	273	100	1829	300	1.12	712.072295682935	0.699289229086933	444.593291698466	0.0718315218965644	0.106667277162937	1.60162627052385	1.31379853548816	1.95094449931011	87	125	1
SPAC1002.14	4	94	33	100	1485	300	0.04	25.4311534172477	0.0632996632996633	40.2445862158465	0.0133309501288773	0.120019487456165	0.631914893617021	0.197964609413828	1.78228938872404	6	98	1
SPAC1002.15c	2	120	7	100	2754	300	0.02	12.7155767086238	0.0435729847494553	27.7027815002698	0.00285266339511756	0.0682465855228701	0.459	0.0785623499015376	1.87951096529984	4	98	1
SPAC1002.16c	4	49	3	100	1906	300	0.04	25.4311534172477	0.0257082896117524	16.3447864302877	0.0250677867183047	0.23557808869923	1.55591836734694	0.477792014850888	4.49011837060733	2	102	1
SPAC1002.17c	2	49	19	100	990	300	0.02	12.7155767086238	0.0494949494949495	31.4678413496246	0.00686844659684507	0.170826937731834	0.404081632653061	0.0679976213087662	1.69118668354516	4	98	1
SPAC1002.18	5	34	13	100	1505	300	0.05	31.7889417715596	0.0225913621262458	14.3631099034289	0.0506159886425307	0.393324464431894	2.21323529411765	0.761770629070087	5.9195331897	2	103	1
SPAC1002.19	2	105	26	100	1563	300	0.02	12.7155767086238	0.0671785028790787	42.7106703264716	0.0032546875071055	0.078164564689363	0.297714285714286	0.050870765736059	1.22171214609474	6	96	1
SPAC1002.20	0	3	25	100	548	300	0	0	0.00547445255474453	3.48054106987879	0.0327971598819604	2.22593021867193	0	0.179728436153143	12.1980975983222	0	100	1
SPAC1006.01	25	179	85	100	1664	300	0.25	158.944708857798	0.107572115384615	68.3920742441005	0.0897649488428771	0.215692544852256	2.32402234636871	1.49368874874547	3.58912394634154	12	113	1
SPAC1006.02	80	113	19	100	1217	300	0.8	508.623068344953	0.0928512736236647	59.0328746127565	0.526386783583776	0.951666807594141	8.61592920353982	6.40612715621456	11.5817850484207	15	165	5.4138724706927e-27
SPAC1006.03c	20	273	46	100	2770	300	0.2	127.155767086238	0.0985559566787004	62.6597913619911	0.0452146047449157	0.117416482598179	2.02930402930403	1.25244455143416	3.25243656796955	10	110	1
