V4	Fisher_dis2_11_r2_pr_counts	Fisher_dis2_11_r2gb_counts	Fisher_dis2_11_r2term_counts	Fisher_dis2_11_r2pr_map	Fisher_dis2_11_r2gb_map	Fisher_dis2_11_r2term_map	Fisher_dis2_11_r2pr_density	Fisher_dis2_11_r2pr_densityRPKM	Fisher_dis2_11_r2gb_density	Fisher_dis2_11_r2gb_densityRPKM	Fisher_dis2_11_r2pause_index_CI_low	Fisher_dis2_11_r2pause_index_CI_high	Fisher_dis2_11_r2pause_index_scaled	Fisher_dis2_11_r2pause_index_CI_low_scaled	Fisher_dis2_11_r2pause_index_CI_high_scaled	Fisher_dis2_11_r2_ExpPR	Fisher_dis2_11_r2_ExpGB	Fisher_dis2_11_r2Fexact_Pval
SPAC1002.01	2	13	19	100	481	300	0.02	32.1397694292941	0.027027027027027	43.4321208503975	0.0240005686740661	0.712651641747209	0.74	0.115442735322258	3.42785439680407	2	100	1
SPAC1002.02	12	22	9	100	837	300	0.12	192.838616575765	0.026284348864994	42.2386456060018	0.254746079833009	1.15189526713707	4.56545454545454	2.13222468820229	9.64136338593727	2	110	1
SPAC1002.03c	2	93	15	100	2955	300	0.02	32.1397694292941	0.0314720812182741	50.5752716907674	0.00366826053377003	0.0884470202213198	0.635483870967742	0.108397098772904	2.61360944754	3	99	1
SPAC1002.04c	5	24	2	100	641	300	0.05	80.3494235732353	0.0374414976599064	60.1680550938423	0.0698308803258869	0.574457008750159	1.33541666666667	0.447615942888935	3.68226942608852	3	102	1
SPAC1002.05c	0	42	30	100	2086	300	0	0	0.0201342281879195	32.3554725798263	0.00217558502762114	0.116531237016716	0	0.045382703676177	2.4308416041687	1	99	1
SPAC1002.06c	5	4	3	100	311	300	0.05	80.3494235732353	0.0128617363344051	20.6686620124078	0.292873678803667	5.51760650706156	3.8875	0.910837141079404	17.1597562369614	1	104	1
SPAC1002.07c	2	24	5	100	1084	300	0.02	32.1397694292941	0.022140221402214	35.5790805490341	0.0136196282081625	0.36239285157422	0.903333333333333	0.147636769776482	3.92833851106454	2	100	1
SPAC1002.08c	10	42	6	100	1783	300	0.1	160.698847146471	0.0235558048233315	37.8539067871664	0.112157616821759	0.491860651814333	4.24523809523809	1.99977030793197	8.76987542184956	2	108	1
SPAC1002.09c	2	123	9	100	2132	300	0.02	32.1397694292941	0.0576923076923077	92.710873353733	0.00278388935609129	0.0665575074137385	0.346666666666667	0.0593525210718663	1.4190060580609	5	97	1
SPAC1002.10c	0	22	22	100	1806	300	0	0	0.0121816168327796	19.5757178140773	0.00417368066078422	0.226956323474185	0	0.0753766727337631	4.09883120194378	1	99	1
SPAC1002.11	1	49	12	100	1871	300	0.01	16.0698847146471	0.0261892036344201	42.0857483173547	0.00104598122796186	0.136503271149038	0.381836734693878	0.0195703087751664	2.5539762031985	2	99	1
SPAC1002.12c	13	51	2	100	1692	300	0.13	208.908501290412	0.0301418439716312	48.4375957710993	0.132072223538628	0.483143236001389	4.31294117647059	2.23466202227359	8.17478355314351	3	110	0.492000565742217
SPAC1002.13c	46	695	126	100	1829	300	0.46	739.214696873765	0.379989065062876	610.638046838694	0.0485226730508967	0.0900013857943776	1.21056115107914	0.8874796901009	1.64612534617917	40	106	1
SPAC1002.14	0	58	10	100	1485	300	0	0	0.0390572390572391	62.7645328922242	0.00157310823633282	0.0838787505311741	0	0.0233606573095425	1.24559944538794	3	97	1
SPAC1002.15c	1	46	1	100	2754	300	0.01	16.0698847146471	0.0167029774872912	26.8414922612115	0.00111288064876816	0.145684955633947	0.598695652173913	0.0306487330670751	4.0121636781589	1	100	1
SPAC1002.16c	0	19	2	100	1906	300	0	0	0.0099685204616999	16.0192974595118	0.00484054272324269	0.264551414760663	0	0.0922607443050057	5.04234996533824	0	100	1
SPAC1002.17c	3	374	57	100	990	300	0.03	48.2096541439412	0.377777777777778	607.084533664444	0.00206162695852196	0.0257071796432131	0.0794117647058824	0.0204101068893674	0.25450107846781	28	75	1
