V4	Fisher_dis2_T316A_r2_pr_counts	Fisher_dis2_T316A_r2gb_counts	Fisher_dis2_T316A_r2term_counts	Fisher_dis2_T316A_r2pr_map	Fisher_dis2_T316A_r2gb_map	Fisher_dis2_T316A_r2term_map	Fisher_dis2_T316A_r2pr_density	Fisher_dis2_T316A_r2pr_densityRPKM	Fisher_dis2_T316A_r2gb_density	Fisher_dis2_T316A_r2gb_densityRPKM	Fisher_dis2_T316A_r2pause_index_CI_low	Fisher_dis2_T316A_r2pause_index_CI_high	Fisher_dis2_T316A_r2pause_index_scaled	Fisher_dis2_T316A_r2pause_index_CI_low_scaled	Fisher_dis2_T316A_r2pause_index_CI_high_scaled	Fisher_dis2_T316A_r2_ExpPR	Fisher_dis2_T316A_r2_ExpGB	Fisher_dis2_T316A_r2Fexact_Pval
SPAC1002.01	3	15	12	100	481	300	0.03	37.2381691233514	0.0311850311850312	38.7091155128393	0.046101519525487	0.73204421859004	0.962	0.221748308917593	3.52113269141809	3	100	1
SPAC1002.02	2	34	8	100	837	300	0.02	24.8254460822343	0.040621266427718	50.4220529746694	0.00977594851961347	0.25022499125925	0.492352941176471	0.0818246891091648	2.09438317683992	3	99	1
SPAC1002.03c	7	93	26	100	2955	300	0.07	86.88906128782	0.0314720812182741	39.0654227689981	0.0320128801890806	0.167904673308899	2.2241935483871	0.945980609587332	4.96158309627797	3	104	1
SPAC1002.04c	1	25	4	100	641	300	0.01	12.4127230411171	0.0390015600624025	48.4115563226098	0.00201502960057811	0.275223236161762	0.2564	0.0129163397397057	1.76418094379689	3	98	1
SPAC1002.05c	0	46	26	100	2086	300	0	0	0.0220517737296261	27.3722559871231	0.00198548220405956	0.106196341353302	0	0.0414171587766823	2.21525568062988	2	98	1
SPAC1002.06c	2	8	2	100	311	300	0.02	24.8254460822343	0.0257234726688103	31.9298341893689	0.0367281083767776	1.26151517249186	0.7775	0.114224417051778	3.92331218644968	2	100	1
SPAC1002.07c	3	23	3	100	1084	300	0.03	37.2381691233514	0.0212177121771218	26.3369584820751	0.0312294740718594	0.455248489725081	1.41391304347826	0.338527498938956	4.93489362861988	2	101	1
SPAC1002.08c	10	53	10	100	1783	300	0.1	124.127230411171	0.0297251822770611	36.8970454951884	0.0902264209073053	0.383503153537424	3.36415094339623	1.60873708477725	6.83786122757227	3	107	1
SPAC1002.09c	0	137	19	100	2132	300	0	0	0.0642589118198874	79.7628075343832	0.000664511088987998	0.0351903629847887	0	0.0141673764172241	0.750258538835695	6	94	1
SPAC1002.10c	0	28	22	100	1806	300	0	0	0.0155038759689922	19.2445318466932	0.00327211992868732	0.176722244865318	0	0.0590944859120931	3.19160374226764	1	99	1
