V4	Fisher_dis2_T316D_r1_pr_counts	Fisher_dis2_T316D_r1gb_counts	Fisher_dis2_T316D_r1term_counts	Fisher_dis2_T316D_r1pr_map	Fisher_dis2_T316D_r1gb_map	Fisher_dis2_T316D_r1term_map	Fisher_dis2_T316D_r1pr_density	Fisher_dis2_T316D_r1pr_densityRPKM	Fisher_dis2_T316D_r1gb_density	Fisher_dis2_T316D_r1gb_densityRPKM	Fisher_dis2_T316D_r1pause_index_CI_low	Fisher_dis2_T316D_r1pause_index_CI_high	Fisher_dis2_T316D_r1pause_index_scaled	Fisher_dis2_T316D_r1pause_index_CI_low_scaled	Fisher_dis2_T316D_r1pause_index_CI_high_scaled	Fisher_dis2_T316D_r1_ExpPR	Fisher_dis2_T316D_r1_ExpGB	Fisher_dis2_T316D_r1Fexact_Pval
SPAC1002.01	80	62	123	100	481	300	0.8	284.588534781699	0.128898128898129	45.8536620490264	0.914618383415021	1.82148577399725	6.20645161290323	4.39931442422625	8.76134657292675	20	160	5.50416182696724e-16
SPAC1002.02	59	131	52	100	837	300	0.59	209.884044401503	0.156511350059737	55.6766697377578	0.32732593021463	0.618787748710523	3.76969465648855	2.73971803589645	5.17925345670708	21	138	9.68761019252806e-08
SPAC1002.03c	46	373	30	100	2955	300	0.46	163.638407499477	0.126226734348562	44.90335172317	0.0896575191857109	0.169124969442605	3.64423592493298	2.64937969193776	4.99764284702898	16	130	9.79357824056714e-07
SPAC1002.04c	88	54	10	100	641	300	0.88	313.047388259869	0.0842433697347894	29.9683714473708	1.14661819837195	2.31900269451544	10.4459259259259	7.34982265156419	14.8648072718439	14	174	3.58415682561877e-28
SPAC1002.05c	9	112	219	100	2086	300	0.09	32.0162101629412	0.0536912751677852	19.0999016632013	0.0381326937118968	0.163351528882904	1.67625	0.795447990830168	3.40751289249739	5	104	1
SPAC1002.06c	5	34	12	100	311	300	0.05	17.7867834238562	0.109324758842444	38.8907161679171	0.0506159886425307	0.393324464431894	0.457352941176471	0.15741572467827	1.22323908438319	10	95	1
SPAC1002.07c	35	46	10	100	1084	300	0.35	124.507483966993	0.0424354243542435	15.0957940497673	0.479305715111615	1.20596116107347	8.24782608695652	5.1956739518099	13.0726189860364	5	130	1.76573013493778e-11
SPAC1002.08c	27	153	83	100	1783	300	0.27	96.0486304888235	0.0858104318564218	30.5258313387549	0.114637040470862	0.269910642380505	3.14647058823529	2.04397843159546	4.8125067536444	10	117	0.0352798539767169
SPAC1002.09c	16	382	44	100	2132	300	0.16	56.9177069563398	0.179174484052533	63.7387548584716	0.0245166552386444	0.070455581813511	0.892984293193717	0.522695089687898	1.50211300426406	17	99	1
SPAC1002.10c	10	44	65	100	1806	300	0.1	35.5735668477124	0.0243632336655592	8.66687121428209	0.107409694523693	0.467847955507168	4.10454545454545	1.9398190830979	8.44933407645946	2	108	1
SPAC1002.11	9	126	51	100	1871	300	0.09	32.0162101629412	0.0673436664885088	23.9565442159902	0.0339995603994072	0.144728979665624	1.33642857142857	0.636131775072908	2.70787920954383	6	103	1
SPAC1002.12c	98	113	22	100	1692	300	0.98	348.620955107582	0.0667848699763593	23.757760365198	0.655885251280002	1.14653083004767	14.673982300885	11.0975784516576	19.3993016444065	12	186	9.02822038820014e-48
SPAC1002.13c	297	2116	744	100	1829	300	2.97	1056.53493537706	1.156916347731	411.5564103322	0.124067034724991	0.158762442306325	2.56716918714556	2.26918606512008	2.90376506978269	212	185	5.20810831089819e-13
SPAC1002.14	20	157	81	100	1485	300	0.2	71.1471336954248	0.105723905723906	37.609764276706	0.0776693684116039	0.206751186696242	1.89171974522293	1.15339012091232	3.07025512243919	11	109	1
SPAC1002.15c	4	154	8	100	2754	300	0.04	14.229426739085	0.055918663761801	19.8922632336518	0.00820751200556608	0.0725444917480232	0.715324675324675	0.22603488063329	1.99787530274056	5	99	1
SPAC1002.16c	7	82	10	100	1906	300	0.07	24.9014967933987	0.0430220356768101	15.3044726207367	0.0361655803836649	0.191238612611053	1.62707317073171	0.689315962112652	3.64500795636666	4	103	1
SPAC1002.17c	1	103	54	100	990	300	0.01	3.55735668477124	0.104040404040404	37.0108826799432	0.000502381202177598	0.0639453086296244	0.0961165048543689	0.00497357390155822	0.633058555433282	9	92	1
SPAC1002.18	5	79	28	100	1505	300	0.05	17.7867834238562	0.0524916943521595	18.6731679798623	0.0226202098337309	0.162233403369686	0.95253164556962	0.340434157997649	2.44161272071377	5	100	1
SPAC1002.19	2	200	60	100	1563	300	0.02	7.11471336954248	0.127959053103007	45.519599293298	0.00171973528566965	0.040701161707785	0.1563	0.0268794625150167	0.636159157492679	11	91	1
SPAC1002.20	1	23	46	100	548	300	0.01	3.55735668477124	0.041970802919708	14.930511633164	0.00218361377637716	0.300664882990147	0.238260869565217	0.0119662034945468	1.64764355878601	4	97	1
SPAC1006.01	112	509	307	100	1664	300	1.12	398.423948694379	0.305889423076923	108.815778398351	0.178356948302976	0.271265443929739	3.66145383104126	2.96785961976152	4.51385698699085	49	163	1.36766879015216e-14
SPAC1006.02	234	221	37	100	1217	300	2.34	832.42146423647	0.181594083812654	64.5994927965854	0.87737951492047	1.27782067522849	12.8858823529412	10.6777086965821	15.5510776175307	51	283	5.68571170706129e-80
SPAC1006.03c	66	583	33	100	2770	300	0.66	234.785541194902	0.210469314079422	74.8714421379651	0.0870119210753929	0.14703158602818	3.13584905660377	2.41023021378838	4.07277493298058	28	138	2.47056990480848e-07
SPAC1006.04c	14	178	73	100	3993	300	0.14	49.8029935867974	0.0445780115201603	15.8579887275052	0.0437915345107911	0.138665085150883	3.14056179775281	1.74859597301589	5.53689685007476	4	110	1
SPAC1006.05c	171	319	34	100	2032	300	1.71	608.307993095882	0.156988188976378	55.8462983485249	0.443240767204814	0.648126139503734	10.892539184953	9.00665238960181	13.1699231547159	36	235	1.1306777714705e-63
SPAC1006.06	35	721	56	100	4139	300	0.35	124.507483966993	0.174196665861319	61.9679673766626	0.0340370642262356	0.0689049521185071	2.00922330097087	1.40879408832389	2.85197596818501	20	115	1
SPAC1006.07	588	981	479	100	1302	300	5.88	2091.72573064549	0.753456221198157	268.031252516174	0.540425301985825	0.664761193703127	7.80403669724771	7.03633743185544	8.65519074201472	295	393	3.45312934750683e-89
SPAC1006.08	9	69	176	100	1457	300	0.09	32.0162101629412	0.0473575840768703	16.8467818290471	0.0608590505090531	0.269990454762479	1.9004347826087	0.886716365916904	3.93376092588932	4	105	1
SPAC1006.09	131	1210	87	100	4844	300	1.31	466.013725705033	0.249793559042114	88.8604787071264	0.0900173154454208	0.130129014699102	5.2443305785124	4.36043876017618	6.30344947202448	46	185	3.36149558329885e-29
SPAC1039.01	3	254	48	100	2977	300	0.03	10.6720700543137	0.0853207927443735	30.3516492419179	0.00302871034627395	0.0379537552100958	0.351614173228346	0.0901647070085756	1.12988329260455	8	95	1
SPAC1039.02	5	114	78	100	2733	300	0.05	17.7867834238562	0.0417124039517014	14.8385899035463	0.0158169895417482	0.111304905378209	1.19868421052632	0.432278324175978	3.04196306398646	4	101	1
SPAC1039.03	13	105	23	100	1499	300	0.13	46.2456369020261	0.0700466977985324	24.918108865976	0.0664584530372583	0.226054361116808	1.85590476190476	0.996212211028502	3.38855487314095	7	106	1
SPAC1039.04	6	161	26	100	1844	300	0.06	21.3441401086274	0.0873101952277657	31.0593506642175	0.0149072951774369	0.0870619202374237	0.687204968944099	0.274890523071937	1.60542180917809	8	98	1
SPAC1039.05c	7	143	36	100	3153	300	0.07	24.9014967933987	0.0453536314620996	16.1339044060351	0.0210349508945039	0.107987760245594	1.54342657342657	0.663232001703709	3.40485408054357	4	103	1
SPAC1039.06	8	93	56	100	1966	300	0.08	28.4588534781699	0.0473041709053917	16.8277808587856	0.0387460919091848	0.182982003556164	1.69118279569892	0.761748166934572	3.59742618991418	4	104	1
SPAC1039.07c	11	79	21	100	1430	300	0.11	39.1309235324836	0.0552447552447552	19.6525299368481	0.0701354838512572	0.269449633465892	1.99113924050633	1.00293741907298	3.85312975856226	5	106	1
SPAC1039.08	3	33	10	100	995	300	0.03	10.6720700543137	0.0331658291457286	11.7982684017539	0.0222566461165473	0.308749155677299	0.904545454545455	0.221453628859646	3.07205409898912	3	100	1
