CDK9as_dis2ts_3MBPP1_30C_combined_pr_counts	CDK9as_dis2ts_3MBPP1_30C_combinedgb_counts	CDK9as_dis2ts_3MBPP1_30C_combinedterm_counts	CDK9as_dis2ts_3MBPP1_30C_combinedpr_map	CDK9as_dis2ts_3MBPP1_30C_combinedgb_map	CDK9as_dis2ts_3MBPP1_30C_combinedterm_map	CDK9as_dis2ts_3MBPP1_30C_combinedpr_density	CDK9as_dis2ts_3MBPP1_30C_combinedpr_densityRPKM	CDK9as_dis2ts_3MBPP1_30C_combinedgb_density	CDK9as_dis2ts_3MBPP1_30C_combinedgb_densityRPKM	CDK9as_dis2ts_3MBPP1_30C_combinedpause_index_CI_low	CDK9as_dis2ts_3MBPP1_30C_combinedpause_index_CI_high	CDK9as_dis2ts_3MBPP1_30C_combinedpause_index_scaled	CDK9as_dis2ts_3MBPP1_30C_combinedpause_index_CI_low_scaled	CDK9as_dis2ts_3MBPP1_30C_combinedpause_index_CI_high_scaled	CDK9as_dis2ts_3MBPP1_30C_combined_ExpPR	CDK9as_dis2ts_3MBPP1_30C_combined_ExpGB	CDK9as_dis2ts_3MBPP1_30C_combinedFexact_Pval
SPAC212.08c	0	3	4	0	437	300	NA	NA	0.0068649885583524	1.4825232692516	0.0327971598819604	2.22593021867193	NA	NA	NA	0	0	1
SPAC212.07c	0	5	1	100	690	300	0	0	0.0072463768115942	1.56488567309891	0.0190383591688732	1.16008855872718	0	0.131364678265225	8.00461105521756	0	100	1
SPAC212.06c	0	1	0	20	55	0	0	0	0.0181818181818182	3.92644041613908	0.120791776113059	17.3080587281839	0	0.332177384310912	47.5971615025058	0	20	1
SPAC212.04c	0	46	0	0	598	35	NA	NA	0.0769230769230769	16.6118632990499	0.00198548220405956	0.106196341353302	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.02	0	1	0	0	166	0	NA	NA	0.00602409638554217	1.30092905354006	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	356	8	100	2712	300	0	0	0.131268436578171	28.3479732109156	0.000255469298199813	0.0134872603082361	0	0.00692832736717894	0.365774499559363	11	89	1
SPNCRNA.19	2	13	5	100	225	300	0.02	4.31908445775298	0.0577777777777778	12.4773551001753	0.0240005686740661	0.712651641747209	0.346153846153846	0.0540012795166486	1.60346619393122	5	97	1
SPAC977.11	16	23	0	100	105	0	0.16	34.5526756620239	0.219047619047619	47.3042583468184	0.350996988526575	1.3700879449501	0.730434782608696	0.368546837952903	1.4385923421976	20	96	1
SPAC977.12	0	47	18	0	377	300	NA	NA	0.124668435013263	26.9226750019085	0.00194303656715677	0.1038928146097	NA	NA	NA	0	0	1
SPAC977.15	3	20	0	100	712	300	0.03	6.47862668662948	0.0280898876404494	6.06612985639464	0.0355268249310211	0.530617317909897	1.068	0.25295099350887	3.77799530351847	2	101	1
SPAC977.17	30	664	15	100	3396	300	0.3	64.7862668662948	0.195524146054181	42.224265016902	0.0307652995158231	0.0659534133979591	1.53433734939759	1.04478957155735	2.23977791899469	21	109	1
SPNCRNA.137	2	4	3	100	155	300	0.02	4.31908445775298	0.0258064516129032	5.57301220355224	0.0638181358093923	3.14803144559117	0.775	0.098918110504558	4.87944874066631	2	100	1
SPAC1F8.01	5	143	4	100	1598	300	0.05	10.7977111443825	0.0894868585732165	19.3250650018359	0.0126617784660798	0.0883250751188701	0.558741258741259	0.202335219887954	1.41143470039954	8	97	1
SPNCRNA.139	0	10	15	100	685	300	0	0	0.0145985401459854	3.15261639252043	0.00929728784483565	0.525639636497703	0	0.0636864217371242	3.60063151000927	1	99	1
SPNCRNA.605	0	246	15	100	2889	300	0	0	0.0851505711318795	18.3886254172245	0.000369806854100381	0.019540401183028	0	0.01068372001496	0.564522190177678	7	93	1
SPAC1F8.05	3	120	33	100	977	300	0.03	6.47862668662948	0.122824974411464	26.524571900223	0.00636038402738005	0.0810857515748881	0.24425	0.062140951947503	0.792207792886657	11	92	1
SPAC1F8.06	4	263	22	100	1314	300	0.04	8.63816891550597	0.200152207001522	43.2237143222616	0.00483311894806094	0.0422081327136607	0.199847908745247	0.0635071829775208	0.554614863857502	17	87	1
SPAC1F8.08	5	64	10	100	957	300	0.05	10.7977111443825	0.0668756530825496	14.442079691546	0.0277326661996524	0.201785321431333	0.74765625	0.265401615530673	1.93108552609786	6	99	1
SPAC11D3.19	32	129	3	100	1210	300	0.32	69.1053513240477	0.106611570247934	23.0232188037246	0.165191136303688	0.37076170809773	3.0015503875969	1.99881274927463	4.48621666798253	12	120	0.0237768863109376
SPNCRNA.608	1	205	1	100	2549	300	0.01	2.15954222887649	0.080423695566889	17.3678366779004	0.000253515111100293	0.0319061002040961	0.124341463414634	0.00646210018194646	0.813286494202409	7	94	1
SPAC11D3.05	57	769	2	100	1753	300	0.57	123.09390704596	0.438676554478038	94.7340544213361	0.0560877228318371	0.097736189974172	1.29936280884265	0.983217781242105	1.71331541024724	47	110	1
SPAC11D3.06	12	279	15	100	1521	300	0.12	25.9145067465179	0.183431952662722	39.6129047900422	0.0230023347277471	0.0785245533290919	0.654193548387097	0.349865511209034	1.19435845613549	17	95	1
SPAC11D3.09	2	94	9	100	1729	300	0.02	4.31908445775298	0.0543666859456333	11.7407154143661	0.00362982371442338	0.0874879634222898	0.367872340425532	0.0627596520223802	1.51266688757139	5	97	1
SPAC11D3.10	1	178	0	100	4126	300	0.01	2.15954222887649	0.043141056713524	9.31649337712107	0.000291775029982894	0.0367849157743496	0.231797752808989	0.0120386377370942	1.51774562484967	4	97	1
SPAC11D3.13	1	131	26	100	920	300	0.01	2.15954222887649	0.142391304347826	30.7500034763935	0.000395739096181285	0.050127696196004	0.0702290076335878	0.00364079968486782	0.461174805003237	12	89	1
SPNCRNA.609	20	124	2	100	4138	300	0.2	43.1908445775298	0.0299661672305462	6.47132035719393	0.0976064889236557	0.263806902229797	6.6741935483871	4.03895651166087	10.916329614269	3	117	6.90367905805642e-06
