Mcs6as_Cdk9as_3MBPP1r1_pr_counts	Mcs6as_Cdk9as_3MBPP1r1gb_counts	Mcs6as_Cdk9as_3MBPP1r1term_counts	Mcs6as_Cdk9as_3MBPP1r1pr_map	Mcs6as_Cdk9as_3MBPP1r1gb_map	Mcs6as_Cdk9as_3MBPP1r1term_map	Mcs6as_Cdk9as_3MBPP1r1pr_density	Mcs6as_Cdk9as_3MBPP1r1pr_densityRPKM	Mcs6as_Cdk9as_3MBPP1r1gb_density	Mcs6as_Cdk9as_3MBPP1r1gb_densityRPKM	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_low	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_high	Mcs6as_Cdk9as_3MBPP1r1pause_index_scaled	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_low_scaled	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_high_scaled	Mcs6as_Cdk9as_3MBPP1r1_ExpPR	Mcs6as_Cdk9as_3MBPP1r1_ExpGB	Mcs6as_Cdk9as_3MBPP1r1Fexact_Pval
SPAC212.08c	0	1	4	0	437	300	NA	NA	0.0022883295194508	0.504396749545282	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC212.07c	0	2	0	100	690	300	0	0	0.00289855072463768	0.638902549424024	0.0514242900386907	4.05388820080272	0	0.354827601266966	27.9718285855388	0	100	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	39	0	0	598	35	NA	NA	0.0652173913043478	14.3753073620405	0.00234390037330292	0.125706278271577	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.02	0	2	1	0	166	0	NA	NA	0.0120481927710843	2.65567927170227	0.0514242900386907	4.05388820080272	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	309	6	100	2712	300	0	0	0.113938053097345	25.1143828471047	0.000294355059708387	0.0155447430120645	0	0.00798290921929144	0.421573430487189	10	90	1
SPNCRNA.19	0	2	3	100	225	300	0	0	0.00888888888888889	1.95930115156701	0.0514242900386907	4.05388820080272	0	0.115704652587054	9.12124845180613	0	100	1
SPAC977.11	19	31	0	100	105	0	0.19	41.8800621147448	0.295238095238095	65.0767882484756	0.333298405287308	1.12029338889555	0.643548387096774	0.349963325551673	1.17630805834033	27	92	1
SPAC977.12	0	124	57	0	377	300	NA	NA	0.328912466843501	72.4993396932619	0.000734302771695339	0.0389067364682754	NA	NA	NA	0	0	1
SPAC977.15	3	18	1	100	712	300	0.03	6.61264138653865	0.0252808988764045	5.57245060663369	0.0391154601316705	0.596338298527623	1.18666666666667	0.278502076137494	4.24592868551668	2	101	1
SPAC977.17	16	651	6	100	3396	300	0.16	35.2674207282061	0.191696113074205	42.253921698436	0.0144512114106257	0.0411503101073797	0.834654377880184	0.490763139504849	1.39746453124662	18	98	1
SPNCRNA.137	4	0	21	100	155	300	0.04	8.81685518205153	0	0	0.655007235805828	41.512102956422	NA	1.01526121549903	64.343759582454	0	104	1
SPAC1F8.01	0	6	0	100	1598	300	0	0	0.00375469336670839	0.827614691681933	0.0157393406208896	0.93492067967121	0	0.251514663121815	14.9400324611459	0	100	1
SPNCRNA.139	0	1	13	100	685	300	0	0	0.00145985401459854	0.321783035841297	0.120791776113059	17.3080587281839	0	0.827423666374453	118.56020228806	0	100	1
SPNCRNA.605	1	212	21	100	2889	300	0.01	2.20421379551288	0.0733817930079612	16.1749160487619	0.000245179928673997	0.0308454509491701	0.13627358490566	0.00708324813939176	0.891125077921523	6	95	1
SPAC1F8.05	0	46	19	100	977	300	0	0	0.0470829068577277	10.3780792828652	0.00198548220405956	0.106196341353302	0	0.0193981611336619	1.03753825502176	4	96	1
SPAC1F8.06	10	196	19	100	1314	300	0.1	22.0421379551288	0.149162861491629	32.8786837078025	0.0254898992315262	0.0989777300033877	0.670408163265306	0.334937275902254	1.30056737224451	14	96	1
SPAC1F8.08	3	77	9	100	957	300	0.03	6.61264138653865	0.0804597701149425	17.7350535271151	0.00983057065490104	0.127613033626591	0.372857142857143	0.094078561167403	1.22125673180647	7	96	1
SPAC11D3.19	11	53	3	100	1210	300	0.11	24.2463517506417	0.043801652892562	9.65482075720519	0.102452466510329	0.410370459462793	2.51132075471698	1.23967484477498	4.9654825594998	4	107	1
SPNCRNA.608	0	266	7	100	2549	300	0	0	0.104354648881914	23.0019956691419	0.00034197857038599	0.0180661870337759	0	0.0087170337591389	0.460507107490949	9	91	1
SPAC11D3.05	137	909	3	100	1753	300	1.37	301.977289985265	0.518539646320593	114.297224194022	0.12540147431093	0.181035705113494	2.64203520352035	2.1982878446706	3.17355591063955	80	157	6.51642594895653e-09
SPAC11D3.06	5	258	21	100	1521	300	0.05	11.0210689775644	0.169625246548323	37.3890308509088	0.00706954077066226	0.0485605886127769	0.294767441860465	0.107527715121773	0.738606552800337	15	90	1
SPAC11D3.09	0	37	8	100	1729	300	0	0	0.0213996529786003	4.71694103146192	0.00247136631781596	0.132669995524611	0	0.0427299236350379	2.29386422262053	2	98	1
SPAC11D3.10	0	88	0	100	4126	300	0	0	0.0213281628696074	4.70118308301342	0.00103546085669004	0.0549880072256109	0	0.042723114947031	2.26880517812871	2	98	1
SPAC11D3.13	1	189	72	100	920	300	0.01	2.20421379551288	0.205434782608696	45.2822181904277	0.000274874381030882	0.0346277059406628	0.0486772486772487	0.00252884430548411	0.318574894654098	17	84	1
SPNCRNA.609	39	157	2	100	4138	300	0.39	85.9643380250024	0.0379410343160947	8.36301512555637	0.172157682318753	0.357183129156418	10.2791082802548	7.12388489434999	14.7802378844926	5	134	2.82863359835571e-18
SPNCRNA.147	3	2	2	100	333	300	0.03	6.61264138653865	0.00600600600600601	1.32385212943717	0.205434456268421	12.7771333780473	4.995	0.684096739373841	42.5478541488974	0	103	1
SPAC11D3.15	22	260	2	100	3921	300	0.22	48.4927035012834	0.0663096148941597	14.6160567924853	0.053350346918807	0.132952135941133	3.31776923076923	2.09186710268642	5.21305325025183	7	115	0.0635886744939018
SPAC11D3.17	20	356	17	100	3291	300	0.2	44.0842759102576	0.108173807353388	23.8438198481491	0.034808810453389	0.089680020793641	1.84887640449438	1.14555795202103	2.95136948431873	11	109	1
SPNCRNA.611	9	62	11	100	1474	300	0.09	19.8379241596159	0.0420624151967436	9.27145558492528	0.0673996775117521	0.302058368216497	2.13967741935484	0.993471246523226	4.45234034751116	4	105	1
SPAC5H10.01	2	21	7	100	687	300	0.02	4.40842759102576	0.0305676855895196	6.73777142733195	0.0154410000460713	0.418616073048669	0.654285714285714	0.10607967031651	2.87589242184436	3	99	1
SPNCRNA.613	3	31	11	100	416	300	0.03	6.61264138653865	0.0745192307692308	16.4256316492547	0.0236134998558081	0.330007199855794	0.40258064516129	0.0982321594001616	1.3728299514001	7	96	1
SPAC5H10.03	0	676	145	100	3193	300	0	0	0.211713122455371	46.6660985207237	0.000134497315140915	0.00709420193644869	0	0.00429449927244942	0.226517867830807	17	83	1
SPAC5H10.04	40	185	7	100	2498	300	0.4	88.1685518205153	0.0740592473979183	16.3242414799793	0.151292179448656	0.307936954033482	5.40108108108108	3.77927864262742	7.69226511175639	9	131	4.84617664198467e-10
SPAC5H10.07	5	34	12	100	453	300	0.05	11.0210689775644	0.0750551876379691	16.5437680016419	0.0506159886425307	0.393324464431894	0.666176470588235	0.229290428550664	1.78175982387648	7	98	1
SPNCRNA.614	6	85	61	100	1475	300	0.06	13.2252827730773	0.0576271186440678	12.7022489910912	0.0278403373224272	0.16747196918096	1.04117647058824	0.410644975505801	2.47021154541916	5	101	1
SPAC5H10.10	20	194	10	100	1554	300	0.2	44.0842759102576	0.124839124839125	27.5172121190154	0.0631984929204268	0.166383871278266	1.6020618556701	0.982104579983432	2.58560535966425	13	107	1
SPAC5H10.11	4	17	0	100	1565	300	0.04	8.81685518205153	0.0108626198083067	2.39435364368811	0.0670760206056884	0.74144797528323	3.68235294117647	1.04973972247902	11.6036608131826	1	103	1
SPNCRNA.616	0	3	1	100	497	300	0	0	0.00603621730382294	1.33051134538001	0.0327971598819604	2.22593021867193	0	0.163001884613343	11.0628731867995	0	100	1
SPNCRNA.617	23	108	8	100	3975	300	0.23	50.6969172967963	0.0271698113207547	5.98880729346896	0.132199154278582	0.340345143420588	8.46527777777778	5.25491638257362	13.5287194509684	3	120	8.0506685003248e-09
SPSNORNA.49	10	30	22	100	159	300	0.1	22.0421379551288	0.188679245283019	41.5889395379789	0.152672451903404	0.709998714876712	0.53	0.242749198526413	1.12889795665397	17	93	1
SPNCRNA.141	52	170	22	100	604	300	0.52	114.61911736667	0.281456953642384	62.0391300061573	0.221451886664915	0.421602690735619	1.84752941176471	1.33756939545609	2.54648025204314	33	119	1
SPAC13G6.03	52	490	5	100	3896	300	0.52	114.61911736667	0.125770020533881	27.7224014322719	0.0788694863091658	0.142432616558801	4.1345306122449	3.0727551866051	5.54917474113089	16	136	1.36098142582911e-09
SPAC13G6.04	27	440	242	100	505	300	0.27	59.5137724788478	0.871287128712871	192.050310896172	0.0407491600050369	0.091764530196021	0.309886363636364	0.205783258025436	0.463410877489906	59	68	1
SPAC13G6.08	0	22	20	100	2130	300	0	0	0.0103286384976526	2.27665274653913	0.00417368066078422	0.226956323474185	0	0.0888993980747039	4.83416969000014	1	99	1
SPAC13G6.09	13	393	13	100	1572	300	0.13	28.6547793416675	0.25	55.105344887822	0.018219475881248	0.0587914639107824	0.52	0.286410160853219	0.924201812677499	22	91	1
SPAC13G6.13	0	1	1	100	147	300	0	0	0.00680272108843537	1.49946516701557	0.120791776113059	17.3080587281839	0	0.177563910886197	25.4428463304304	0	100	1
SPAC13G6.14	34	1168	54	100	1272	300	0.34	74.943269047438	0.918238993710692	202.399505751497	0.0203695378570218	0.0413916297874007	0.37027397260274	0.259100521541318	0.526501530895737	64	70	1
SPAC24B11.05	77	532	54	100	1489	300	0.77	169.724462254492	0.357286769644056	78.7536426603662	0.113113199076374	0.184950126682203	2.15513157894737	1.68425553424721	2.753907386298	46	131	0.0120428004229451
SPNCRNA.622	24	384	2	100	2388	300	0.24	52.9011310923092	0.160804020100503	35.4446439479458	0.0404183091190025	0.095844505129085	1.4925	0.965189221761781	2.28876678248255	17	107	1
SPNCRNA.142	19	173	50	100	597	300	0.19	41.8800621147448	0.289782244556114	63.8742021145274	0.0663180334407048	0.179802029016636	0.655664739884393	0.395918659641008	1.07341811322932	26	93	1
SPAC24B11.09	19	1193	221	100	2741	300	0.19	41.8800621147448	0.435242612185334	95.9367770173976	0.00983179813275105	0.0254870356016532	0.436538139145013	0.269489586818706	0.698599645841316	36	83	1
SPAC24B11.14	9	21	127	100	596	300	0.09	19.8379241596159	0.0352348993288591	7.76652511841787	0.182211929053731	0.98247133393564	2.55428571428571	1.08598309716024	5.85552915025642	3	106	1
