V4	Cdk9as_3MBPP1r1_pr_counts	Cdk9as_3MBPP1r1gb_counts	Cdk9as_3MBPP1r1term_counts	Cdk9as_3MBPP1r1pr_map	Cdk9as_3MBPP1r1gb_map	Cdk9as_3MBPP1r1term_map	Cdk9as_3MBPP1r1pr_density	Cdk9as_3MBPP1r1pr_densityRPKM	Cdk9as_3MBPP1r1gb_density	Cdk9as_3MBPP1r1gb_densityRPKM	Cdk9as_3MBPP1r1pause_index_CI_low	Cdk9as_3MBPP1r1pause_index_CI_high	Cdk9as_3MBPP1r1pause_index_scaled	Cdk9as_3MBPP1r1pause_index_CI_low_scaled	Cdk9as_3MBPP1r1pause_index_CI_high_scaled	Cdk9as_3MBPP1r1_ExpPR	Cdk9as_3MBPP1r1_ExpGB	Cdk9as_3MBPP1r1Fexact_Pval
SPAC1002.01	43	134	163	100	481	300	0.43	54.9323501720149	0.278586278586279	35.5893000195813	0.224189839184376	0.45803379808809	1.54350746268657	1.07835312647685	2.20314256880371	31	112	1
SPAC1002.02	48	610	53	100	837	300	0.48	61.3198327501562	0.728793309438471	93.103091342083	0.0579761178735115	0.10649155208026	0.658622950819672	0.485260106601291	0.891334290911772	62	86	1
SPAC1002.03c	7	1023	29	100	2955	300	0.07	8.94247560939777	0.346192893401015	44.226021505506	0.00299011239964876	0.0148253875336608	0.202199413489736	0.0883578214096208	0.438090201619678	27	80	1
SPAC1002.04c	63	372	50	100	641	300	0.63	80.48228048458	0.580343213728549	74.1386433406724	0.128453789801273	0.222876311796639	1.08556451612903	0.823388792626158	1.42863715861646	59	104	1
SPAC1002.05c	43	419	186	100	2086	300	0.43	54.9323501720149	0.200862895493768	25.6601649112291	0.0739939459347945	0.141856537868521	2.14076372315036	1.54351371219981	2.95912737993736	23	120	0.627276735054004
SPAC1002.06c	3	24	25	100	311	300	0.03	3.83248954688476	0.0771704180064309	9.85849401127913	0.0300191561064317	0.434650676357233	0.38875	0.0933595754910026	1.351763603471	7	96	1
SPAC1002.07c	29	661	18	100	1084	300	0.29	37.0473989532193	0.609778597785978	77.8990033976269	0.029676385318793	0.0644518442039847	0.475582450832073	0.321692016855716	0.698657991171194	48	81	1
SPAC1002.08c	13	504	36	100	1783	300	0.13	16.6074547031673	0.282669657879978	36.1109503015502	0.014236990474495	0.0457424423110333	0.459900793650794	0.253845540160245	0.815587746405724	24	89	1
SPAC1002.09c	9	2744	17	100	2132	300	0.09	11.4974686406543	1.28705440900563	164.420752292867	0.00159883454235995	0.00648017725870038	0.0699271137026239	0.0340871524431142	0.138157379155492	61	48	1
SPAC1002.10c	8	295	274	100	1806	300	0.08	10.219972125026	0.163344407530454	20.8671911467517	0.0124818490536423	0.0563663698314221	0.489762711864407	0.22542219390878	1.01797663915548	15	93	1
SPAC1002.11	6	774	42	100	1871	300	0.06	7.66497909376952	0.413682522715126	52.8477981344879	0.00314058754917878	0.0178611552780011	0.145038759689922	0.058760393045135	0.334182215251401	31	75	1
SPAC1002.12c	113	494	27	100	1692	300	1.13	144.357106265993	0.291962174940898	37.2980661182244	0.185450221526633	0.281946189657228	3.87036437246964	3.13781774823063	4.77052952900031	48	165	4.71769704646544e-16
SPAC1002.13c	534	8236	401	100	1829	300	5.34	682.183139345487	4.50300710770913	575.257588994767	0.0593439870022555	0.0708336281414673	1.18587421078193	1.08540152227125	1.29554705870744	518	116	1
SPAC1002.14	11	733	59	100	1485	300	0.11	14.0524616719108	0.493602693602694	63.0575721182162	0.00785521260608085	0.0278876770755196	0.222851296043656	0.116649907200301	0.414132004571466	36	75	1
SPAC1002.15c	4	250	5	100	2754	300	0.04	5.10998606251301	0.0907770515613653	11.596736706865	0.00508232694639611	0.0444238220881105	0.44064	0.139967284103749	1.22343206030656	8	96	1
SPAC1002.16c	17	338	6	100	1906	300	0.17	21.7174407656803	0.177334732423924	22.6544502771432	0.0298849685947811	0.0834625704176332	0.958639053254438	0.569607501416528	1.59079659216009	17	100	1
SPAC1002.17c	2	781	53	100	990	300	0.02	2.55499303125651	0.788888888888889	100.78028067734	0.000442742502521299	0.0103526902643794	0.0253521126760563	0.00438315077496086	0.102491633617356	44	58	1
SPAC1002.18	8	537	36	100	1505	300	0.08	10.219972125026	0.356810631229236	45.5824338134467	0.00688829833623993	0.0308145604193131	0.224208566108007	0.103668889960411	0.463759134310662	28	80	1
SPAC1002.19	3	330	18	100	1563	300	0.03	3.83248954688476	0.211132437619962	26.9720953395601	0.00233500614737461	0.0291568275488214	0.142090909090909	0.0364961460834652	0.455721214588079	17	86	1
SPAC1002.20	0	8	156	100	548	300	0	0	0.0145985401459854	1.86495841697555	0.0116892782926356	0.673070909790981	0	0.0640572450436429	3.68842858565458	1	99	1
SPAC1006.01	53	2514	87	100	1664	300	0.53	67.7073153282974	1.51081730769231	193.006384632778	0.0158992630941808	0.0278820276917062	0.350803500397772	0.264563737887169	0.463956940789992	92	61	1
SPAC1006.02	28	277	15	100	1217	300	0.28	35.7699024375911	0.227608874281019	29.0769543820071	0.0671381475751768	0.151213217257944	1.23018050541516	0.817071255989902	1.84026485402918	23	105	1
SPAC1006.03c	76	1983	41	100	2770	300	0.76	97.0897351877473	0.715884476534296	91.4539924364919	0.0302638242090848	0.0484633889313684	1.06162380231972	0.838307930591649	1.3424358733989	73	103	1
SPAC1006.04c	1	207	82	100	3993	300	0.01	1.27749651562825	0.0518407212622089	6.62263407801273	0.000251076357238515	0.031595686987922	0.192898550724638	0.0100254789445339	1.26161578142772	4	97	1
SPAC1006.05c	94	1201	6	100	2032	300	0.94	120.084672469056	0.591043307086614	75.5055765388549	0.0630761870231041	0.0970169262923237	1.59040799333888	1.28170812030948	1.97138394226002	72	122	1
SPAC1006.06	37	2797	5	100	4139	300	0.37	47.2673710782454	0.675767093500846	86.3290107323563	0.00942621340458326	0.0184819434206469	0.547525920629246	0.390150972815701	0.764967638180576	55	82	1
SPAC1006.07	497	4770	404	100	1302	300	4.97	634.915768267242	3.66359447004608	468.022917015881	0.0948921042161035	0.114395617756226	1.35659119496855	1.23549519689367	1.48943094318607	468	129	1
SPAC1006.08	9	512	146	100	1457	300	0.09	11.4974686406543	0.351407000686342	44.8921218944177	0.00852543448667886	0.034915858831463	0.25611328125	0.124215580470911	0.508724063174416	28	81	1
SPAC1006.09	105	2137	29	100	4844	300	1.05	134.137134140967	0.441164327002477	56.3585890565148	0.0401853902296804	0.0600216748547095	2.38006551240056	1.94658030272572	2.90744992996213	62	143	7.71191595371493e-06
SPAC1039.01	0	558	12	100	2977	300	0	0	0.18743701713134	23.945013628504	0.000162950731324599	0.00859684639794739	0	0.00485104327153332	0.255928117266894	15	85	1
SPAC1039.02	2	1225	111	100	2733	300	0.02	2.55499303125651	0.448225393340651	57.2606378208785	0.00028245896288247	0.00659480650713853	0.0446204081632653	0.00771960345557791	0.180236061840096	31	71	1
SPAC1039.03	9	429	16	100	1499	300	0.09	11.4974686406543	0.286190793862575	36.5607741964323	0.0101626767569105	0.0417239830391118	0.314475524475525	0.152338524586088	0.625442505756286	24	85	1
SPAC1039.04	5	503	10	100	1844	300	0.05	6.38748257814127	0.272776572668113	34.8471121128531	0.00364236317936482	0.0247854792133698	0.183300198807157	0.0671651770274873	0.457044236694538	22	83	1
SPAC1039.05c	2	431	13	100	3153	300	0.02	2.55499303125651	0.136695210910244	17.4627655640906	0.000801083452509444	0.0187952050366699	0.14631090487239	0.0252581612576228	0.592612814806202	12	90	1
SPAC1039.06	1	238	7	100	1966	300	0.01	1.27749651562825	0.121057985757884	15.4651154994672	0.000218497079566092	0.0274554263996842	0.0826050420168067	0.00429565258426937	0.539773683017791	10	91	1
SPAC1039.07c	12	384	20	100	1430	300	0.12	15.329958187539	0.268531468531469	34.3048015385489	0.0167720767382441	0.05684189034283	0.446875	0.239840697356891	0.81283903190247	23	89	1
SPAC1039.08	3	76	3	100	995	300	0.03	3.83248954688476	0.0763819095477387	9.75776233042686	0.00995690754518226	0.12933865116668	0.392763157894737	0.0990712300745635	1.28691957910846	7	96	1
SPAC1039.09	0	63	3	100	3060	300	0	0	0.0205882352941176	2.63013988511699	0.00144781535823982	0.0771252286017842	0	0.0443031499621384	2.3600319952146	2	98	1
SPAC1039.10	0	17	2	100	888	300	0	0	0.0191441441441441	2.44565774388292	0.00541762860743838	0.297388981119444	0	0.0481085420340528	2.64081415234066	1	99	1
SPAC1039.11c	0	708	25	100	3471	300	0	0	0.203975799481417	26.0578373109998	0.000128416431858325	0.00677314966167409	0	0.00445733434980245	0.235096024756708	16	84	1
SPAC105.01c	31	994	6	100	3151	300	0.31	39.6023919844759	0.315455410980641	40.2993188363848	0.0214316361226057	0.045122586867711	0.982706237424547	0.675310854223306	1.42181271220157	31	100	1
SPAC105.02c	49	1548	85	100	1418	300	0.49	62.5973292657844	1.0916784203103	139.461537813296	0.0235572403338667	0.042410395487474	0.448850129198966	0.33404166793423	0.601379408012381	77	72	1
SPAC105.03c	6	1154	7	100	2487	294	0.06	7.66497909376952	0.464012866907921	59.2774820681546	0.00210876627446928	0.0119652727720553	0.129306759098787	0.052445017246051	0.297576333841016	33	73	1
SPAC1071.01c	104	1475	21	100	2319	300	1.04	132.859637625338	0.636050021561018	81.2551686309476	0.0574897514479141	0.0863969060226687	1.63509152542373	1.33318733607713	2.00354425066569	79	125	1
SPAC1071.02	18	728	8	100	3405	300	0.18	22.9949372813086	0.213803230543319	27.3132882049154	0.0150170381356066	0.0401793468813667	0.841895604395604	0.511330148517405	1.36810676131054	20	98	1
SPAC1071.03c	36	638	20	100	1677	300	0.36	45.9898745626171	0.380441264162194	48.6012389368411	0.0397170452387895	0.0798028515502582	0.946269592476489	0.6660548486545	1.33829382049783	37	99	1
SPAC1071.04c	4	157	106	100	331	300	0.04	5.10998606251301	0.474320241691843	60.594245605328	0.00805276900514439	0.071137375372697	0.0843312101910828	0.0266546654070279	0.235464712483627	33	71	1
SPAC1071.05	32	686	94	100	1458	300	0.32	40.8798885001041	0.470507544581619	60.1071748779823	0.0321647432938284	0.0672833372517358	0.680116618075802	0.468961957224019	0.980991057130308	42	90	1
SPAC1071.06	55	554	33	100	1678	300	0.55	70.2623083595539	0.33015494636472	42.1771793598363	0.0744811813691162	0.132022406789242	1.6658844765343	1.24979422337377	2.21533598592349	38	117	1
SPAC1071.07c	526	1761	235	100	468	300	5.26	671.963167220461	3.76282051282051	480.699009406272	0.270643309479492	0.329630175010553	1.39788756388416	1.26661068836402	1.54266921904939	494	132	1
SPAC1071.08	74	1440	782	100	320	300	0.74	94.5347421564908	4.5	574.873432032714	0.0403848042967263	0.0652912155441829	0.164444444444444	0.129231373749524	0.208931889741385	142	32	1
SPAC1071.09c	67	311	985	100	2232	300	0.67	85.592266547093	0.139336917562724	17.8002426684761	0.163950422339384	0.282636155547726	4.80848874598071	3.65937342661506	6.30843899182523	20	147	2.24340031246881e-14
SPAC1071.10c	867	24342	282	100	4273	300	8.67	1107.5894790497	5.69670021062485	727.751466965199	0.0332645914829527	0.038135284271208	1.52193369484841	1.42139599406657	1.62952069690872	822	145	0.149092991442387
SPAC1071.11	28	1131	11	100	2136	300	0.28	35.7699024375911	0.529494382022472	67.6427228078443	0.0166864399516462	0.036483867134072	0.528806366047745	0.356422357367164	0.779295401983778	44	84	1
