WT_3MBPP1_combined_pr_counts	WT_3MBPP1_combinedgb_counts	WT_3MBPP1_combinedterm_counts	WT_3MBPP1_combinedpr_map	WT_3MBPP1_combinedgb_map	WT_3MBPP1_combinedterm_map	WT_3MBPP1_combinedpr_density	WT_3MBPP1_combinedpr_densityRPKM	WT_3MBPP1_combinedgb_density	WT_3MBPP1_combinedgb_densityRPKM	WT_3MBPP1_combinedpause_index_CI_low	WT_3MBPP1_combinedpause_index_CI_high	WT_3MBPP1_combinedpause_index_scaled	WT_3MBPP1_combinedpause_index_CI_low_scaled	WT_3MBPP1_combinedpause_index_CI_high_scaled	WT_3MBPP1_combined_ExpPR	WT_3MBPP1_combined_ExpGB	WT_3MBPP1_combinedFexact_Pval
SPAC212.08c	0	14	1	0	437	300	NA	NA	0.0320366132723112	1.66454047837067	0.0065974714867639	0.365411596620526	NA	NA	NA	0	0	1
SPAC212.07c	0	28	12	100	690	300	0	0	0.0405797101449275	2.10841793926952	0.00327211992868732	0.176722244865318	0	0.0225776275079425	1.21938348957069	3	97	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	175	0	0	598	35	NA	NA	0.292642140468227	15.2049370620398	0.000520033643591055	0.0275093795336872	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	6	0	0	34	0	NA	NA	0.176470588235294	9.16896036615106	0.0157393406208896	0.93492067967121	NA	NA	NA	0	0	1
SPAC977.02	0	7	4	0	166	0	NA	NA	0.0421686746987952	2.1909764730361	0.0134151780994594	0.782741335671289	NA	NA	NA	0	0	1
SPAC977.03	0	0	2	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	1	0	0	34	0	NA	NA	0.0294117647058824	1.52816006102518	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	1	1587	49	100	2712	300	0.01	0.51957442074856	0.585176991150443	30.4042996212377	3.28735851286008e-05	0.00409636128705673	0.0170888468809074	0.000891531628687653	0.111093318104978	37	64	1
SPNCRNA.19	4	7	6	100	225	300	0.04	2.07829768299424	0.0311111111111111	1.61645375343997	0.141097652543139	2.16319249445901	1.28571428571429	0.317469718222062	4.86718311253276	3	101	1
SPAC977.11	42	95	0	100	105	0	0.42	21.8221256714395	0.904761904761905	47.0091142582031	0.302446847248098	0.644646985889241	0.464210526315789	0.317569189610503	0.676879335183703	67	75	1
SPAC977.12	0	170	165	0	377	300	NA	NA	0.450928381962865	23.4290852857441	0.000535348784141332	0.0283228022488608	NA	NA	NA	0	0	1
SPAC977.15	55	45	8	100	712	300	0.55	28.5765931411708	0.0632022471910112	3.2838270974277	0.810094419097364	1.84553218944001	8.70222222222222	5.76787226397323	13.1401891888129	9	146	6.2750502510192e-17
SPAC977.17	334	2905	195	100	3396	300	3.34	173.537856530019	0.855418138987044	44.4453384062004	0.102491603447428	0.128957426533801	3.90452323580034	3.48061485307466	4.37939420508787	200	234	3.34763746043183e-33
SPNCRNA.137	10	23	98	100	155	300	0.1	5.1957442074856	0.148387096774194	7.70981398530122	0.193500270515099	0.95591927885059	0.673913043478261	0.299925419298403	1.48167488221841	14	96	1
SPAC1F8.01	0	20	0	100	1598	300	0	0	0.0125156445556946	0.65028087703199	0.00459577388787386	0.250708753220746	0	0.0734404667282244	4.00632587646753	1	99	1
SPNCRNA.139	0	21	60	100	685	300	0	0	0.0306569343065693	1.59285588842624	0.00437456871201282	0.238242196120647	0	0.0299657956772878	1.63195904342643	2	98	1
SPNCRNA.605	1	1047	101	100	2889	300	0.01	0.51957442074856	0.362409138110073	18.8298518007526	4.98137925678112e-05	0.0062119988019317	0.0275931232091691	0.00143912046728406	0.179464645387807	26	75	1
SPAC1F8.05	0	77	78	100	977	300	0	0	0.0788126919140225	4.0949058748863	0.0011838127111161	0.0629364895177057	0	0.0115658501876043	0.614889502587984	7	93	1
SPAC1F8.06	35	992	288	100	1314	300	0.35	18.1851047261996	0.754946727549467	39.2251008662536	0.0247954430127212	0.0499646181558796	0.463608870967742	0.325812121187157	0.656535082568258	58	77	1
SPAC1F8.08	8	704	131	100	957	300	0.08	4.15659536598848	0.735632183908046	38.2215665838021	0.00526126423299696	0.0234717325160064	0.10875	0.0503502987097809	0.224624480178181	45	63	1
SPAC11D3.19	125	351	28	100	1210	300	1.25	64.94680259357	0.290082644628099	15.0719522051855	0.288817360057904	0.438883512031014	4.30911680911681	3.49469005670064	5.31049049557527	50	175	2.99248026338826e-19
SPNCRNA.608	9	1163	8	100	2549	300	0.09	4.67616978673704	0.456257355825814	23.7059651365467	0.00376634154540224	0.0153149871477879	0.19725709372313	0.0960040459923032	0.390379022397114	34	75	1
SPAC11D3.05	187	5818	142	100	1753	300	1.87	97.1604166799808	3.3188819167142	172.440614940965	0.0277078802913641	0.0372705802516231	0.56344276383637	0.485719141507612	0.653353271810953	220	67	1
SPAC11D3.06	31	1179	104	100	1521	300	0.31	16.1068070432054	0.775147928994083	40.2747036201547	0.0180851435427451	0.0380072061673058	0.399923664122137	0.275075033285153	0.578089605804722	57	74	1
SPAC11D3.09	1	135	52	100	1729	300	0.01	0.51957442074856	0.0780798149219202	4.05682746102115	0.000384091612721087	0.0486266045471428	0.128074074074074	0.0066409439839476	0.840753992620098	7	94	1
SPAC11D3.10	9	761	1	100	4126	300	0.09	4.67616978673704	0.184440135724673	9.58303766819327	0.00574758265430627	0.0234409733214724	0.48796320630749	0.237145260316677	0.967174559243951	16	93	1
SPAC11D3.13	3	498	430	100	920	300	0.03	1.55872326224568	0.541304347826087	28.1247892970416	0.00155015543155701	0.0192789602637138	0.0554216867469879	0.0142614299703245	0.177366434426167	36	67	1
SPNCRNA.609	198	2070	14	100	4138	300	1.98	102.875735308215	0.500241662638956	25.9912772099932	0.0824434682108254	0.110939568303424	3.95808695652174	3.41151071456396	4.5906793363957	99	199	4.13604001517305e-26
SPNCRNA.147	10	14	53	100	333	300	0.1	5.1957442074856	0.042042042042042	2.18439696410806	0.295316025380461	1.70705032019564	2.37857142857143	0.983402364516934	5.68447756625148	4	106	1
SPAC11D3.15	63	3050	46	100	3921	300	0.63	32.7331885071593	0.777862790104565	40.4157608590438	0.0159596893836789	0.0266805008548596	0.809911475409836	0.625779420734049	1.04614243851905	71	92	1
SPAC11D3.17	18	1629	140	100	3291	300	0.18	9.35233957347408	0.494986326344576	25.7182233788941	0.00673384815136362	0.0178938437389167	0.363646408839779	0.221610942661377	0.58888639744775	39	79	1
SPNCRNA.611	76	438	142	100	1474	300	0.76	39.4876559768906	0.297150610583446	15.4391856368975	0.134951642009245	0.222798178438411	2.55762557077626	1.98918720321627	3.28404515018218	40	136	8.02482992458027e-05
SPAC5H10.01	22	46	37	100	687	300	0.22	11.4306372564683	0.0669577874818049	3.4789553645464	0.278830302603349	0.815229157026685	3.28565217391304	1.91556417888501	5.60062430877332	7	115	0.375457914203312
SPNCRNA.613	13	74	76	100	416	300	0.13	6.75446746973128	0.177884615384615	9.2424295998542	0.0929659687500921	0.325599577852539	0.730810810810811	0.386738430000383	1.35449424386656	17	96	1
SPAC5H10.03	2	2863	1304	100	3193	300	0.02	1.03914884149712	0.896648919511431	46.5875842969974	0.000120937600707385	0.00281934553280953	0.0223052741879148	0.00386153759058681	0.0900217028626084	48	54	1
SPAC5H10.04	323	2953	35	100	2498	300	3.23	167.822537901785	1.18214571657326	61.4212675928942	0.0973420739431979	0.122887544247562	2.73231967490687	2.43160500710108	3.06973085530409	229	194	3.94896237718448e-16
SPAC5H10.07	39	116	44	100	453	300	0.39	20.2634024091938	0.2560706401766	13.304775454047	0.230017763410062	0.489856717239493	1.52301724137931	1.04198046824758	2.2190509290949	28	111	1
SPNCRNA.614	66	568	204	100	1475	300	0.66	34.291911769405	0.385084745762712	20.0080183718768	0.0892776501216696	0.150969291858311	1.71390845070423	1.31684533929463	2.22679705491008	46	120	1
SPAC5H10.10	76	839	97	100	1554	300	0.76	39.4876559768906	0.53989703989704	28.0516691768367	0.0711031020151675	0.115236524789335	1.4076758045292	1.1049422053157	1.79077559522626	61	115	1
SPAC5H10.11	51	203	11	100	1565	300	0.51	26.4982954581766	0.129712460063898	6.73952763015704	0.182570533353806	0.34491415183892	3.93177339901478	2.85722884698707	5.3979064762791	17	134	5.43265211500976e-08
SPNCRNA.616	2	32	12	100	497	300	0.02	1.03914884149712	0.0643863179074447	3.34534838308932	0.0103607343252721	0.266746389187881	0.310625	0.0514928495966022	1.32572955426377	6	96	1
SPNCRNA.617	91	813	1	100	3975	300	0.91	47.281272288119	0.204528301886792	10.6267673979517	0.0895680883284382	0.139726565091004	4.44926199261993	3.56033151105542	5.5541309623674	32	159	9.95815068793924e-18
SPSNORNA.49	18	75	297	100	159	300	0.18	9.35233957347408	0.471698113207547	24.5082273938	0.138589743349029	0.410965340222962	0.3816	0.220357691924956	0.65343489095451	37	81	1
SPNCRNA.141	206	1131	411	100	604	300	2.06	107.032330674203	1.87251655629139	97.2911705077188	0.156556528107513	0.211839979086355	1.10012378426172	0.945601429769379	1.27951347368159	199	107	1
SPAC13G6.03	206	3423	170	100	3896	300	2.06	107.032330674203	0.878593429158111	45.6494672028317	0.0521503918315226	0.0694259074006918	2.34465673385919	2.03177926575612	2.70483335233095	143	163	6.3788941776004e-09
SPAC13G6.04	119	327	1313	100	505	300	1.19	61.8293560690787	0.647524752475248	33.6437298187682	0.293375350517577	0.45115514929014	1.83776758409786	1.48154552011377	2.27833350391521	86	133	0.30406566057206
SPAC13G6.08	1	356	132	100	2130	300	0.01	0.51957442074856	0.167136150234742	8.68396684443603	0.000146257625263662	0.0183183123144497	0.0598314606741573	0.003115287418116	0.390180052297778	14	87	1
SPAC13G6.09	78	1145	16	100	1572	300	0.78	40.5268048183877	0.728371501272265	37.8443200863296	0.0537796911603615	0.0861689906751052	1.07088209606987	0.845416745040882	1.35457653341265	75	103	1
SPAC13G6.13	1	0	4	100	147	300	0.01	0.51957442074856	0	0	0.0577765545925511	8.27870929775896	NA	0.0849315352510502	12.1697026677057	0	101	1
SPAC13G6.14	54	1931	346	100	1272	300	0.54	28.0570187204222	1.51808176100629	78.8756451623797	0.0211273122252296	0.0369227442117594	0.355712066286898	0.268739411504921	0.469657306373579	92	62	1
SPAC24B11.05	211	1837	170	100	1489	300	2.11	109.630202777946	1.23371390194762	64.1006185973879	0.0993434084964191	0.132762580288757	1.71028307022319	1.47922335251168	1.9768348204996	171	140	0.0608551547783978
SPNCRNA.622	36	810	29	100	2388	300	0.36	18.7046791469482	0.339195979899498	17.6237554776522	0.0313470010916782	0.0627273858276469	1.06133333333333	0.748566386069276	1.49792997356421	34	102	1
SPNCRNA.142	35	797	189	100	597	300	0.35	18.1851047261996	1.33500837520938	69.363620324389	0.0308159850158311	0.0622837825944053	0.262170639899624	0.183971430544512	0.3718341820886	77	58	1
SPAC24B11.09	35	4469	500	100	2741	300	0.35	18.1851047261996	1.63042685151405	84.7128086948309	0.00553038591746754	0.0110370114909185	0.214667710897292	0.151587877997785	0.302524484966076	83	52	1
SPAC24B11.14	45	153	854	100	596	300	0.45	23.3808489336852	0.256711409395973	13.3380681836459	0.207967224289266	0.414840698338893	1.75294117647059	1.23948465676403	2.4724505620998	29	116	1
SPAC24B11.13	234	5713	563	100	2075	300	2.34	121.580414455163	2.75325301204819	143.051983890917	0.0358586492342885	0.0467725736576813	0.849903728338876	0.744066971611486	0.970530903396887	245	89	1
SPNCRNA.625	10	187	11	100	1669	300	0.1	5.1957442074856	0.112043139604554	5.8214749358886	0.026695127057423	0.103829777226619	0.892513368983957	0.44554167058839	1.73291898191227	11	99	1
SPNCRNA.627	4	320	100	100	761	300	0.04	2.07829768299424	0.420499342969777	21.8480702548672	0.0039778888912543	0.0346339965998303	0.095125	0.0302717344624452	0.263564714124708	30	74	1
SPNCRNA.144	25	274	99	100	431	300	0.25	12.989360518714	0.635730858468677	33.0309492540848	0.0592103941332597	0.139521549216499	0.393248175182482	0.255196798714349	0.601337877123113	48	77	1
SPNCRNA.628	39	281	38	100	1566	300	0.39	20.2634024091938	0.179438058748404	9.32314254344479	0.0978139450220427	0.196183149174175	2.17345195729537	1.53176637904519	3.07222811606758	21	118	1
SPNCRNA.145	35	94	37	100	719	300	0.35	18.1851047261996	0.130737134909597	6.792767114098	0.247813061835681	0.557437208727412	2.67712765957447	1.78177591459855	4.00797353075009	15	120	0.155035201344128
SPAC806.05	6	755	3	100	2921	300	0.06	3.11744652449136	0.258473125641903	13.4296024534462	0.00321934912397475	0.0183123228523621	0.232132450331126	0.0940371879113026	0.534902950517498	21	85	1
SPAC806.07	291	426	1024	100	469	300	2.91	151.196156437831	0.908315565031983	47.1937533558394	0.586859318743314	0.795054572332094	3.2037323943662	2.75237020490614	3.72880594423752	186	205	6.65765090091926e-16
SPNCRNA.630	2	2684	52	100	2184	300	0.02	1.03914884149712	1.22893772893773	63.8524608648872	0.000128998795066628	0.00300749921079792	0.016274217585693	0.00281733368425516	0.0656837827638266	56	46	1
