baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	779.076305511331	0.182116212289998	0.32497258727738	0.560404844654028	0.575203327877012	0.964947186950042
SPAC1002.02	353.254314809017	0.0993832090136317	0.393807072006492	0.252365221648415	0.800758779412813	0.987118429314949
SPAC1002.03c	143.915023632437	-0.734313500430992	0.487536039221762	-1.50617275720407	0.132022830984174	0.762329155167658
SPAC1002.04c	297.109971083848	-0.0192838417336033	0.408427487453933	-0.0472148479863965	0.962341993737922	0.99813724271308
SPAC1002.05c	724.243915576561	-0.395409047023894	0.329904147331377	-1.19855736953413	0.230700102930708	0.870166194314185
SPAC1002.06c	299.354663307512	-0.272057164664395	0.406620511904226	-0.669068964057755	0.503451486721899	0.964947186950042
SPAC1002.07c	225.362296254027	-0.263930493895292	0.451926359621952	-0.584012169850144	0.559212124292365	0.964947186950042
SPAC1002.08c	227.093415504612	-0.808593462438461	0.456542255940665	-1.77112513007679	0.0765398959366546	0.647123508119088
SPAC1002.09c	162.414021635574	-0.890185189222039	0.473294944362625	-1.88082547642851	0.05999566337042	0.591738049680855
SPAC1002.10c	1040.5577159623	-0.071034347465287	0.317025123639436	-0.224065356870823	0.822706448363404	0.987118429314949
SPAC1002.11	121.660401539511	-0.182011492280808	0.500428722782326	-0.36371112207318	0.716073737176999	0.979496138016172
SPAC1002.12c	189.4379790933	0.271485380985048	0.459792857218541	0.590451497283722	0.554887994132114	0.964947186950042
SPAC1002.13c	1818.51208843814	-0.160850380013275	0.283131859396874	-0.568111198633448	0.569959464124744	0.964947186950042
SPAC1002.14	371.510918283494	0.0374397793543864	0.399455953434972	0.0937269279189283	0.925326079045636	0.991199326110918
SPAC1002.15c	28.4400407788189	0.0662441437189851	0.523870132602923	0.126451461147139	0.899374568931398	0.987118429314949
SPAC1002.16c	28.5456197808979	0.0630889479717529	0.522399935575547	0.120767526324913	0.90387517203855	0.987851236006186
SPAC1002.17c	1562.76965225838	4.62773103596239	0.390691216321834	11.8449835640796	2.28463141562377e-32	7.402205786621e-29
SPAC1002.18	864.346832967776	3.71926451071431	0.409047786301535	9.09249392190234	9.67928738902369e-20	1.04536303801456e-16
SPAC1002.19	3852.70558968184	5.65469888613237	0.3915327914347	14.4424656371993	2.79656042323137e-47	1.81217115425393e-43
SPAC1002.20	603.417139198452	-0.272861167781499	0.351964951237193	-0.775250964115498	0.438191378626738	0.955869497150767
SPAC1006.01	566.895600085699	0.304409554842592	0.368637170495097	0.825770104609244	0.408934515714658	0.938460278081189
SPAC1006.02	67.3911509592181	0.682395016309466	0.538088817211019	1.26818286216466	0.204732655700168	0.846373360287438
SPAC1006.03c	127.803412211718	-0.622636689977935	0.496233647065299	-1.25472485322222	0.209578660345597	0.848793574399667
SPAC1006.04c	316.994455651344	-0.430611451646768	0.400672115928737	-1.07472278336273	0.282498860195098	0.89981469515987
SPAC1006.05c	52.4552058058587	-0.407475357016263	0.541902612046516	-0.751934661243682	0.452090352581739	0.959499419496455
SPAC1006.06	101.523688661328	-0.734593712487042	0.516524199710534	-1.42218643947121	0.154972134356284	0.780240638691378
SPAC1006.07	1824.8906645392	-0.0617232784698024	0.291507792394144	-0.21173800522748	0.832311436386996	0.987118429314949
SPAC1006.08	1084.32656870356	0.0472129857468926	0.305060825628858	0.15476580989895	0.877005946132885	0.987118429314949
SPAC1006.09	167.2545830315	-0.974665765735114	0.478853984168298	-2.03541329499006	0.0418093047069182	0.502866331150985
SPAC1039.01	681.031391135139	3.54155481835693	0.468880101615988	7.55322054860298	4.24625034091975e-14	2.11659247762769e-11
SPAC1039.02	1980.57301041719	2.68179076509207	0.320016510462771	8.38016376471943	5.28541117342851e-17	3.80549604486853e-14
SPAC1039.03	154.824330885542	1.40955872352282	0.497541167232295	2.83304943662022	0.00461062548543192	0.170562513698072
SPAC1039.04	72.9783452786128	0.434821935904523	0.5389052984001	0.806861497178485	0.419746283727744	0.942042491745564
SPAC1039.05c	117.003440174914	-0.0465297242733866	0.507387173563947	-0.0917045733469302	0.926932763700806	0.991199326110918
SPAC1039.06	117.430937076013	1.53536104165971	0.525781111651063	2.92015252666333	0.0034986010643288	0.146264096108714
SPAC1039.07c	250.144876670173	0.983209454991562	0.455797891880617	2.15711716202734	0.0309965367268607	0.439513255995749
SPAC1039.08	87.2419999860795	1.52989198987562	0.536634861887275	2.85089937037483	0.0043595764160432	0.165205001029006
SPAC1039.09	1346.12047050315	4.24486268981763	0.39031233151034	10.8755536198199	1.50737901910618e-27	3.25593868126935e-24
SPAC1039.10	525.333335263112	3.2674877629881	0.430370448921515	7.5922679430622	3.14354129432849e-14	1.69751229893738e-11
SPAC1039.11c	152.402116198354	0.449157098097014	0.497867634331364	0.902161673353665	0.3669709911082	0.931133492697088
SPAC105.01c	32.7331172628463	0.215006685057647	0.531518459525137	0.404514050649786	0.685834747762475	0.978931578911657
SPAC105.02c	444.447916857397	-0.643712764600114	0.389288051535773	-1.65356414629377	0.0982161025955981	0.703102318006372
SPAC105.03c	26.5689025837964	-0.00760233738746761	0.514636606050967	-0.014772243750408	0.988213883444151	0.998193363914118
SPAC1071.01c	72.0703776396342	-0.489767234101462	0.535633535205636	-0.914369997228486	0.360522461414427	0.931133492697088
SPAC1071.02	113.914227698846	-0.336157885817061	0.504332143685448	-0.666540671710036	0.505065576149698	0.964947186950042
SPAC1071.03c	66.59965741332	0.0161024195990445	0.54037056819096	0.0297988464711388	0.976227478742239	0.998193363914118
SPAC1071.04c	418.92758775506	-0.825513957968627	0.378204588528761	-2.18271798652662	0.0290565845253385	0.424069071450886
SPAC1071.05	369.227409626411	0.277850085467595	0.403767258079683	0.688144171939671	0.491361996405474	0.964947186950042
SPAC1071.06	110.572951546045	-0.143246319321244	0.515283339929965	-0.277995246927086	0.781016007408043	0.987118429314949
SPAC1071.07c	986.964132465684	0.049219924854488	0.331267645688495	0.148580537505228	0.881884631346124	0.987118429314949
SPAC1071.08	1449.30439996839	0.125381579405505	0.30157467106573	0.415756333124467	0.677588314952497	0.978931578911657
SPAC1071.09c	2908.39435242628	-0.517737477518398	0.28366050773237	-1.8252011238973	0.0679706842794403	0.616353720213767
SPAC1071.10c	1321.17432439394	-1.26632647998778	0.295890058785535	-4.27971958634011	1.87128932151222e-05	0.0026946566229776
SPAC1071.11	158.995752383705	-0.023285723769744	0.491673503620103	-0.0473601355336324	0.962226200582543	0.99813724271308
SPAC1071.12c	96.3441249433477	0.195351089852958	0.518681096801382	0.376630440279499	0.706448262762992	0.978931578911657
SPAC1071.13	243.363962624707	0.351377689565586	0.433201574360487	0.811118219236176	0.417297783989633	0.940629257774247
SPAC1093.01	230.993289886874	0.653025093236328	0.446864060554063	1.46135066764297	0.143919231664133	0.780240638691378
SPAC1093.02	159.226025155551	0.722295620317652	0.482718946605151	1.49630675447357	0.134573735757757	0.765673949974812
SPAC1093.03	66.5542106157315	-0.48932720639926	0.537951503099306	-0.909612118527588	0.363027105296663	0.931133492697088
SPAC1093.04c	41.9673178860484	0.706809855320361	0.538693138523033	1.31208252857696	0.189492290284505	0.820397404582523
SPAC1093.05	119.108365059499	-1.03859782351394	0.512768781793697	-2.0254700761635	0.0428191181315748	0.504482311947277
SPAC1093.06c	171.429925377838	1.68476764539126	0.491622328334689	3.4269551000627	0.000610389988424974	0.0465332602940451
SPAC1093.07	173.876106457589	1.47883221866311	0.484026499054046	3.05527119187329	0.00224857100931623	0.109610436139337
SPAC10F6.01c	318.928066895371	-0.484331659882934	0.437658196411459	-1.10664364075475	0.268448031254148	0.895453568962018
SPAC10F6.02c	67.8048591284372	-0.63790543525727	0.536785760674174	-1.18837994967694	0.234683752135965	0.870166194314185
SPAC10F6.03c	636.879285544163	-0.710305078072538	0.350563341814705	-2.02618184318878	0.0427461535638551	0.504482311947277
SPAC10F6.04	67.000769414793	-0.860627749007702	0.53791000215784	-1.59994747365781	0.109610236420213	0.726995222111548
