ePRO_Lsk1as_Cdk9as_3MBPP1_combined_pr_counts	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedgb_counts	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedterm_counts	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpr_map	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedgb_map	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedterm_map	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpr_density	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpr_densityRPKM	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedgb_density	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedgb_densityRPKM	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpause_index_CI_low	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpause_index_CI_high	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpause_index_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpause_index_CI_low_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpause_index_CI_high_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1_combined_ExpPR	ePRO_Lsk1as_Cdk9as_3MBPP1_combined_ExpGB	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedFexact_Pval
SPAC212.08c	0	4	2	0	437	300	NA	NA	0.0091533180778032	1.27234439173935	0.0240893601812892	1.52670069174082	NA	NA	NA	0	0	1
SPAC212.07c	0	6	4	100	690	300	0	0	0.00869565217391304	1.20872717215238	0.0157393406208896	0.93492067967121	0	0.108601450284138	6.45095268973135	0	100	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	143	2	0	598	35	NA	NA	0.239130434782609	33.2399972341905	0.000636586070427234	0.033704460224544	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.02	0	1	1	0	166	0	NA	NA	0.00602409638554217	0.837371233720023	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	676	37	100	2712	300	0	0	0.249262536873156	34.6483961515952	0.000134497315140915	0.00709420193644869	0	0.00364756718662162	0.192394756516489	19	81	1
SPNCRNA.19	3	1	4	100	225	300	0.03	4.17010874392572	0.00444444444444444	0.617793887988995	0.281109371130232	74.8083338953006	6.75	0.632496085043023	168.318751264426	0	103	1
SPAC977.11	9	32	0	100	105	0	0.09	12.5103262317771	0.304761904761905	42.3630094621025	0.12500881261978	0.613696230669453	0.2953125	0.131259253250769	0.644381042202926	25	84	1
SPAC977.12	0	146	63	0	377	300	NA	NA	0.387267904509284	53.8316424945318	0.000623485577721571	0.03300759191357	NA	NA	NA	0	0	1
SPAC977.15	1	9	1	100	712	300	0.01	1.39003624797524	0.0126404494382022	1.75706829097994	0.00526992812214453	0.847902870266008	0.791111111111111	0.0375218882296691	6.03706843629397	1	100	1
SPAC977.17	12	320	6	100	3396	300	0.12	16.6804349757029	0.0942285041224971	13.0981036322755	0.0200885000338946	0.0683449213507619	1.2735	0.682205461151062	2.32099352907187	9	103	1
SPNCRNA.137	1	3	13	100	155	300	0.01	1.39003624797524	0.0193548387096774	2.69039273801659	0.0133674946082822	3.55733427163736	0.516666666666667	0.0207196166428374	5.5138681210379	1	100	1
SPAC1F8.01	0	18	0	100	1598	300	0	0	0.0112640801001252	1.56574796392705	0.00511285240857114	0.280011224227739	0	0.0817033814889667	4.47457936315926	1	99	1
SPNCRNA.139	0	4	7	100	685	300	0	0	0.00583941605839416	0.811699998817658	0.0240893601812892	1.52670069174082	0	0.165012117241831	10.4578997384246	0	100	1
SPNCRNA.605	0	233	20	100	2889	300	0	0	0.0806507442021461	11.2107457867162	0.000390459560168976	0.0206348849514247	0	0.0112803766932817	0.59614182624666	7	93	1
SPAC1F8.05	1	14	16	100	977	300	0.01	1.39003624797524	0.0143295803480041	1.99186361019993	0.00350210863509423	0.514391103811047	0.697857142857143	0.0342156013648707	5.02560108423393	1	100	1
SPAC1F8.06	12	539	213	100	1314	300	0.12	16.6804349757029	0.410197869101979	57.0189906893952	0.0119815707643493	0.0403808792284176	0.292541743970315	0.15743783984355	0.530604753061408	32	80	1
SPAC1F8.08	6	155	64	100	957	300	0.06	8.34021748785143	0.1619644723093	22.5136487394109	0.0154748066343627	0.0904928607948503	0.370451612903226	0.148093899490851	0.866016677806717	14	92	1
SPAC11D3.19	12	173	12	100	1210	300	0.12	16.6804349757029	0.14297520661157	19.8740719751832	0.0368050772207382	0.1276864123388	0.839306358381503	0.445341434370932	1.54500558929948	14	98	1
SPNCRNA.608	4	387	3	100	2549	300	0.04	5.56014499190095	0.151824244801883	21.1041203596084	0.00329296557458839	0.0286010919898062	0.263462532299742	0.0839376924962581	0.72904183482016	13	91	1
SPAC11D3.05	18	1496	15	100	1753	300	0.18	25.0206524635543	0.853394181403309	118.624884596176	0.00733072571215951	0.0194895519727807	0.210922459893048	0.128507621734156	0.341651846082845	54	64	1
SPAC11D3.06	7	335	33	100	1521	300	0.07	9.73025373582667	0.220249835634451	30.6155255142475	0.00907962955551235	0.0455473027464884	0.317820895522388	0.138101165539343	0.692774474774088	19	88	1
