Cdk9as_3MBPP1r2_pr_counts	Cdk9as_3MBPP1r2gb_counts	Cdk9as_3MBPP1r2term_counts	Cdk9as_3MBPP1r2pr_map	Cdk9as_3MBPP1r2gb_map	Cdk9as_3MBPP1r2term_map	Cdk9as_3MBPP1r2pr_density	Cdk9as_3MBPP1r2pr_densityRPKM	Cdk9as_3MBPP1r2gb_density	Cdk9as_3MBPP1r2gb_densityRPKM	Cdk9as_3MBPP1r2pause_index_CI_low	Cdk9as_3MBPP1r2pause_index_CI_high	Cdk9as_3MBPP1r2pause_index_scaled	Cdk9as_3MBPP1r2pause_index_CI_low_scaled	Cdk9as_3MBPP1r2pause_index_CI_high_scaled	Cdk9as_3MBPP1r2_ExpPR	Cdk9as_3MBPP1r2_ExpGB	Cdk9as_3MBPP1r2Fexact_Pval
SPAC212.08c	0	4	7	0	437	300	NA	NA	0.0091533180778032	0.743494231423054	0.0240893601812892	1.52670069174082	NA	NA	NA	0	0	1
SPAC212.07c	2	10	3	100	690	300	0.02	1.62453489565937	0.0144927536231884	1.17719919975317	0.0303002114505232	0.965353981350509	1.38	0.20907145900861	6.66094247131851	1	101	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	96	0	0	598	35	NA	NA	0.160535117056856	13.0397449818813	0.000948971945877649	0.0503622168201372	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.02	0	12	6	0	166	0	NA	NA	0.072289156626506	5.87181287587725	0.00771806013949717	0.431135285113533	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	912	14	100	2712	300	0	0	0.336283185840708	27.3151885110868	9.96847031302169e-05	0.00525659802902945	0	0.00270344914889148	0.142558938547279	25	75	1
SPNCRNA.19	3	9	9	100	225	300	0.03	2.43680234348906	0.04	3.24906979131875	0.071737496193308	1.33450631594981	0.75	0.161409366434943	3.00263921088707	3	100	1
SPAC977.11	26	63	0	100	105	0	0.26	21.1189536435718	0.6	48.7360468697812	0.254637897726062	0.665309852680941	0.433333333333333	0.267369792612365	0.698575345314988	47	79	1
SPAC977.12	0	131	40	0	377	300	NA	NA	0.347480106100796	28.2246778954082	0.00069499847776358	0.0368133225154144	NA	NA	NA	0	0	1
SPAC977.15	26	35	4	100	712	300	0.26	21.1189536435718	0.0491573033707865	3.99288773511784	0.434178675674553	1.26769081309792	5.28914285714286	3.09135217080282	9.02595858925716	5	121	0.000138208239115628
SPAC977.17	181	1558	30	100	3396	300	1.81	147.020408057173	0.458775029446408	37.2648022296423	0.0992912927405861	0.135876731060547	3.94528883183569	3.3719323014703	4.61437378681619	88	193	2.56215943889427e-24
SPNCRNA.137	5	2	35	100	155	300	0.05	4.06133723914843	0.0129032258064516	1.04808702945766	0.433815156497564	18.5601677038827	3.875	0.672413492571225	28.7682599410182	1	104	1
