V4	dis2ts_3MBPP1_30Cr2_pr_counts	dis2ts_3MBPP1_30Cr2gb_counts	dis2ts_3MBPP1_30Cr2term_counts	dis2ts_3MBPP1_30Cr2pr_map	dis2ts_3MBPP1_30Cr2gb_map	dis2ts_3MBPP1_30Cr2term_map	dis2ts_3MBPP1_30Cr2pr_density	dis2ts_3MBPP1_30Cr2pr_densityRPKM	dis2ts_3MBPP1_30Cr2gb_density	dis2ts_3MBPP1_30Cr2gb_densityRPKM	dis2ts_3MBPP1_30Cr2pause_index_CI_low	dis2ts_3MBPP1_30Cr2pause_index_CI_high	dis2ts_3MBPP1_30Cr2pause_index_scaled	dis2ts_3MBPP1_30Cr2pause_index_CI_low_scaled	dis2ts_3MBPP1_30Cr2pause_index_CI_high_scaled	dis2ts_3MBPP1_30Cr2_ExpPR	dis2ts_3MBPP1_30Cr2_ExpGB	dis2ts_3MBPP1_30Cr2Fexact_Pval
SPAC1002.01	15	32	42	100	481	300	0.15	66.9289388684458	0.0665280665280665	29.6843526512857	0.242540647883795	0.895792767134208	2.2546875	1.16662051632105	4.30876320991554	7	108	1
SPAC1002.02	17	74	23	100	837	300	0.17	75.8527973842386	0.0884109916367981	39.4483590303862	0.130734620324391	0.398721371597312	1.92283783783784	1.09424877211515	3.3372978802695	9	108	1
SPAC1002.03c	15	235	79	100	2955	300	0.15	66.9289388684458	0.0795262267343486	35.4840397836092	0.0364484142351616	0.109910198614346	1.88617021276596	1.07705064064903	3.24784636905392	8	107	1
SPAC1002.04c	29	66	17	100	641	300	0.29	129.395948478995	0.102964118564743	45.9418613137538	0.277298282753966	0.693211129923821	2.81651515151515	1.77748199245292	4.44348334281169	12	117	0.361007180289058
SPAC1002.05c	9	163	107	100	2086	300	0.09	40.1573633210675	0.0781399808245446	34.8655066652498	0.0264291977856019	0.111213355153423	1.15177914110429	0.551313065807656	2.31991058850041	7	102	1
SPAC1002.06c	18	17	15	100	311	300	0.18	80.314726642135	0.0546623794212219	24.3899670045783	0.521508097535065	2.1521560583989	3.29294117647059	1.62189018333405	6.69320534162057	6	112	1
SPAC1002.07c	22	88	47	100	1084	300	0.22	98.1624436737205	0.0811808118081181	36.2223039386423	0.152293324219609	0.407023743493648	2.71	1.65085963454057	4.41213737947114	9	113	1
SPAC1002.08c	25	117	48	100	1783	300	0.25	111.54823144741	0.0656197420078519	29.2790646760447	0.135375719235175	0.334902091673753	3.80982905982906	2.41374907396317	5.97130429454301	7	118	0.00403130774709027
SPAC1002.09c	13	359	49	100	2132	300	0.13	58.005080352653	0.168386491557223	75.1328613313698	0.0199268784079827	0.0644203426664073	0.772033426183844	0.424841047658192	1.3734417056478	16	97	1
SPAC1002.10c	6	70	60	100	1806	300	0.06	26.7715755473783	0.0387596899224806	17.2942994492108	0.0335929980770936	0.204778247038997	1.548	0.60668954527231	3.69829514152429	3	103	1
SPAC1002.11	11	84	30	100	1871	300	0.11	49.0812218368603	0.0448957776590059	20.0321783892729	0.0661254000059329	0.252741449957186	2.45011904761905	1.237206234111	4.72879252869895	4	107	1
SPAC1002.12c	22	237	37	100	1692	300	0.22	98.1624436737205	0.140070921985816	62.4986544989033	0.0584243687769095	0.146119979593371	1.57063291139241	0.988540319705309	2.47235005471984	14	108	1
SPAC1002.13c	106	2251	363	100	1829	300	1.06	472.964501337017	1.23072717331875	549.141758311907	0.0385588043630926	0.0574578087938424	0.861279431363838	0.705240531800964	1.05090332283938	113	93	1
SPAC1002.14	11	159	81	100	1485	300	0.11	49.0812218368603	0.107070707070707	47.7741920542442	0.0356005688500092	0.130884615320385	1.02735849056604	0.528668447422637	1.94363653750772	10	101	1
SPAC1002.15c	1	136	9	100	2754	300	0.01	4.46192925789639	0.0493827160493827	22.034218557513	0.000381286087926348	0.0482652736722331	0.2025	0.0105006188614916	1.3292256369333	4	97	1
SPAC1002.16c	4	68	4	100	1906	300	0.04	17.8477170315856	0.0356768100734523	15.9187402695149	0.0182743894999811	0.167504599733104	1.12117647058824	0.34830986386964	3.19263767091295	3	101	1
SPAC1002.17c	2	100	19	100	990	300	0.02	8.92385851579278	0.101010101010101	45.0699925040039	0.00341511778310214	0.0821436396003927	0.198	0.0338096660527112	0.813222032043888	9	93	1
SPAC1002.18	2	52	5	100	1505	300	0.02	8.92385851579278	0.0345514950166113	15.4166326518679	0.00648283335729948	0.160629404222807	0.578846153846154	0.0975666420273572	2.41747253355325	3	99	1
SPAC1002.19	4	152	22	100	1563	300	0.04	17.8477170315856	0.0972488803582854	43.3917624568299	0.00831402089439606	0.0735139028174754	0.411315789473684	0.12994814657941	1.14902230103714	9	95	1
SPAC1002.20	0	8	47	100	548	300	0	0	0.0145985401459854	6.51376533999473	0.0116892782926356	0.673070909790981	0	0.0640572450436429	3.68842858565458	1	99	1
