Isk1as_3MBPP1_combined_pr_counts	Isk1as_3MBPP1_combinedgb_counts	Isk1as_3MBPP1_combinedterm_counts	Isk1as_3MBPP1_combinedpr_map	Isk1as_3MBPP1_combinedgb_map	Isk1as_3MBPP1_combinedterm_map	Isk1as_3MBPP1_combinedpr_density	Isk1as_3MBPP1_combinedpr_densityRPKM	Isk1as_3MBPP1_combinedgb_density	Isk1as_3MBPP1_combinedgb_densityRPKM	Isk1as_3MBPP1_combinedpause_index_CI_low	Isk1as_3MBPP1_combinedpause_index_CI_high	Isk1as_3MBPP1_combinedpause_index_scaled	Isk1as_3MBPP1_combinedpause_index_CI_low_scaled	Isk1as_3MBPP1_combinedpause_index_CI_high_scaled	Isk1as_3MBPP1_combined_ExpPR	Isk1as_3MBPP1_combined_ExpGB	Isk1as_3MBPP1_combinedFexact_Pval
SPAC212.08c	0	7	2	0	437	300	NA	NA	0.0160183066361556	2.12311310392924	0.0134151780994594	0.782741335671289	NA	NA	NA	0	0	1
SPAC212.07c	1	13	4	100	690	300	0.01	1.32542918059582	0.0188405797101449	2.49718541271677	0.00375396436557918	0.55840707127902	0.530769230769231	0.0259023541224964	3.85300879182524	1	100	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	83	0	0	598	35	NA	NA	0.138795986622074	18.3964250818484	0.00109800574614357	0.0583369154812046	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.02	0	1	3	0	166	0	NA	NA	0.00602409638554217	0.798451313611942	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	726	30	100	2712	300	0	0	0.267699115044248	35.4816218699324	0.000125231578554931	0.00660501073532795	0	0.00339628041040973	0.179127891142094	21	79	1
SPNCRNA.19	3	7	7	100	225	300	0.03	3.97628754178747	0.0311111111111111	4.12355745074256	0.0880775067426534	1.82748877281164	0.964285714285714	0.19817439017097	4.11184973882619	3	100	1
SPAC977.11	49	49	0	100	105	0	0.49	64.9460298491953	0.466666666666667	61.8533617611384	0.661093969850375	1.51264426179281	1.05	0.694148668342893	1.58827647488245	47	102	1
SPAC977.12	0	93	98	0	377	300	NA	NA	0.246684350132626	32.69626360621	0.000979657372893479	0.0520027148584582	NA	NA	NA	0	0	1
SPAC977.15	16	13	1	100	712	300	0.16	21.2068668895332	0.0182584269662921	2.42002518929013	0.562022990803438	2.71002979688313	8.76307692307692	4.00160369452048	19.2954121538079	2	114	0.000616614331190616
SPAC977.17	47	831	72	100	3396	300	0.47	62.2951714880037	0.24469964664311	32.4332052142264	0.0416661425037157	0.076540974440749	1.92072202166065	1.41498219942618	2.59933149200784	28	119	1
SPNCRNA.137	3	3	14	100	155	300	0.03	3.97628754178747	0.0193548387096774	2.56534680115321	0.162070833932487	6.17014163335868	1.55	0.251209792595355	9.56371953170596	1	102	1
SPAC1F8.01	0	29	3	100	1598	300	0	0	0.0181476846057572	2.40534707367202	0.00315841214605714	0.170434554760817	0	0.050471426093993	2.72354418507786	1	99	1
SPNCRNA.139	0	22	37	100	685	300	0	0	0.0321167883211679	4.2568528427895	0.00417368066078422	0.226956323474185	0	0.0285897125263719	1.55465081579817	3	97	1
SPNCRNA.605	2	487	40	100	2889	300	0.02	2.65085836119165	0.168570439598477	22.3428179629687	0.000709238077831756	0.0166258927311742	0.11864476386037	0.0204898880685594	0.480322041003624	14	88	1
SPAC1F8.05	1	54	36	100	977	300	0.01	1.32542918059582	0.0552712384851586	7.32581123359001	0.000950728189351767	0.123527161358272	0.180925925925926	0.00928861440996677	1.20686036647032	5	96	1
SPAC1F8.06	23	264	54	100	1314	300	0.23	30.4848711537039	0.200913242009132	26.6296273727015	0.055493822951864	0.13558338501715	1.14477272727273	0.729188833587493	1.78156567912535	20	103	1
SPAC1F8.08	6	188	38	100	957	300	0.06	7.95257508357494	0.19644723092999	26.0376892321854	0.0127956492822715	0.0743724449760959	0.305425531914894	0.122454363631338	0.711744298421238	17	89	1
SPAC11D3.19	54	147	19	100	1210	300	0.54	71.5731757521744	0.121487603305785	16.1023214502137	0.265619689088108	0.50707984864646	4.44489795918367	3.2139982379661	6.13566616862217	16	138	9.73990780405618e-10
SPNCRNA.608	1	757	12	100	2549	300	0.01	1.32542918059582	0.296979207532366	39.362490769362	6.8874217011192e-05	0.00859628043928733	0.0336723910171731	0.00175560379161528	0.219119188397434	23	78	1
SPAC11D3.05	277	2530	86	100	1753	300	2.77	367.143883025043	1.44324015972618	191.291262230886	0.096518194866562	0.124171371882889	1.91929249011858	1.69196395601083	2.17672414910704	222	155	9.35454549355923e-05
SPAC11D3.06	20	708	43	100	1521	300	0.2	26.5085836119165	0.465483234714004	61.6965062368075	0.0176162095780226	0.0447951284304251	0.429661016949153	0.267942547681723	0.681333903426766	38	82	1
SPAC11D3.09	1	109	16	100	1729	300	0.01	1.32542918059582	0.0630422209369578	8.35579992394128	0.000474955013323654	0.0603789261015892	0.158623853211009	0.00821197218036597	1.04395163229648	5	96	1
SPAC11D3.10	4	243	0	100	4126	300	0.04	5.30171672238329	0.0588948133785749	7.80609042377084	0.0052274647370926	0.0457160338867446	0.67917695473251	0.215685195052441	1.88624355816708	5	99	1
SPAC11D3.13	3	172	100	100	920	300	0.03	3.97628754178747	0.18695652173913	24.7797629415741	0.00445755066873454	0.0562710810167799	0.16046511627907	0.0410094661523578	0.517693945354375	16	87	1
SPNCRNA.609	48	759	16	100	4138	300	0.48	63.6206006685995	0.183421942967617	24.3112795570863	0.0466990975192753	0.0853925864689133	2.61691699604743	1.93240865534761	3.53354522808363	22	126	0.00250854757204227
SPNCRNA.147	7	14	8	100	333	300	0.07	9.27800426417076	0.042042042042042	5.57237493343589	0.183170857806287	1.31991330547451	1.665	0.609958956494934	4.39531130723013	4	103	1
SPAC11D3.15	61	392	9	100	3921	300	0.61	80.8511800163452	0.0999744963019638	13.2509114713992	0.117680677547305	0.205376271626694	6.10155612244898	4.61425936662983	8.05280361048266	14	147	4.79902860619424e-18
SPAC11D3.17	19	1122	46	100	3291	300	0.19	25.1831544313206	0.340929808568824	45.1878316812067	0.0104514180686268	0.0271065964819415	0.557299465240642	0.343956168638509	0.892078090220694	30	89	1
