Cdk9as_3MBPP1_combined_pr_counts	Cdk9as_3MBPP1_combinedgb_counts	Cdk9as_3MBPP1_combinedterm_counts	Cdk9as_3MBPP1_combinedpr_map	Cdk9as_3MBPP1_combinedgb_map	Cdk9as_3MBPP1_combinedterm_map	Cdk9as_3MBPP1_combinedpr_density	Cdk9as_3MBPP1_combinedpr_densityRPKM	Cdk9as_3MBPP1_combinedgb_density	Cdk9as_3MBPP1_combinedgb_densityRPKM	Cdk9as_3MBPP1_combinedpause_index_CI_low	Cdk9as_3MBPP1_combinedpause_index_CI_high	Cdk9as_3MBPP1_combinedpause_index_scaled	Cdk9as_3MBPP1_combinedpause_index_CI_low_scaled	Cdk9as_3MBPP1_combinedpause_index_CI_high_scaled	Cdk9as_3MBPP1_combined_ExpPR	Cdk9as_3MBPP1_combined_ExpGB	Cdk9as_3MBPP1_combinedFexact_Pval
SPAC212.08c	0	4	7	0	437	300	NA	NA	0.0091533180778032	0.454506492906023	0.0240893601812892	1.52670069174082	NA	NA	NA	0	0	1
SPAC212.07c	2	10	3	100	690	300	0.02	0.993096686999659	0.0144927536231884	0.719635280434536	0.0303002114505232	0.965353981350509	1.38	0.20907145900861	6.66094247131851	1	101	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	108	0	0	598	35	NA	NA	0.180602006688963	8.96776272541498	0.000843312924007766	0.0447192750342544	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	1	0	0	34	0	NA	NA	0.0294117647058824	1.46043630441126	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC977.02	0	19	7	0	166	0	NA	NA	0.114457831325301	5.68338465451612	0.00484054272324269	0.264551414760663	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	1389	16	100	2712	300	0	0	0.51216814159292	25.4316242301351	6.5446250196516e-05	0.00345023927013377	0	0.00177490230532951	0.0935704890060278	33	67	1
SPNCRNA.19	5	12	14	100	225	300	0.05	2.48274171749915	0.0533333333333333	2.64825783199909	0.128370139595691	1.27025024361241	0.9375	0.288832814090304	2.85806304812791	5	100	1
SPAC977.11	39	96	0	100	105	0	0.39	19.3653853964934	0.914285714285714	45.398705691413	0.275172430997167	0.598015497965409	0.4265625	0.288931052547026	0.62791627286368	66	73	1
SPAC977.12	0	242	66	0	377	300	NA	NA	0.641909814323607	31.873925497867	0.000375924984482166	0.0198645942006266	NA	NA	NA	0	0	1
SPAC977.15	32	48	6	100	712	300	0.32	15.8895469919945	0.0674157303370786	3.34751692247076	0.416277011142951	1.06509540406671	4.74666666666667	2.96389231933781	7.583479276955	8	124	3.26131991615461e-05
SPAC977.17	228	2545	48	100	3396	300	2.28	113.213022317961	0.749411071849234	37.2118826327169	0.078046125059038	0.102807190303313	3.04238899803536	2.65044640700493	3.49133218270049	140	188	1.34096606596175e-17
SPNCRNA.137	7	4	59	100	155	300	0.07	3.47583840449881	0.0258064516129032	1.28141507999956	0.462279710456416	7.08729012833336	2.7125	0.716533551207445	10.9852996989167	2	105	1
SPAC1F8.01	0	22	0	100	1598	300	0	0	0.0137672090112641	0.683608482915911	0.00417368066078422	0.226956323474185	0	0.0666954169593319	3.62676204911748	1	99	1
SPNCRNA.139	0	12	46	100	685	300	0	0	0.0175182481751825	0.869865711240577	0.00771806013949717	0.431135285113533	0	0.0528687119555556	2.9532767030277	1	99	1
SPNCRNA.605	0	615	35	100	2889	300	0	0	0.212876427829699	10.5703437608998	0.000147842521343745	0.0077988914143508	0	0.00427117044162079	0.225309972960595	17	83	1
SPAC1F8.05	0	121	67	100	977	300	0	0	0.123848515864893	6.14967753976247	0.000752542158547959	0.0398786173471945	0	0.00735233688901356	0.38961409148209	11	89	1
SPAC1F8.06	31	1813	170	100	1314	300	0.31	15.3929986484947	1.37975646879756	68.5115789014605	0.011780965259932	0.0246732805039726	0.224677330391616	0.154801883515507	0.324206905822199	75	56	1
SPAC1F8.08	5	418	54	100	957	300	0.05	2.48274171749915	0.436781609195402	21.6883184517167	0.00437883459317598	0.0298570899926787	0.114473684210526	0.0419054470566941	0.285732351229935	31	74	1
SPAC11D3.19	79	165	9	100	1210	300	0.79	39.2273191364865	0.136363636363636	6.77111377499768	0.362883452915184	0.631138885242915	5.79333333333333	4.39088978027373	7.63678051143927	21	158	7.01175674368707e-19
SPNCRNA.608	1	641	2	100	2549	300	0.01	0.49654834349983	0.251471165162809	12.4867590499565	8.13206123553272e-05	0.0101554147361798	0.0397659906396256	0.00207286240893729	0.258861521625224	20	81	1
SPAC11D3.05	277	4378	16	100	1753	300	2.77	137.543891149453	2.49743297204792	124.009620527225	0.0559268911373147	0.0715643827139087	1.10913887619918	0.980398401637126	1.25452362897482	269	108	1
SPAC11D3.06	33	1233	14	100	1521	300	0.33	16.3860953354944	0.810650887573965	40.2527355381519	0.0186308948398691	0.0382460315305162	0.407080291970803	0.283375910514409	0.581722139579152	59	74	1
SPAC11D3.09	2	120	28	100	1729	300	0.02	0.993096686999659	0.0694042799305957	3.44625802313358	0.00285266339511756	0.0682465855228701	0.288166666666667	0.0493225501015826	1.17998346369042	6	96	1
SPAC11D3.10	8	427	4	100	4126	300	0.08	3.97238674799864	0.103490063015027	5.13878193588045	0.00865034648749803	0.0388120507038343	0.773021077283372	0.356913296074169	1.6013852120402	10	98	1
SPAC11D3.13	7	967	269	100	920	300	0.07	3.47583840449881	1.05108695652174	52.1915487135147	0.00316276788196697	0.0156866222686458	0.0665977249224405	0.0290974645140961	0.144316924871541	54	53	1
SPNCRNA.609	129	705	11	100	4138	300	1.29	64.054736311478	0.170372160463992	8.45980140568825	0.150967522489792	0.221643167710971	7.57165957446809	6.24703608062757	9.17159427988	33	196	1.04996950786856e-41
SPNCRNA.147	7	9	30	100	333	300	0.07	3.47583840449881	0.027027027027027	1.34202254999954	0.261889060754899	2.27287061656872	2.59	0.872090572313812	7.56865915317385	2	105	1
SPAC11D3.15	52	2214	14	100	3921	300	0.52	25.8205138619911	0.564651874521806	28.0376952947876	0.017657391885466	0.0311583079048728	0.920921409214092	0.692346335829122	1.22171725295006	54	98	1
