V4	mcs6as_3MBPP1r2_pr_counts	mcs6as_3MBPP1r2gb_counts	mcs6as_3MBPP1r2term_counts	mcs6as_3MBPP1r2pr_map	mcs6as_3MBPP1r2gb_map	mcs6as_3MBPP1r2term_map	mcs6as_3MBPP1r2pr_density	mcs6as_3MBPP1r2pr_densityRPKM	mcs6as_3MBPP1r2gb_density	mcs6as_3MBPP1r2gb_densityRPKM	mcs6as_3MBPP1r2pause_index_CI_low	mcs6as_3MBPP1r2pause_index_CI_high	mcs6as_3MBPP1r2pause_index_scaled	mcs6as_3MBPP1r2pause_index_CI_low_scaled	mcs6as_3MBPP1r2pause_index_CI_high_scaled	mcs6as_3MBPP1r2_ExpPR	mcs6as_3MBPP1r2_ExpGB	mcs6as_3MBPP1r2Fexact_Pval
SPAC1002.01	117	155	207	100	481	300	1.17	138.185331331811	0.322245322245322	38.0594672005095	0.589581064039409	0.966168660479996	3.63077419354839	2.83588491802956	4.64727125690878	52	165	1.98835765716063e-11
SPAC1002.02	105	383	89	100	837	300	1.05	124.012476836241	0.457586618876941	54.0442380705243	0.219585496802626	0.342015713499644	2.29464751958225	1.83793060823798	2.86267152199202	64	141	0.000307394796021059
SPAC1002.03c	18	775	102	100	2955	300	0.18	21.2592817433556	0.262267343485618	30.975640818012	0.0141115433503223	0.0377283192432935	0.686322580645161	0.416996106002024	1.11487183363932	24	94	1
SPAC1002.04c	154	302	31	100	641	300	1.54	181.884966026487	0.471138845553822	55.6448525437111	0.417986769197683	0.62191087435628	3.26867549668874	2.67929519055715	3.98644870462375	81	173	1.1301787095501e-12
SPAC1002.05c	36	348	479	100	2086	300	0.36	42.5185634867112	0.166826462128476	19.7033931146472	0.0722434284206053	0.147481011274793	2.15793103448276	1.50699791685383	3.07645389519219	19	117	1
SPAC1002.06c	17	62	42	100	311	300	0.17	20.0782105353914	0.19935691318328	23.545471026939	0.154456853565241	0.481007569461332	0.852741935483871	0.480360814587899	1.49593354102474	19	98	1
SPAC1002.07c	66	415	36	100	1084	300	0.66	77.9506997256372	0.382841328413284	45.2162870207696	0.12157001010762	0.207696053643569	1.72395180722892	1.31781890956661	2.25142522149629	45	121	1
SPAC1002.08c	93	431	104	100	1783	300	0.93	109.839622340671	0.241727425687044	28.5497302654274	0.171330643010286	0.271491693145724	3.84730858468677	3.05482536487339	4.84069688878825	37	156	1.01375415528694e-13
SPAC1002.09c	16	1497	76	100	2132	300	0.16	18.8971393274272	0.702157598499062	82.9298123040528	0.00630738327774763	0.0178277690831334	0.227869071476286	0.13447341148158	0.380088036852403	47	69	1
SPAC1002.10c	34	247	280	100	1806	300	0.34	40.1564210707828	0.136766334440753	16.1530779826776	0.0945377097069189	0.199490784075116	2.48599190283401	1.70735103730695	3.60280356039659	16	118	0.234512734126792
SPAC1002.11	24	562	124	100	1871	300	0.24	28.3457089911408	0.300374131480492	35.4763238308862	0.0277315051577295	0.0652109349147728	0.799003558718861	0.518856461501118	1.2200965922554	28	96	1
SPAC1002.12c	217	507	43	100	1692	300	2.17	256.292452128231	0.299645390070922	35.3902542811968	0.363913558083	0.503283520141051	7.24189349112426	6.15741740276437	8.51555716078659	73	244	2.26795014675602e-52
SPAC1002.13c	963	9079	866	100	1829	300	9.63	1137.37157326952	4.96391470749043	586.273673980698	0.0991949967700391	0.113415725895064	1.94000110144289	1.81427649092401	2.07437362662072	884	179	1.69223970656635e-07
SPAC1002.14	20	556	117	100	1485	300	0.2	23.621424159284	0.374410774410774	44.2205785608145	0.0223919104834851	0.0571464601746272	0.534172661870504	0.332519870679754	0.848624933593214	32	88	1
SPAC1002.15c	16	453	10	100	2754	300	0.16	18.8971393274272	0.164488017429194	19.4272061440734	0.0207094274006673	0.0593081366352151	0.972715231788079	0.570337630614377	1.63334608293382	16	100	1
SPAC1002.16c	33	325	32	100	1906	300	0.33	38.9753498628186	0.170514165792235	20.1389371767243	0.0697559101298136	0.14706090889399	1.93532307692308	1.32954764707425	2.80298092351945	19	114	1
SPAC1002.17c	9	1192	105	100	990	300	0.09	10.6296408716778	1.2040404040404	142.20574544377	0.00367495636571658	0.0149413380769957	0.074748322147651	0.0363820680205942	0.147919246962258	59	50	1
SPAC1002.18	29	596	92	100	1505	300	0.29	34.2510650309618	0.396013289036545	46.7719893652268	0.0328829389103941	0.0715473441875323	0.732298657718121	0.494888230601431	1.07678753002236	36	93	1
SPAC1002.19	10	732	63	100	1563	300	0.1	11.810712079642	0.468330134357006	55.3131237511065	0.00691038620755169	0.0261583946814041	0.213524590163934	0.108009336424033	0.408855708870347	35	75	1
SPAC1002.20	1	16	230	100	548	300	0.01	1.1810712079642	0.0291970802919708	3.44838308894657	0.00308778638028139	0.444289421552728	0.3425	0.016921069363942	2.43470603010895	2	99	1
SPAC1006.01	90	1420	215	100	1664	300	0.9	106.296408716778	0.853365384615385	100.788528564253	0.0509086138412934	0.0788179186134403	1.05464788732394	0.847119334319122	1.31153016572765	87	103	1
SPAC1006.02	101	338	41	100	1217	300	1.01	119.288192004384	0.277732128184059	32.8021420124815	0.237744998380136	0.375279849716149	3.6365976331361	2.89335663028625	4.56715577104554	43	158	9.51426987737977e-13
SPAC1006.03c	150	1462	58	100	2770	300	1.5	177.16068119463	0.527797833935018	62.336682528652	0.086405868974073	0.121764928274575	2.84199726402189	2.39344257058182	3.37288851320572	86	164	1.04354793736176e-11
SPAC1006.04c	15	318	167	100	3993	300	0.15	17.716068119463	0.0796393688955672	9.40597656229941	0.0270551134989856	0.0808495038030001	1.88349056603774	1.0803106820145	3.2283206868538	8	107	1
SPAC1006.05c	150	1128	25	100	2032	300	1.5	177.16068119463	0.55511811023622	65.5634017019497	0.111723572910768	0.158198271165042	2.70212765957447	2.27022300154682	3.21458887007366	89	161	3.57189545889463e-10
SPAC1006.06	67	2091	17	100	4139	300	0.67	79.1317709336014	0.505194491423049	59.667066824188	0.0249228600703569	0.0411208354724928	1.3262219033955	1.03155717831207	1.70199138020648	56	111	1
SPAC1006.07	898	3638	936	100	1302	300	8.98	1060.60194475185	2.79416282642089	330.010526464958	0.22929518743248	0.265716746243925	3.21384277075316	2.98542334037089	3.4596320360959	734	264	4.17208522480367e-29
SPAC1006.08	32	321	292	100	1457	300	0.32	37.7942786548544	0.220315717227179	26.0208550279003	0.0680902268848253	0.145183001534399	1.45246105919003	0.992074605711904	2.11531633235619	23	109	1
SPAC1006.09	230	2543	114	100	4844	300	2.3	271.646377831766	0.524979355904211	62.0038002034054	0.0788365521203871	0.103733174208536	4.38112465591821	3.81884258471155	5.02483495866149	113	217	2.3347340264061e-33
SPAC1039.01	4	617	68	100	2977	300	0.04	4.7242848318568	0.2072556264696	24.4783653111828	0.00206964988896355	0.0178983202253437	0.192998379254457	0.0616134771944449	0.532832993108481	17	87	1
SPAC1039.02	8	668	110	100	2733	300	0.08	9.4485696637136	0.244420051225759	28.8677485151879	0.00554352895222923	0.0247427254885487	0.327305389221557	0.151504646264425	0.676218687602037	21	87	1
SPAC1039.03	21	559	30	100	1499	300	0.21	24.8024953672482	0.372915276851234	44.0439496498991	0.0236623579363943	0.059030065156079	0.563130590339893	0.354698745466551	0.884860676689624	32	89	1
SPAC1039.04	10	383	25	100	1844	300	0.1	11.810712079642	0.207700650759219	24.5309258487141	0.0131524674222927	0.0502136925271069	0.481462140992167	0.242531499267077	0.925940490199851	18	92	1
SPAC1039.05c	4	444	38	100	3153	300	0.04	4.7242848318568	0.14081826831589	16.6316402263274	0.00287223089281635	0.0249096529787188	0.284054054054054	0.0905614400504996	0.785401358419005	12	92	1
SPAC1039.06	8	257	35	100	1966	300	0.08	9.4485696637136	0.130722278738555	15.4392319657578	0.0143060350217661	0.064803697531952	0.611984435797665	0.281256648527921	1.27404069347818	12	96	1
SPAC1039.07c	25	288	30	100	1430	300	0.25	29.526780199105	0.201398601398601	23.7866089436146	0.0563824953765293	0.132617769824168	1.24131944444444	0.806269683884368	1.8964341084856	20	105	1
SPAC1039.08	9	116	6	100	995	300	0.09	10.6296408716778	0.116582914572864	13.769272374256	0.0368526835355662	0.157559474302548	0.77198275862069	0.366684201178883	1.56771676931035	11	98	1
SPAC1039.09	0	137	8	100	3060	300	0	0	0.0447712418300654	5.28780246702926	0.000664511088987998	0.0351903629847887	0	0.0203340393230327	1.07682510733453	4	96	1
SPAC1039.10	0	72	6	100	888	300	0	0	0.0810810810810811	9.57625303754756	0.00126627693287426	0.0673624665384445	0	0.0112445391639234	0.598178702861388	7	93	1
SPAC1039.11c	1	658	54	100	3471	300	0.01	1.1810712079642	0.189570728896572	22.3896529772528	7.92225110536939e-05	0.00989246763025993	0.0527507598784195	0.00274981335867371	0.343367551446322	16	85	1
SPAC105.01c	94	757	36	100	3151	300	0.94	111.020693548635	0.240241193271977	28.3741956340495	0.0996101358985133	0.154638319876444	3.91273447820343	3.13871538216215	4.87265345930674	37	157	6.08528760733278e-15
SPAC105.02c	134	907	121	100	1418	300	1.34	158.263541867203	0.639633286318759	75.5452458126607	0.122698624512908	0.177786965463918	2.09495038588754	1.73986649559303	2.52101917027835	91	143	0.000391523768003085
SPAC105.03c	14	811	23	100	2487	294	0.14	16.5349969114988	0.326095697627664	38.5142239509033	0.00977656223501755	0.0299007456655521	0.429321824907522	0.243143102784887	0.743631544702281	28	86	1
SPAC1071.01c	118	791	26	100	2319	300	1.18	139.366402539776	0.341095299698146	40.28578376454	0.122339015058493	0.18177619465772	3.45944374209861	2.83704175920645	4.21538995411253	55	163	2.76960566828525e-14
SPAC1071.02	45	812	34	100	3405	300	0.45	53.148204358389	0.238472834067548	28.1653398198805	0.0405490400546284	0.0754963279330116	1.88700738916256	1.3806948138601	2.57064996611905	27	118	1
SPAC1071.03c	54	727	26	100	1677	300	0.54	63.7778452300668	0.433512224209899	51.2008806314832	0.055760635995387	0.098703942899043	1.24563961485557	0.93510586564264	1.65526512241695	46	108	1
SPAC1071.04c	20	136	131	100	331	300	0.2	23.621424159284	0.410876132930514	48.5273970643901	0.0892728561798228	0.239752721319959	0.486764705882353	0.295493153955214	0.793581507569064	34	86	1
SPAC1071.05	50	482	151	100	1458	300	0.5	59.05356039821	0.330589849108368	39.0450152427122	0.0766509491496778	0.140011496809929	1.51244813278008	1.1175708386023	2.04136762348876	37	113	1
SPAC1071.06	118	374	66	100	1678	300	1.18	139.366402539776	0.222884386174017	26.3242331214905	0.255117721367128	0.389954440586684	5.29422459893048	4.28087536454041	6.54343551304455	39	179	5.93784171431892e-25
SPAC1071.07c	1054	1233	373	100	468	300	10.54	1244.84905319427	2.63461538461538	311.166837482876	0.786676830655181	0.92887275730135	4.00058394160584	3.68164756746625	4.34712450417032	836	318	1.94920894978643e-34
SPAC1071.08	183	832	917	100	320	300	1.83	216.136031057448	2.6	307.078514070692	0.186801184514061	0.258895895553549	0.703846153846154	0.597763790444995	0.828466865771355	204	79	1
SPAC1071.09c	146	330	1688	100	2232	300	1.46	172.436396362773	0.147849462365591	17.4620743112986	0.362357925209761	0.539976891203869	9.87490909090909	8.08782889068186	12.0522842116704	31	215	1.55502041317705e-53
