CDK9as_dis2ts_3MBPP1_18Cr2_pr_counts	CDK9as_dis2ts_3MBPP1_18Cr2gb_counts	CDK9as_dis2ts_3MBPP1_18Cr2term_counts	CDK9as_dis2ts_3MBPP1_18Cr2pr_map	CDK9as_dis2ts_3MBPP1_18Cr2gb_map	CDK9as_dis2ts_3MBPP1_18Cr2term_map	CDK9as_dis2ts_3MBPP1_18Cr2pr_density	CDK9as_dis2ts_3MBPP1_18Cr2pr_densityRPKM	CDK9as_dis2ts_3MBPP1_18Cr2gb_density	CDK9as_dis2ts_3MBPP1_18Cr2gb_densityRPKM	CDK9as_dis2ts_3MBPP1_18Cr2pause_index_CI_low	CDK9as_dis2ts_3MBPP1_18Cr2pause_index_CI_high	CDK9as_dis2ts_3MBPP1_18Cr2pause_index_scaled	CDK9as_dis2ts_3MBPP1_18Cr2pause_index_CI_low_scaled	CDK9as_dis2ts_3MBPP1_18Cr2pause_index_CI_high_scaled	CDK9as_dis2ts_3MBPP1_18Cr2_ExpPR	CDK9as_dis2ts_3MBPP1_18Cr2_ExpGB	CDK9as_dis2ts_3MBPP1_18Cr2Fexact_Pval
SPAC212.08c	0	5	4	0	437	300	NA	NA	0.011441647597254	3.59444298625481	0.0190383591688732	1.16008855872718	NA	NA	NA	0	0	1
SPAC212.07c	0	5	1	100	690	300	0	0	0.0072463768115942	2.27648055796138	0.0190383591688732	1.16008855872718	0	0.131364678265225	8.00461105521756	0	100	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	43	0	0	598	35	NA	NA	0.0719063545150502	22.5896916905398	0.00212472625826863	0.113763425024706	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	1	0	0	34	0	NA	NA	0.0294117647058824	9.23983285290207	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC977.02	0	1	0	0	166	0	NA	NA	0.00602409638554217	1.89249588553416	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	1	0	0	34	0	NA	NA	0.0294117647058824	9.23983285290207	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	313	2	100	2712	300	0	0	0.115412979351032	36.2574857008052	0.000290590660371076	0.0153455124806605	0	0.00788081870926358	0.416170298475513	10	90	1
SPNCRNA.19	6	9	6	100	225	300	0.06	18.8492590199202	0.04	12.5661726799468	0.211486344637854	2.04033974587974	1.5	0.475844275435171	4.59076442822941	4	102	1
SPAC977.11	6	22	0	100	105	0	0.06	18.8492590199202	0.20952380952381	65.8228092759119	0.099238444329978	0.708298164460976	0.286363636363636	0.104200366546477	0.743713072684025	18	88	1
SPAC977.12	0	33	13	0	377	300	NA	NA	0.0875331564986737	27.4989189945786	0.0027729657495468	0.149200036234492	NA	NA	NA	0	0	1
SPAC977.15	2	26	2	100	712	300	0.02	6.2830863399734	0.0365168539325843	11.4719273061312	0.0126267060000113	0.332593862792864	0.547692307692308	0.0899021467200803	2.36806830308519	3	99	1
SPAC977.17	28	646	12	100	3396	300	0.28	87.9632087596277	0.190223792697291	59.7596256717141	0.0291084887176442	0.0641112928261475	1.47195046439628	0.988524276851198	2.17721950437597	20	108	1
SPNCRNA.137	1	8	8	100	155	300	0.01	3.1415431699867	0.0516129032258065	16.2144163612217	0.00586171689225921	0.973546520057376	0.19375	0.00908566118300178	1.50899710608893	4	97	1
SPAC1F8.01	2	56	1	100	1598	300	0.02	6.2830863399734	0.0350438047559449	11.0091625481386	0.00603134616359581	0.148785962361529	0.570714285714286	0.096380911694261	2.37759967853723	3	99	1
SPNCRNA.139	0	6	8	100	685	300	0	0	0.00875912408759124	2.75171664524383	0.0157393406208896	0.93492067967121	0	0.107814483253094	6.40420665574779	0	100	1
SPNCRNA.605	0	171	23	100	2889	300	0	0	0.059190031152648	18.5948038098901	0.000532214012910368	0.0281562920265299	0	0.0153756628329805	0.813435276646449	5	95	1
SPAC1F8.05	3	69	38	100	977	300	0.03	9.42462950996011	0.0706243602865916	22.1869476693022	0.0109411794612652	0.14286046799695	0.424782608695652	0.106895323336561	1.39574677233021	6	97	1
SPAC1F8.06	6	207	25	100	1314	300	0.06	18.8492590199202	0.157534246575342	49.4900636367768	0.0116357915984721	0.0674536289656269	0.380869565217391	0.152894301603923	0.886340684608337	14	92	1
SPAC1F8.08	3	78	14	100	957	300	0.03	9.42462950996011	0.0815047021943574	25.6050540500484	0.0097073997032946	0.12593283491389	0.368076923076923	0.0928998151605293	1.20517723012593	7	96	1
SPAC11D3.19	32	286	3	100	1210	300	0.32	100.529381439574	0.236363636363636	74.2546567451402	0.076259060524875	0.163307238468989	1.35384615384615	0.922734632350988	1.97601758547477	25	107	1
SPNCRNA.608	1	229	0	100	2549	300	0.01	3.1415431699867	0.0898391526088662	28.2233576275777	0.000227050481356244	0.0285412374784691	0.111310043668122	0.00578751676977067	0.727516143326177	8	93	1
SPAC11D3.05	32	684	8	100	1753	300	0.32	100.529381439574	0.390188248716486	122.579322776435	0.0322579966774411	0.0674817646509375	0.820116959064327	0.565482681755542	1.18295533433093	37	95	1
SPAC11D3.06	5	237	13	100	1521	300	0.05	15.7077158499335	0.155818540433925	48.9510671457494	0.00768972386349628	0.0529107116702909	0.320886075949367	0.116960699963778	0.804771924505124	14	91	1
SPAC11D3.09	1	148	25	100	1729	300	0.01	3.1415431699867	0.0855986119144014	26.891173462003	0.000350558983861302	0.0443138486220467	0.116824324324324	0.00606116483096191	0.766186442675187	7	94	1
SPAC11D3.10	2	169	0	100	4126	300	0.02	6.2830863399734	0.0409597673291323	12.867687729708	0.0020325307121398	0.0482472660499252	0.488284023668639	0.0838622171828881	1.99068219721991	4	98	1
SPAC11D3.13	1	100	16	100	920	300	0.01	3.1415431699867	0.108695652173913	34.1472083694207	0.000517317400909555	0.0658912839752478	0.092	0.00475932008836791	0.606199812572279	9	92	1
SPNCRNA.609	14	108	7	100	4138	300	0.14	43.9816043798138	0.0260995650072499	8.19929101881498	0.0711883079494484	0.2318506667195	5.36407407407407	2.94577218294818	9.59398058885293	2	112	0.0165401122590004
SPNCRNA.147	2	10	3	100	333	300	0.02	6.2830863399734	0.03003003003003	9.43406357353364	0.0303002114505232	0.965353981350509	0.666	0.100899704130242	3.2146287578972	2	100	1
SPAC11D3.15	31	1042	10	100	3921	300	0.31	97.3878382695878	0.265748533537363	83.4860490468285	0.0204498242399086	0.0430323567479055	1.16651631477927	0.801837608446815	1.68729870808537	27	104	1
SPAC11D3.17	19	547	29	100	3291	300	0.19	59.6893202297473	0.166210878152537	52.2158649037595	0.0213466206126626	0.0558447021598805	1.14312614259598	0.702517284362725	1.83784914808167	16	103	1
SPNCRNA.611	18	108	11	100	1474	300	0.18	56.5477770597606	0.073270013568521	23.018091069102	0.0978589729365952	0.280479612117294	2.45666666666667	1.44244126108541	4.13426948260891	8	110	1
SPAC5H10.01	11	41	14	100	687	300	0.11	34.5569748698537	0.0596797671033479	18.748656472992	0.130148846618585	0.540516742258535	1.84317073170732	0.894122576269682	3.71335001931614	6	105	1
SPNCRNA.613	1	11	4	100	416	300	0.01	3.1415431699867	0.0264423076923077	8.30696511294561	0.00438460787950623	0.673532041142035	0.378181818181818	0.0182399687787459	2.80189329115086	2	99	1
SPAC5H10.03	0	704	116	100	3193	300	0	0	0.22048230504228	69.2654679508499	0.000129146301057873	0.0068116830015143	0	0.0041236413927779	0.217497038238351	18	82	1
SPAC5H10.04	40	177	6	100	2498	300	0.4	125.661726799468	0.0708566853482786	22.2599335903782	0.157899815566988	0.322334092332906	5.64519774011299	3.94433739286336	8.05190562647599	9	131	1.46634343232088e-10
SPAC5H10.07	4	29	10	100	453	300	0.04	12.5661726799468	0.0640176600441501	20.111424267023	0.0411868094997137	0.411235858753941	0.624827586206897	0.186576247033703	1.86289844015535	6	98	1
SPNCRNA.614	19	146	58	100	1475	300	0.19	59.6893202297473	0.0989830508474576	31.0959527334277	0.0782175609276469	0.214080654721727	1.91952054794521	1.15370902368279	3.15768965714547	10	109	1
SPAC5H10.10	18	326	8	100	1554	300	0.18	56.5477770597606	0.20978120978121	65.9036726779707	0.0332857966019269	0.0904172899011862	0.858036809815951	0.517261279193943	1.40508468506443	20	98	1
SPAC5H10.11	9	33	1	100	1565	300	0.09	28.2738885298803	0.0210862619808307	6.62434023064289	0.121543050194876	0.593366081697302	4.26818181818182	1.9021487355498	9.28617917856278	2	107	1
SPNCRNA.616	1	2	0	100	497	300	0.01	3.1415431699867	0.00402414486921529	1.26420248289203	0.0179700152612445	6.97865092307548	2.485	0.0893109758483854	34.6838950876852	0	101	1
SPNCRNA.617	18	146	6	100	3975	300	0.18	56.5477770597606	0.0367295597484277	11.5387497564291	0.0731239381063026	0.205313359146265	4.90068493150685	2.90667653972553	8.16120602606402	4	114	0.00268790601680741
SPSNORNA.49	5	19	39	100	159	300	0.05	15.7077158499335	0.119496855345912	37.5404529746839	0.0862005679327238	0.745398693468459	0.418421052631579	0.137058903013031	1.18518392261485	11	94	1
SPNCRNA.141	13	58	13	100	604	300	0.13	40.8400612098271	0.0960264900662252	30.1671364005346	0.117078874349853	0.421181907481838	1.35379310344828	0.707156401073112	2.5439387211903	9	104	1
SPAC13G6.03	13	306	2	100	3896	300	0.13	40.8400612098271	0.0785420944558522	24.6743380394233	0.0233358670092047	0.0757210563912362	1.65516339869281	0.909165378678614	2.95009235700256	8	105	1
SPAC13G6.04	16	226	74	100	505	300	0.16	50.2646907197872	0.447524752475248	140.59183295386	0.0411318037197962	0.120011051069638	0.357522123893805	0.207715608784971	0.606055807901673	35	81	1
SPAC13G6.08	0	20	9	100	2130	300	0	0	0.00938967136150235	2.94980579341474	0.00459577388787386	0.250708753220746	0	0.0978899838117133	5.3400964436019	0	100	1
SPAC13G6.09	4	212	4	100	1572	300	0.04	12.5661726799468	0.134860050890585	42.3668671779377	0.00598428816219046	0.0524758625250183	0.296603773584906	0.094073009909634	0.824920558893288	12	92	1
SPAC13G6.13	0	0	1	100	147	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC13G6.14	29	852	9	100	1272	300	0.29	91.1047519296144	0.669811320754717	210.424117989675	0.0230668782598636	0.0499075562345645	0.432957746478873	0.293410691465466	0.634824115303661	51	78	1
SPAC24B11.05	49	666	27	100	1489	300	0.49	153.935615329348	0.447280053727334	140.514959785839	0.0544240867996915	0.0991810649772566	1.09551051051051	0.810374652447406	1.47680605751135	46	103	1
SPNCRNA.622	5	185	3	100	2388	300	0.05	15.7077158499335	0.0774706867671692	24.337750688758	0.00982370140661173	0.0679922623928052	0.645405405405405	0.234589989589888	1.62365522594019	7	98	1
SPNCRNA.142	3	135	31	100	597	300	0.03	9.42462950996011	0.226130653266332	71.0399209293475	0.00566304579962194	0.0719354171112014	0.132666666666667	0.033808383423743	0.429454440153872	18	85	1
SPAC24B11.09	3	888	110	100	2741	300	0.03	9.42462950996011	0.323969354250274	101.776371212995	0.000870733723682731	0.0107916387917104	0.0926013513513514	0.0238668113661437	0.295798819280782	25	78	1
