ePRO_Lsk1as_Cdk9as_3MBPP1r2_pr_counts	ePRO_Lsk1as_Cdk9as_3MBPP1r2gb_counts	ePRO_Lsk1as_Cdk9as_3MBPP1r2term_counts	ePRO_Lsk1as_Cdk9as_3MBPP1r2pr_map	ePRO_Lsk1as_Cdk9as_3MBPP1r2gb_map	ePRO_Lsk1as_Cdk9as_3MBPP1r2term_map	ePRO_Lsk1as_Cdk9as_3MBPP1r2pr_density	ePRO_Lsk1as_Cdk9as_3MBPP1r2pr_densityRPKM	ePRO_Lsk1as_Cdk9as_3MBPP1r2gb_density	ePRO_Lsk1as_Cdk9as_3MBPP1r2gb_densityRPKM	ePRO_Lsk1as_Cdk9as_3MBPP1r2pause_index_CI_low	ePRO_Lsk1as_Cdk9as_3MBPP1r2pause_index_CI_high	ePRO_Lsk1as_Cdk9as_3MBPP1r2pause_index_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1r2pause_index_CI_low_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1r2pause_index_CI_high_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1r2_ExpPR	ePRO_Lsk1as_Cdk9as_3MBPP1r2_ExpGB	ePRO_Lsk1as_Cdk9as_3MBPP1r2Fexact_Pval
SPAC212.08c	0	3	2	0	437	300	NA	NA	0.0068649885583524	1.60459688166643	0.0327971598819604	2.22593021867193	NA	NA	NA	0	0	1
SPAC212.07c	0	4	2	100	690	300	0	0	0.00579710144927536	1.35499292229609	0.0240893601812892	1.52670069174082	0	0.166216585250896	10.5342347730117	0	100	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	80	2	0	598	35	NA	NA	0.133779264214047	31.2690674376022	0.00113929585402706	0.0605494800111063	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.02	0	1	0	0	166	0	NA	NA	0.00602409638554217	1.40804987407275	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	402	26	100	2712	300	0	0	0.148230088495575	34.6467493350379	0.000226220321555447	0.0119404613236846	0	0.00613509512058373	0.323825311098326	12	88	1
SPNCRNA.19	0	1	3	100	225	300	0	0	0.00444444444444444	1.03882790709367	0.120791776113059	17.3080587281839	0	0.271781496254383	38.9431321384138	0	100	1
SPAC977.11	6	18	0	100	105	0	0.06	14.0241767457646	0.171428571428571	40.0690764164702	0.118575044140478	0.88865760334922	0.35	0.124503796347502	0.933090483516681	15	91	1
SPAC977.12	0	83	34	0	377	300	NA	NA	0.220159151193634	51.4591808089505	0.00109800574614357	0.0583369154812046	NA	NA	NA	0	0	1
SPAC977.15	1	6	1	100	712	300	0.01	2.33736279096076	0.00842696629213483	1.96968774519166	0.00755953402951306	1.38050834161111	1.18666666666667	0.053823882290133	9.82921939227108	0	101	1
SPAC977.17	10	200	4	100	3396	300	0.1	23.3736279096076	0.0588928150765607	13.7653874614886	0.0249884900223732	0.0969638214158659	1.698	0.848609121159793	3.2928913752828	6	104	1
SPNCRNA.137	0	2	7	100	155	300	0	0	0.0129032258064516	3.01595198833647	0.0514242900386907	4.05388820080272	0	0.0797076495599707	6.28352671124422	1	99	1
SPAC1F8.01	0	12	0	100	1598	300	0	0	0.00750938673341677	1.75521611336228	0.00771806013949717	0.431135285113533	0	0.123334601029165	6.88954185611426	0	100	1
SPNCRNA.139	0	3	5	100	685	300	0	0	0.00437956204379562	1.0236625361872	0.0327971598819604	2.22593021867193	0	0.224660545191429	15.2476219979027	0	100	1
SPNCRNA.605	0	149	13	100	2889	300	0	0	0.0515749394254067	12.0549344359001	0.000610913410695384	0.0323389563392202	0	0.0176492884349897	0.934272448640072	4	96	1
SPAC1F8.05	1	8	11	100	977	300	0.01	2.33736279096076	0.00818833162743091	1.91391016660042	0.00586171689225921	0.973546520057376	1.22125	0.0572689740373725	9.51154950096056	0	101	1
SPAC1F8.06	9	344	146	100	1314	300	0.09	21.0362651186469	0.26179604261796	61.1912328835999	0.0126506990796771	0.0521341301118559	0.343779069767442	0.166230185906957	0.685042469669787	22	87	1
SPAC1F8.08	2	108	46	100	957	300	0.02	4.67472558192153	0.112852664576803	26.3777619042594	0.0031654660304462	0.0759569037369616	0.177222222222222	0.0302935099113701	0.726907568762723	10	92	1
SPAC11D3.19	9	122	10	100	1210	300	0.09	21.0362651186469	0.100826446280992	23.5667983881994	0.0350860934900686	0.149602153312921	0.892622950819672	0.42454173122983	1.81018605508635	9	100	1
SPNCRNA.608	1	215	3	100	2549	300	0.01	2.33736279096076	0.0843468026677128	19.7149078092022	0.00024177316066714	0.0304121704677968	0.118558139534884	0.0061627978654054	0.775206225224141	7	94	1
SPAC11D3.05	14	913	10	100	1753	300	0.14	32.7230790734507	0.520821448944666	121.734867549753	0.00868905043660435	0.0265452991563993	0.268806133625411	0.152319054153674	0.46533909421168	39	75	1
