Isk1as_3MBPP1r2_pr_counts	Isk1as_3MBPP1r2gb_counts	Isk1as_3MBPP1r2term_counts	Isk1as_3MBPP1r2pr_map	Isk1as_3MBPP1r2gb_map	Isk1as_3MBPP1r2term_map	Isk1as_3MBPP1r2pr_density	Isk1as_3MBPP1r2pr_densityRPKM	Isk1as_3MBPP1r2gb_density	Isk1as_3MBPP1r2gb_densityRPKM	Isk1as_3MBPP1r2pause_index_CI_low	Isk1as_3MBPP1r2pause_index_CI_high	Isk1as_3MBPP1r2pause_index_scaled	Isk1as_3MBPP1r2pause_index_CI_low_scaled	Isk1as_3MBPP1r2pause_index_CI_high_scaled	Isk1as_3MBPP1r2_ExpPR	Isk1as_3MBPP1r2_ExpGB	Isk1as_3MBPP1r2Fexact_Pval
SPAC212.08c	0	4	1	0	437	300	NA	NA	0.0091533180778032	4.43655485486247	0.0240893601812892	1.52670069174082	NA	NA	NA	0	0	1
SPAC212.07c	0	4	1	100	690	300	0	0	0.00579710144927536	2.80981807474623	0.0240893601812892	1.52670069174082	0	0.166216585250896	10.5342347730117	0	100	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	22	0	0	598	35	NA	NA	0.0367892976588629	17.8315377820434	0.00417368066078422	0.226956323474185	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.02	0	1	3	0	166	0	NA	NA	0.00602409638554217	2.91984107164895	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
