WT_3MBPP1r2_pr_counts	WT_3MBPP1r2gb_counts	WT_3MBPP1r2term_counts	WT_3MBPP1r2pr_map	WT_3MBPP1r2gb_map	WT_3MBPP1r2term_map	WT_3MBPP1r2pr_density	WT_3MBPP1r2pr_densityRPKM	WT_3MBPP1r2gb_density	WT_3MBPP1r2gb_densityRPKM	WT_3MBPP1r2pause_index_CI_low	WT_3MBPP1r2pause_index_CI_high	WT_3MBPP1r2pause_index_scaled	WT_3MBPP1r2pause_index_CI_low_scaled	WT_3MBPP1r2pause_index_CI_high_scaled	WT_3MBPP1r2_ExpPR	WT_3MBPP1r2_ExpGB	WT_3MBPP1r2Fexact_Pval
SPAC212.08c	0	5	0	0	437	300	NA	NA	0.011441647597254	1.33149614844021	0.0190383591688732	1.16008855872718	NA	NA	NA	0	0	1
SPAC212.07c	0	10	4	100	690	300	0	0	0.0144927536231884	1.68656178802427	0.00929728784483565	0.525639636497703	0	0.064151286129366	3.62691349183415	1	99	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	77	0	0	598	35	NA	NA	0.12876254180602	14.9844528089848	0.0011838127111161	0.0629364895177057	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	3	0	0	34	0	NA	NA	0.0882352941176471	10.2681850035595	0.0327971598819604	2.22593021867193	NA	NA	NA	0	0	1
SPAC977.02	0	4	3	0	166	0	NA	NA	0.0240963855421687	2.80416297285962	0.0240893601812892	1.52670069174082	NA	NA	NA	0	0	1
SPAC977.03	0	0	1	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	695	20	100	2712	300	0	0	0.256268436578171	29.822666130053	0.000130819234099305	0.00690000685698318	0	0.00354781762877315	0.187128185961384	20	80	1
SPNCRNA.19	3	3	2	100	225	300	0.03	3.49118290121023	0.0133333333333333	1.55163684498232	0.162070833932487	6.17014163335868	2.25	0.364659376348096	13.882818675057	1	102	1
SPAC977.11	24	50	0	100	105	0	0.24	27.9294632096818	0.476190476190476	55.4156016065116	0.286608459965511	0.799507503430605	0.504	0.300938882963787	0.839482878602135	40	84	1
SPAC977.12	0	94	78	0	377	300	NA	NA	0.249336870026525	29.0160205759294	0.000969210753182856	0.0514441349397628	NA	NA	NA	0	0	1
SPAC977.15	30	29	4	100	712	300	0.3	34.9118290121023	0.0407303370786517	4.73990187898393	0.603536060037381	1.7736799063191	7.36551724137931	4.29717674746615	12.628600932992	5	125	7.71472719035809e-08
SPAC977.17	155	1331	100	100	3396	300	1.55	180.377783229195	0.391931684334511	45.6101731597057	0.0982485059584201	0.137965875275298	3.95477084898573	3.33651926234795	4.68532112434914	71	184	4.33154444975273e-22
SPNCRNA.137	6	12	51	100	155	300	0.06	6.98236580242046	0.0774193548387097	9.00950426118769	0.167633137742897	1.42985037844287	0.775	0.259831363501491	2.21626808658645	7	99	1
SPAC1F8.01	0	11	0	100	1598	300	0	0	0.00688360450563204	0.801064078291876	0.00843437698064696	0.473726222726494	0	0.134781344150738	7.57014503916938	0	100	1
SPNCRNA.139	0	10	33	100	685	300	0	0	0.0145985401459854	1.69887245800984	0.00929728784483565	0.525639636497703	0	0.0636864217371242	3.60063151000927	1	99	1
SPNCRNA.605	1	459	41	100	2889	300	0.01	1.16372763373674	0.158878504672897	18.4891306294623	0.0001135019032303	0.0141947975561413	0.0629411764705882	0.00327906998432336	0.410087701396923	13	88	1
SPAC1F8.05	0	32	37	100	977	300	0	0	0.0327533265097236	3.81159511561676	0.00286022979559656	0.15399674612007	0	0.0279444451029784	1.50454820959308	3	97	1
SPAC1F8.06	16	429	139	100	1314	300	0.16	18.6196421397879	0.32648401826484	37.9938474028206	0.0218567455909169	0.0626593740813005	0.49006993006993	0.287197637064648	0.823344175428288	28	88	1
