baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPAC1002.01	438.38101649054	-0.336931143725917	0.333337201931294	-1.01078170025368	0.312120923576756	0.688763518630763
SPAC1002.02	317.221260097903	-0.211430554030662	0.363154069721559	-0.582206208490991	0.560427791968288	0.845724787648779
SPAC1002.03c	892.505769234957	-0.372156559758616	0.262455693033963	-1.41797861367198	0.156197008725861	0.523624169148353
SPAC1002.04c	164.825064030472	-0.870057874669777	0.43535703126706	-1.99849275923617	0.0456632641631156	0.297848216372594
SPAC1002.05c	1200.06874524218	-0.476958176981846	0.237097521838851	-2.01165399487398	0.0442564233433873	0.29327691402039
SPAC1002.06c	141.050606031822	-0.364592897837185	0.447084152964803	-0.815490541141787	0.414791576708997	0.756820579775916
SPAC1002.07c	440.0289317542	-0.906103574556288	0.333911499235129	-2.71360398378566	0.00665556766478828	0.0875234203072768
SPAC1002.08c	484.489369472521	-0.585681382932285	0.321826218887611	-1.81986845247316	0.0687790402087	0.363023731990782
SPAC1002.09c	525.634191654908	-0.252414050544316	0.315928484126266	-0.798959458316632	0.424313920325003	0.762162982926921
SPAC1002.10c	819.926929869221	-0.159880020130381	0.265524617865079	-0.602128802277842	0.547088403661893	0.836891862128304
SPAC1002.11	403.387484418068	-0.254578530894836	0.336483237552318	-0.756586071706627	0.449297888449707	0.772858874471476
SPAC1002.12c	505.955626696493	0.364975282774669	0.325430858053802	1.1215140597218	0.262069110243336	0.644257550152643
SPAC1002.13c	3889.79694907648	-0.449648124807091	0.185409540445303	-2.42516174586895	0.01530156766206	0.155429599165959
SPAC1002.14	807.653218345774	-0.406884345759611	0.28269021290958	-1.43932943971341	0.150057205548544	0.518350304270731
SPAC1002.15c	119.448887806304	0.408769358782037	0.460253995184927	0.888138643137245	0.374466178322745	0.733470793139929
SPAC1002.16c	63.0878106446567	0.24974093298813	0.482133469814266	0.51799127964366	0.604464353614432	0.8691318072268
SPAC1002.17c	4424.67239014455	4.5290933084152	0.255946300273371	17.6954826210723	4.54321411458921e-70	1.46972976606961e-66
SPAC1002.18	800.085417511737	3.29025969393487	0.342929862157807	9.5945557882643	8.42793499826962e-22	3.40804621492528e-19
SPAC1002.19	8421.71230643278	5.4080032806404	0.227781153969264	23.7421015145535	1.32584749600818e-124	8.57823329917294e-121
SPAC1002.20	484.203650531821	-0.550621945722771	0.321238605151521	-1.71405907289086	0.0865178773096079	0.405337194926258
SPAC1006.01	1386.36737128254	0.162149969072355	0.2235911200979	0.725207552971497	0.468324709929838	0.789283895088838
SPAC1006.02	246.766222943146	-0.0817594764726057	0.391148663089713	-0.209024046833706	0.834429466568448	0.950485677587651
SPAC1006.03c	599.443633545416	-0.431710011919328	0.297457963317967	-1.45133116324693	0.146687667659287	0.512347371217438
SPAC1006.04c	300.226015442993	-0.440943965113989	0.370937903149787	-1.18872717338873	0.234547044016267	0.623606861152703
SPAC1006.05c	430.415531211037	0.00755459983627761	0.334275253903942	0.022599937470838	0.981969393706891	0.995427237154407
SPAC1006.06	449.070513318099	0.204463029241436	0.335083002958839	0.610186214866147	0.541738460377751	0.835330752775036
SPAC1006.07	3123.54858678407	-1.07391712488386	0.187461114968657	-5.728746065889	1.0117571322413e-08	9.21981499380451e-07
SPAC1006.08	1138.85710834546	-0.595397252505764	0.243244916218623	-2.44772742535196	0.0143760366036445	0.149451524107523
SPAC1006.09	690.685279550003	-0.447477012246654	0.283850440379498	-1.57645347193541	0.114921333553658	0.461802511913394
SPAC1039.01	3361.0793493405	4.87872075404129	0.278201511952386	17.5366435638793	7.52422680823075e-69	1.6227249149751e-65
SPAC1039.02	4248.93416865219	2.97292758231467	0.200908819116491	14.7973971246673	1.52261629067455e-49	1.64188790011073e-46
SPAC1039.03	284.175232226665	0.730303413187603	0.380041342481096	1.92164202036501	0.0546508173837895	0.328080844677174
SPAC1039.04	172.842883407057	0.430329592117076	0.437495110061935	0.98362149020627	0.325301654711863	0.6999340558649
SPAC1039.05c	581.436213917145	0.546102425605461	0.301035145171709	1.81408195808488	0.0696651087759892	0.365558194469303
SPAC1039.06	994.191454750147	2.18938351117935	0.288682765976517	7.58404646627726	3.3494111628217e-14	8.33488085517554e-12
SPAC1039.07c	594.382586098612	1.76410013889431	0.329014650967617	5.36176773194195	8.24114631016459e-08	5.85936446447966e-06
SPAC1039.08	128.418578123408	0.717443561021816	0.464609735639149	1.54418537966031	0.122543429672133	0.472416023819305
