mcs6as_3MBPP1_combined_pr_counts	mcs6as_3MBPP1_combinedgb_counts	mcs6as_3MBPP1_combinedterm_counts	mcs6as_3MBPP1_combinedpr_map	mcs6as_3MBPP1_combinedgb_map	mcs6as_3MBPP1_combinedterm_map	mcs6as_3MBPP1_combinedpr_density	mcs6as_3MBPP1_combinedpr_densityRPKM	mcs6as_3MBPP1_combinedgb_density	mcs6as_3MBPP1_combinedgb_densityRPKM	mcs6as_3MBPP1_combinedpause_index_CI_low	mcs6as_3MBPP1_combinedpause_index_CI_high	mcs6as_3MBPP1_combinedpause_index_scaled	mcs6as_3MBPP1_combinedpause_index_CI_low_scaled	mcs6as_3MBPP1_combinedpause_index_CI_high_scaled	mcs6as_3MBPP1_combined_ExpPR	mcs6as_3MBPP1_combined_ExpGB	mcs6as_3MBPP1_combinedFexact_Pval
SPAC212.08c	0	6	5	0	437	300	NA	NA	0.0137299771167048	0.927790111545479	0.0157393406208896	0.93492067967121	NA	NA	NA	0	0	1
SPAC212.07c	4	14	4	100	690	300	0.04	2.7029618583025	0.0202898550724638	1.37106760928387	0.0795907815169477	0.92609145582224	1.97142857142857	0.549176392466939	6.39003104517345	2	102	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	107	0	0	598	35	NA	NA	0.178929765886288	12.0910083126408	0.000851210776203672	0.0451407668396882	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	2	0	0	34	0	NA	NA	0.0588235294117647	3.97494390926838	0.0514242900386907	4.05388820080272	NA	NA	NA	0	0	1
SPAC977.02	0	4	7	0	166	0	NA	NA	0.0240963855421687	1.62829027608584	0.0240893601812892	1.52670069174082	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	1	0	0	34	0	NA	NA	0.0294117647058824	1.98747195463419	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	831	17	100	2712	300	0	0	0.30641592920354	20.7057642353371	0.000109403861517028	0.00576953267482657	0	0.0029670327243418	0.156469726141297	23	77	1
SPNCRNA.19	5	3	4	100	225	300	0.05	3.37870232287812	0.0133333333333333	0.900987286100832	0.349432395804946	8.76486238560011	3.75	0.786222890561128	19.7209403676002	1	104	1
SPAC977.11	73	144	0	100	105	0	0.73	49.3290539140205	1.37142857142857	92.6729779989427	0.378761796535968	0.677845058588234	0.532291666666667	0.397699886362766	0.711737311517646	100	73	1
SPAC977.12	0	124	53	0	377	300	NA	NA	0.328912466843501	22.2259463149542	0.000734302771695339	0.0389067364682754	NA	NA	NA	0	0	1
SPAC977.15	23	46	5	100	712	300	0.23	15.5420306852393	0.0646067415730337	4.36573895652791	0.294021551537671	0.845500366200652	3.56	2.09343344694822	6.01996260734864	7	116	0.097648327407232
SPAC977.17	230	1414	65	100	3396	300	2.3	155.420306852393	0.416372202591284	28.135954561541	0.141141309151717	0.187409160739087	5.52390381895332	4.79315885879232	6.36441509869941	97	233	4.51423446621633e-44
SPNCRNA.137	10	19	145	100	155	300	0.1	6.75740464575624	0.12258064516129	8.283270210927	0.228464403335562	1.18991583252618	0.815789473684211	0.354119825170121	1.84436954041558	12	98	1
SPAC1F8.01	0	18	0	100	1598	300	0	0	0.0112640801001252	0.761159471987561	0.00511285240857114	0.280011224227739	0	0.0817033814889667	4.47457936315926	1	99	1
SPNCRNA.139	1	13	90	100	685	300	0.01	0.675740464575624	0.018978102189781	1.28242715904863	0.00375396436557918	0.55840707127902	0.526923076923077	0.0257146559042174	3.82508843826129	1	100	1
SPNCRNA.605	1	555	58	100	2889	300	0.01	0.675740464575624	0.192107995846314	12.981514636188	9.39011195308193e-05	0.0117331231407528	0.0520540540540541	0.00271280334324537	0.338969927536348	16	85	1
SPAC1F8.05	2	115	70	100	977	300	0.02	1.35148092915125	0.117707267144319	7.95395633840294	0.00297516225977818	0.0712606126986887	0.169913043478261	0.0290673352780328	0.696216186066189	10	92	1
SPAC1F8.06	29	846	93	100	1314	300	0.29	19.5964734726931	0.643835616438356	43.5065778562388	0.023229399458465	0.0502638756725742	0.450425531914894	0.30523430888423	0.660467326337625	50	79	1
SPAC1F8.08	12	466	52	100	957	300	0.12	8.10888557490749	0.486938349007315	32.904394617789	0.0138438306695965	0.0467582785695579	0.246437768240343	0.132485459508039	0.44747672591067	36	76	1
SPAC11D3.19	147	284	11	100	1210	300	1.47	99.3338482926167	0.234710743801653	15.8603547057419	0.422026006405492	0.63462019069328	6.26302816901408	5.10651467750645	7.67890430738869	46	201	3.18622926038111e-33
SPNCRNA.608	4	837	2	100	2549	300	0.04	2.7029618583025	0.328364064338956	22.1888885386346	0.00152703215142619	0.0131804749891899	0.121816009557945	0.0389240495398536	0.33597030747445	25	79	1
SPAC11D3.05	207	4261	54	100	1753	300	2.07	139.878276167154	2.43069024529378	164.251575559426	0.0421458080658277	0.0559785726598275	0.851609950715794	0.73881601539396	0.981304378726777	217	90	1
SPAC11D3.06	31	819	37	100	1521	300	0.31	20.9479544018443	0.538461538461538	36.3860250156105	0.0259790157475211	0.0548328291301285	0.575714285714286	0.395140829519796	0.834007331069254	45	86	1
SPAC11D3.09	2	69	26	100	1729	300	0.02	1.35148092915125	0.0399074609600925	2.69670862092065	0.00491816603671483	0.12002119225046	0.501159420289855	0.0850350907747995	2.07516641401045	3	99	1
SPAC11D3.10	6	428	5	100	4126	300	0.06	4.05444278745374	0.103732428502181	7.00961994276217	0.00566404641509412	0.0323956371784244	0.578411214953271	0.233698555086783	1.33664398998179	9	97	1
SPAC11D3.13	2	624	232	100	920	300	0.02	1.35148092915125	0.678260869565217	45.8328315103467	0.000553881709064048	0.0129650375366425	0.0294871794871795	0.00509571172338924	0.119278345337111	41	61	1
SPNCRNA.609	142	1167	11	100	4138	300	1.42	95.9551459697386	0.282020299661672	19.0572528313135	0.101818248172298	0.145335250452403	5.03509854327335	4.21323910936968	6.01397266372044	53	189	3.20335075180051e-29
SPNCRNA.147	12	17	32	100	333	300	0.12	8.10888557490749	0.0510510510510511	3.44972609543111	0.317368320913405	1.55534308820198	2.35058823529412	1.05683650864164	5.1792924837126	5	107	1
SPAC11D3.15	56	1652	12	100	3921	300	0.56	37.8414660162349	0.421321091558276	28.4703710145098	0.0257237537346906	0.0445654259476503	1.32915254237288	1.00862838393722	1.74741035140737	46	110	1
SPAC11D3.17	20	1230	104	100	3291	300	0.2	13.5148092915125	0.373746581586144	25.2555688674572	0.0101685027381156	0.0257105726006219	0.535121951219512	0.334645425111383	0.846134944286468	32	88	1
SPNCRNA.611	50	259	47	100	1474	300	0.5	33.7870232287812	0.175712347354138	11.8735943232759	0.140912901045908	0.263814566641761	2.84555984555985	2.07705616141668	3.88862671229955	22	128	0.00050618346624189
SPAC5H10.01	15	59	20	100	687	300	0.15	10.1361069686344	0.0858806404657933	5.80330238864073	0.138312677911255	0.460546431234466	1.74661016949153	0.950208097250324	3.16395398258078	9	106	1
SPNCRNA.613	15	60	38	100	416	300	0.15	10.1361069686344	0.144230769230769	9.74625670060996	0.136148215150707	0.452376218151388	1.04	0.566376575026942	1.88188506750977	14	101	1
SPAC5H10.03	1	1818	553	100	3193	300	0.01	0.675740464575624	0.569370497964297	38.4746684810048	2.86986577869054e-05	0.00357545506679916	0.0175632563256326	0.000916348143135889	0.114164280282897	36	65	1
SPAC5H10.04	148	1307	36	100	2498	300	1.48	100.009588757192	0.523218574859888	35.3559962850416	0.09517104356197	0.134661101114051	2.82864575363428	2.37737266817801	3.363834305829	85	163	2.14511960476504e-11
SPAC5H10.07	53	161	18	100	453	300	0.53	35.8142446225081	0.355408388520971	24.0163829573235	0.238394983431009	0.453654665531652	1.49124223602484	1.07992927494247	2.05505563485838	40	113	1
SPNCRNA.614	50	420	131	100	1475	300	0.5	33.7870232287812	0.284745762711864	19.2414233980856	0.0877787939642557	0.161027100217894	1.75595238095238	1.29473721097277	2.37514972821394	33	117	1
SPAC5H10.10	42	547	42	100	1554	300	0.42	28.3810995121762	0.351994851994852	23.7857164815229	0.0553576889352528	0.106121849928596	1.19319926873857	0.860258486053828	1.64913354789038	36	106	1
SPAC5H10.11	12	85	3	100	1565	300	0.12	8.10888557490749	0.0543130990415335	3.67015587788677	0.0733549018959481	0.265677232495697	2.20941176470588	1.14800421467159	4.15784868855766	5	107	1
SPNCRNA.616	3	15	1	100	497	300	0.03	2.02722139372687	0.0301810865191147	2.03945814258237	0.046101519525487	0.73204421859004	0.994	0.229124552041671	3.6382597663925	3	100	1
SPNCRNA.617	100	609	11	100	3975	300	1	67.5740464575624	0.153207547169811	10.352853910102	0.132124957013229	0.203886420504411	6.52709359605911	5.25196704127587	8.10448521505033	26	174	1.20666378851476e-29
SPSNORNA.49	16	45	283	100	159	300	0.16	10.81184743321	0.283018867924528	19.1247301294988	0.192896855701673	0.647615546512065	0.565333333333333	0.30670600056566	1.02970871895418	25	91	1
SPNCRNA.141	245	776	262	100	604	300	2.45	165.556413821028	1.28476821192053	86.8169868395172	0.272752901372403	0.365385099003898	1.9069587628866	1.64742752428932	2.20692599798354	194	151	0.00178438675192437
SPAC13G6.03	245	2158	58	100	3896	300	2.45	165.556413821028	0.553901437371663	37.4293614618634	0.0992501823312838	0.129835243846067	4.42316960148285	3.86678710362682	5.05838110024278	122	223	1.28356545256449e-34
SPAC13G6.04	140	744	1100	100	505	300	1.4	94.6036650405873	1.47326732673267	99.5546347810424	0.156417547681382	0.226252268925563	0.950268817204301	0.789908615790978	1.14257395807409	142	98	1
SPAC13G6.08	0	191	129	100	2130	300	0	0	0.0896713615023474	6.0594567480725	0.000476419840813637	0.0251939743348393	0	0.0101477426093305	0.536631653332076	8	92	1
SPAC13G6.09	75	783	14	100	1572	300	0.75	50.6805348431718	0.498091603053435	33.6580651248545	0.0750168548734614	0.122125145701455	1.50574712643678	1.17926495861081	1.91980729042687	58	117	1
SPAC13G6.13	2	0	0	100	147	300	0.02	1.35148092915125	0	0	0.246676758328458	19.4460633145857	NA	0.362614834742833	28.585713072441	0	102	1
SPAC13G6.14	35	3176	153	100	1272	300	0.35	23.6509162601468	2.49685534591195	168.722619142467	0.0077775358138139	0.0155391777434911	0.140176322418136	0.0989302555517129	0.197658340897206	96	39	1
SPAC24B11.05	206	1422	82	100	1489	300	2.06	139.202535702579	0.955003357958361	64.5334412778064	0.124822691818978	0.168076826890834	2.15706047819972	1.85860988118459	2.50266395240452	149	157	2.61515343491184e-06
SPNCRNA.622	97	1390	16	100	2388	300	0.97	65.5468250638355	0.582077051926298	39.3333017487486	0.0564817528364654	0.0861326559924438	1.66644604316547	1.34878425773479	2.05684782509956	72	125	1
SPNCRNA.142	40	854	91	100	597	300	0.4	27.029618583025	1.43048576214405	96.6637113480038	0.0336461076339155	0.0649502928907446	0.279625292740047	0.200867262574476	0.387753248557745	82	58	1
SPAC24B11.09	40	3916	264	100	2741	300	0.4	27.029618583025	1.4286756658154	96.5413958145984	0.00738129993940575	0.0140792670969564	0.279979570990807	0.202321431339112	0.385912711127575	82	58	1
SPAC24B11.14	35	86	640	100	596	300	0.35	23.6509162601468	0.144295302013423	9.75061744186303	0.269462046663406	0.612560074189884	2.42558139534884	1.6059937981139	3.65085804217171	17	118	0.91528309608178
SPAC24B11.13	209	3720	244	100	2075	300	2.09	141.229757096305	1.79277108433735	121.144796540787	0.0487500521400094	0.0647280959266646	1.16579301075269	1.0115635819052	1.34310799047829	198	111	1
SPNCRNA.625	16	179	4	100	1669	300	0.16	10.81184743321	0.107249850209706	7.24730636063731	0.0516862083154836	0.152268866411362	1.49184357541899	0.862642816785422	2.54136738040564	11	105	1
SPNCRNA.627	3	215	53	100	761	300	0.03	2.02722139372687	0.282522996057819	19.0912220609408	0.00357350406062711	0.0449062424380785	0.106186046511628	0.0271943659013723	0.341736504953777	22	81	1
SPNCRNA.144	21	181	51	100	431	300	0.21	14.1905497560881	0.419953596287703	28.3779638255656	0.0718173596869474	0.185600478104831	0.500055248618784	0.309532820250743	0.799938060631821	35	86	1
SPNCRNA.628	15	143	24	100	1566	300	0.15	10.1361069686344	0.0913154533844189	6.17055468929209	0.0592541615671872	0.18266195636111	1.64265734265734	0.927920170142151	2.86048623661498	9	106	1
SPNCRNA.145	16	62	28	100	719	300	0.16	10.81184743321	0.086230876216968	5.82696923556171	0.143195477077038	0.458977422468797	1.85548387096774	1.0295754801839	3.30004766755065	9	107	1
SPAC806.05	6	394	4	100	2921	300	0.06	4.05444278745374	0.134885313248887	9.11474642392317	0.00614959903815179	0.0352111982715617	0.444822335025381	0.179629787904414	1.02851910151232	12	94	1
SPAC806.07	384	795	593	100	469	300	3.84	259.48433839704	1.69509594882729	114.544492396081	0.426817208096014	0.546575503521162	2.26535849056604	2.0017727059703	2.56343911151425	304	180	8.01168930266534e-08
SPNCRNA.630	12	1349	12	100	2184	300	0.12	8.10888557490749	0.617673992673993	41.7387310765804	0.0048068732852158	0.0160659705911485	0.194277242401779	0.104982112549113	0.350880797710684	42	70	1
SPNCRNA.631	16	11	7	100	863	300	0.16	10.81184743321	0.0127462340672074	0.861314613016438	0.639584842642563	3.34550049753311	12.5527272727273	5.51961719200532	28.8716692937108	1	115	1.35067185055748e-05
SPAC1F5.11c	79	4007	182	100	11254	300	0.79	53.3834967014743	0.356051181802026	24.0598191003601	0.0156742991574081	0.0247635921472252	2.21878213127028	1.76398562717471	2.78689466024873	46	133	0.00146178865833615
SPNCRNA.633	7	108	11	100	947	300	0.07	4.73018325202937	0.114044350580781	7.70643824436825	0.0276790996254351	0.143948291733322	0.613796296296296	0.262121073452871	1.36319032271456	10	97	1
SPAC1F5.09c	12	143	122	100	1569	300	0.12	8.10888557490749	0.0911408540471638	6.15875630556496	0.044335039656252	0.155173271077697	1.31664335664336	0.695616772206594	2.43466862320906	9	103	1
SPAC1F5.08c	57	666	214	100	1608	300	0.57	38.5172064808106	0.414179104477612	27.9877580477217	0.0646641231461763	0.113024057060181	1.37621621621622	1.03979910019051	1.8174268375277	45	112	1
SPAC1F5.07c	100	436	82	100	1526	300	1	67.5740464575624	0.285714285714286	19.3068704164464	0.183427241326771	0.286544029026744	3.5	2.79909970264652	4.37266188294812	44	156	2.93514436929649e-12
SPAC1F5.05c	39	273	47	100	731	300	0.39	26.3538781184493	0.373461012311901	25.2362717960527	0.100616285411099	0.202062801057037	1.04428571428571	0.735505046355132	1.47707907572694	37	102	1
SPAC1F5.04c	61	3237	124	100	5667	300	0.61	41.2201683391131	0.571201694017999	38.5984098082106	0.0145006920825349	0.0244387303219762	1.06792400370714	0.821754220317255	1.38494284734639	58	103	1
SPAC1F5.03c	41	2823	14	100	1926	300	0.41	27.7053590476006	1.46573208722741	99.0454481566452	0.0105315481098198	0.0199525598942431	0.279723698193411	0.20283761659513	0.384286303563123	83	58	1
SPNCRNA.148	1	0	9	100	18	300	0.01	0.675740464575624	0	0	0.0577765545925511	8.27870929775896	NA	0.0103997798266592	1.49016767359661	0	101	1
SPNCRNA.635	0	10	10	100	506	300	0	0	0.0197628458498024	1.33545546358819	0.00929728784483565	0.525639636497703	0	0.0470442764948684	2.65973656067838	1	99	1
SPAC18B11.09c	14	338	84	100	960	300	0.14	9.46036650405873	0.352083333333333	23.7916955236001	0.0232998251301034	0.0722490810658248	0.397633136094675	0.223678321248993	0.693591178231918	29	85	1
SPAC18B11.08c	341	735	318	100	553	300	3.41	230.427498420288	1.32911392405063	89.8136060511905	0.407172642702181	0.528580343954639	2.56561904761905	2.25166471414306	2.92304930206915	251	190	4.10312926233227e-11
SPAC18B11.07c	186	1160	110	100	957	300	1.86	125.687726411066	1.21212121212121	81.9079351000756	0.136917487632268	0.187713986566459	1.5345	1.3103003566408	1.79642285144101	156	130	1
SPAC18B11.03c	66	718	431	100	1723	300	0.66	44.5988706619912	0.416715031921068	28.1591209265988	0.0708338968979936	0.119076435638284	1.58381615598886	1.22046804355243	2.05168698604763	48	118	1
SPAC18B11.02c	205	1170	102	100	1187	300	2.05	138.526795238003	0.985678180286436	66.6062631468812	0.150614730027033	0.203768360846468	2.07978632478632	1.78779684542089	2.41873044324757	151	154	2.52150843412944e-05
SPAC12G12.16c	73	284	54	100	1991	300	0.73	49.3290539140205	0.142641888498242	9.63888960017464	0.197051420489853	0.334847191716851	5.11771126760563	3.92329378195298	6.6668075870825	21	152	1.56509901083075e-16
SPNCRNA.637	12	128	94	100	1253	300	0.12	8.10888557490749	0.102154828411812	6.90301512096408	0.0493874363479572	0.173885343347516	1.1746875	0.618824577439904	2.17878335214437	10	102	1
SPAC12G12.14c	5	705	454	100	1844	300	0.05	3.37870232287812	0.382321041214751	25.8349798007492	0.00260225406463125	0.0176575197776719	0.130780141843972	0.0479855649518002	0.32560466470027	29	76	1
SPAC12G12.13c	63	1908	116	100	2129	300	0.63	42.5716492682643	0.896195396899953	60.559549385171	0.0254716445093478	0.0427179130804033	0.702971698113207	0.542291311604015	0.909464369481786	77	86	1
