Cdk9as_3MBPP1_18C_combined_pr_counts	Cdk9as_3MBPP1_18C_combinedgb_counts	Cdk9as_3MBPP1_18C_combinedterm_counts	Cdk9as_3MBPP1_18C_combinedpr_map	Cdk9as_3MBPP1_18C_combinedgb_map	Cdk9as_3MBPP1_18C_combinedterm_map	Cdk9as_3MBPP1_18C_combinedpr_density	Cdk9as_3MBPP1_18C_combinedpr_densityRPKM	Cdk9as_3MBPP1_18C_combinedgb_density	Cdk9as_3MBPP1_18C_combinedgb_densityRPKM	Cdk9as_3MBPP1_18C_combinedpause_index_CI_low	Cdk9as_3MBPP1_18C_combinedpause_index_CI_high	Cdk9as_3MBPP1_18C_combinedpause_index_scaled	Cdk9as_3MBPP1_18C_combinedpause_index_CI_low_scaled	Cdk9as_3MBPP1_18C_combinedpause_index_CI_high_scaled	Cdk9as_3MBPP1_18C_combined_ExpPR	Cdk9as_3MBPP1_18C_combined_ExpGB	Cdk9as_3MBPP1_18C_combinedFexact_Pval
SPAC212.08c	0	5	3	0	437	300	NA	NA	0.011441647597254	1.48996257493231	0.0190383591688732	1.16008855872718	NA	NA	NA	0	0	1
SPAC212.07c	2	8	4	100	690	300	0.02	2.60445458098167	0.0115942028985507	1.50982874259807	0.0367281083767776	1.26151517249186	1.725	0.253423947799766	8.70445469019382	1	101	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	85	0	0	598	35	NA	NA	0.142140468227425	18.5099196808898	0.0010721024831893	0.0569495677054597	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	2	0	0	34	0	NA	NA	0.0588235294117647	7.66016053229904	0.0514242900386907	4.05388820080272	NA	NA	NA	0	0	1
SPAC977.02	0	4	1	0	166	0	NA	NA	0.0240963855421687	3.13789708552009	0.0240893601812892	1.52670069174082	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	1	0	0	0	34	0	NA	NA	0	0	0.0577765545925511	8.27870929775896	NA	NA	NA	0	1	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
