Cdk9as_spt5_T1A_1min_3MBPP1_r1_pr_counts	Cdk9as_spt5_T1A_1min_3MBPP1_r1gb_counts	Cdk9as_spt5_T1A_1min_3MBPP1_r1term_counts	Cdk9as_spt5_T1A_1min_3MBPP1_r1pr_map	Cdk9as_spt5_T1A_1min_3MBPP1_r1gb_map	Cdk9as_spt5_T1A_1min_3MBPP1_r1term_map	Cdk9as_spt5_T1A_1min_3MBPP1_r1pr_density	Cdk9as_spt5_T1A_1min_3MBPP1_r1pr_densityRPKM	Cdk9as_spt5_T1A_1min_3MBPP1_r1gb_density	Cdk9as_spt5_T1A_1min_3MBPP1_r1gb_densityRPKM	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_CI_low	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_CI_high	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_scaled	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_CI_low_scaled	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_CI_high_scaled	Cdk9as_spt5_T1A_1min_3MBPP1_r1_ExpPR	Cdk9as_spt5_T1A_1min_3MBPP1_r1_ExpGB	Cdk9as_spt5_T1A_1min_3MBPP1_r1Fexact_Pval
SPAC212.08c	0	0	1	0	437	300	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC212.07c	0	2	1	100	690	300	0	0	0.00289855072463768	2.76325354148591	0.0514242900386907	4.05388820080272	0	0.354827601266966	27.9718285855388	0	100	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	18	0	0	598	35	NA	NA	0.0301003344481605	28.6953252385075	0.00511285240857114	0.280011224227739	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.02	0	0	0	0	166	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	45	3	100	2712	300	0	0	0.0165929203539823	15.8184038464486	0.00202982372305869	0.108604324102592	0	0.0550488193693516	2.94534926966229	1	99	1
SPNCRNA.19	0	1	0	100	225	300	0	0	0.00444444444444444	4.23698876361172	0.120791776113059	17.3080587281839	0	0.271781496254383	38.9431321384138	0	100	1
SPAC977.11	0	4	0	100	105	0	0	0	0.0380952380952381	36.3170465452434	0.0240893601812892	1.52670069174082	0	0.0252938281903537	1.60303572632786	3	97	1
SPAC977.12	0	19	3	0	377	300	NA	NA	0.0503978779840849	48.0454296138995	0.00484054272324269	0.264551414760663	NA	NA	NA	0	0	1
SPAC977.15	5	2	0	100	712	300	0.05	47.6661235906319	0.00280898876404494	2.67787211183325	0.433815156497564	18.5601677038827	17.8	3.08876391426266	132.148394051645	0	105	1
SPAC977.17	7	122	8	100	3396	300	0.07	66.7325730268846	0.035924617196702	34.2477448648827	0.0245742223077299	0.12702918280806	1.94852459016393	0.834540589570506	4.31391104816173	3	104	1
SPNCRNA.137	0	4	3	100	155	300	0	0	0.0258064516129032	24.6018702403261	0.0240893601812892	1.52670069174082	0	0.0373385082809983	2.36638607219827	2	98	1
SPAC1F8.01	0	11	1	100	1598	300	0	0	0.00688360450563204	6.56229486228975	0.00843437698064696	0.473726222726494	0	0.134781344150738	7.57014503916938	0	100	1
SPNCRNA.139	0	4	10	100	685	300	0	0	0.00583941605839416	5.56684655073073	0.0240893601812892	1.52670069174082	0	0.165012117241831	10.4578997384246	0	100	1
SPNCRNA.605	0	160	10	100	2889	300	0	0	0.0553824852890273	52.7973677708626	0.000568854652685002	0.0301030296229733	0	0.0164342109160697	0.869676525807698	5	95	1
SPAC1F8.05	0	5	0	100	977	300	0	0	0.00511770726714432	4.87882534192752	0.0190383591688732	1.16008855872718	0	0.186004769079891	11.3340652187646	0	100	1
SPAC1F8.06	2	37	1	100	1314	300	0.02	19.0664494362528	0.028158295281583	26.8439356598688	0.0090128876830177	0.228949768930256	0.71027027027027	0.118429344154853	3.00839996374357	2	100	1
SPAC1F8.08	0	16	4	100	957	300	0	0	0.0167189132706374	15.9385157251852	0.00576104614150375	0.317064970660191	0	0.0551332115741909	3.03431176921803	1	99	1
SPAC11D3.19	3	33	3	100	1210	300	0.03	28.5996741543791	0.0272727272727273	25.9997037767083	0.0222566461165473	0.308749155677299	1.1	0.269305418010222	3.73586478369532	2	101	1
SPNCRNA.608	0	54	1	100	2549	300	0	0	0.0211847783444488	20.1959252561328	0.00169011755890912	0.0901972480139864	0	0.0430810965765934	2.29912785187651	2	98	1
