dis2ts_3MBPP1_18Cr2_pr_counts	dis2ts_3MBPP1_18Cr2gb_counts	dis2ts_3MBPP1_18Cr2term_counts	dis2ts_3MBPP1_18Cr2pr_map	dis2ts_3MBPP1_18Cr2gb_map	dis2ts_3MBPP1_18Cr2term_map	dis2ts_3MBPP1_18Cr2pr_density	dis2ts_3MBPP1_18Cr2pr_densityRPKM	dis2ts_3MBPP1_18Cr2gb_density	dis2ts_3MBPP1_18Cr2gb_densityRPKM	dis2ts_3MBPP1_18Cr2pause_index_CI_low	dis2ts_3MBPP1_18Cr2pause_index_CI_high	dis2ts_3MBPP1_18Cr2pause_index_scaled	dis2ts_3MBPP1_18Cr2pause_index_CI_low_scaled	dis2ts_3MBPP1_18Cr2pause_index_CI_high_scaled	dis2ts_3MBPP1_18Cr2_ExpPR	dis2ts_3MBPP1_18Cr2_ExpGB	dis2ts_3MBPP1_18Cr2Fexact_Pval
SPAC212.08c	0	42	20	0	437	300	NA	NA	0.0961098398169336	48.8026249249419	0.00217558502762114	0.116531237016716	NA	NA	NA	0	0	1
SPAC212.07c	15	121	19	100	690	300	0.15	76.1669539007128	0.17536231884058	89.0454243670169	0.0696821120811915	0.216989519227134	0.855371900826446	0.480806573360221	1.49722768266722	17	98	1
SPAC212.06c	0	0	0	20	55	0	0	0	0	0	NA	NA	NA	NA	NA	0	20	1
SPAC212.04c	0	14	0	0	598	35	NA	NA	0.0234113712374582	11.887818891973	0.0065974714867639	0.365411596620526	NA	NA	NA	0	0	1
SPAC212.01c	0	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.01	0	1	0	0	34	0	NA	NA	0.0294117647058824	14.934696843277	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC977.02	0	1	0	0	166	0	NA	NA	0.00602409638554217	3.05891381127361	0.120791776113059	17.3080587281839	NA	NA	NA	0	0	1
SPAC977.03	0	0	0	0	63	4	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.06	0	0	0	0	34	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.136	0	0	0	0	35	15	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC977.10	0	248	28	100	2712	300	0	0	0.0914454277286136	46.4341311882418	0.000366821864976028	0.0193822407025615	0	0.00994820897814988	0.525646367853468	8	92	1
SPNCRNA.19	0	2	2	100	225	300	0	0	0.00888888888888889	4.51359726819039	0.0514242900386907	4.05388820080272	0	0.115704652587054	9.12124845180613	0	100	1
SPAC977.11	4	5	0	100	105	0	0.04	20.3111877068568	0.0476190476190476	24.1799853653057	0.181238005776631	3.41444135261595	0.84	0.190299906065463	3.58516342024674	4	100	1
SPAC977.12	0	2	4	0	377	300	NA	NA	0.00530503978779841	2.69379147305792	0.0514242900386907	4.05388820080272	NA	NA	NA	0	0	1
SPAC977.15	3	4	0	100	712	300	0.03	15.2333907801426	0.00561797752808989	2.85269490264842	0.133893566820236	3.94140253599159	5.34	0.95332219576008	28.0627860562601	0	103	1
SPAC977.17	14	593	42	100	3396	300	0.14	71.0891569739986	0.174617196702002	88.6670664764874	0.013346799776494	0.0409686145929083	0.801753794266442	0.453257320409737	1.39129415157516	16	98	1
SPNCRNA.137	1	4	0	100	155	300	0.01	5.07779692671419	0.0258064516129032	13.1039920689398	0.0106420142837121	2.34682041637603	0.3875	0.0164951221397538	3.63757164538284	2	99	1
SPAC1F8.01	0	6	0	100	1598	300	0	0	0.00375469336670839	1.9065570438226	0.0157393406208896	0.93492067967121	0	0.251514663121815	14.9400324611459	0	100	1
SPNCRNA.139	0	2	2	100	685	300	0	0	0.00291970802919708	1.48256844575597	0.0514242900386907	4.05388820080272	0	0.352256386765032	27.7691341754987	0	100	1
SPNCRNA.605	0	127	36	100	2889	300	0	0	0.0439598476981655	22.3219179540568	0.000716926601156283	0.0379810994690606	0	0.020712009507405	1.09727396366116	4	96	1
SPAC1F8.05	0	16	9	100	977	300	0	0	0.0163766632548618	8.31573703453705	0.00576104614150375	0.317064970660191	0	0.0562854208024916	3.09772476335006	1	99	1
SPAC1F8.06	1	80	12	100	1314	300	0.01	5.07779692671419	0.060882800608828	30.915049782126	0.000645199401115408	0.0826610619985175	0.16425	0.00847792013065647	1.08616635466052	5	96	1
SPAC1F8.08	3	64	19	100	957	300	0.03	15.2333907801426	0.0668756530825496	33.9580985694575	0.0117724287195558	0.154388336239339	0.44859375	0.112662142846149	1.47749637781047	6	97	1
SPAC11D3.19	12	77	1	100	1210	300	0.12	60.9335631205703	0.0636363636363636	32.3132531699994	0.0806371479763951	0.294584404156089	1.88571428571429	0.97570949051438	3.56447129028868	6	106	1
SPNCRNA.608	0	164	3	100	2549	300	0	0	0.0643389564535112	32.6700155347637	0.000554961309371332	0.029364742413766	0	0.0141459637758753	0.748507284126894	6	94	1
SPAC11D3.05	9	376	51	100	1753	300	0.09	45.7001723404277	0.214489446662864	108.913385307732	0.0115831114962764	0.047657711438174	0.419601063829787	0.203051944529726	0.835439681511191	19	90	1
SPAC11D3.06	4	420	41	100	1521	300	0.04	20.3111877068568	0.276134122287968	140.215299751477	0.00303553323796166	0.0263411311361841	0.144857142857143	0.0461704605493968	0.400648604581361	22	82	1
SPAC11D3.09	0	47	18	100	1729	300	0	0	0.0271833429728167	13.8031495405186	0.00194303656715677	0.1038928146097	0	0.0335951022461405	1.79630676460172	2	98	1
SPAC11D3.10	1	134	1	100	4126	300	0.01	5.07779692671419	0.0324769752787203	16.4911485259259	0.000386938729982782	0.0489933860550234	0.307910447761194	0.0159650919990896	2.02146710863026	3	98	1
SPAC11D3.13	0	20	13	100	920	300	0	0	0.0217391304347826	11.0386889711178	0.00459577388787386	0.250708753220746	0	0.0422811197684395	2.30652052963087	2	98	1
SPNCRNA.609	3	85	3	100	4138	300	0.03	15.2333907801426	0.0205413243112615	10.4304673458363	0.00892465873441193	0.11530530193966	1.46047058823529	0.369302378429966	4.77133339426314	2	101	1
SPNCRNA.147	0	2	2	100	333	300	0	0	0.00600600600600601	3.04972788391243	0.0514242900386907	4.05388820080272	0	0.17124288582884	13.4994477086731	0	100	1
SPAC11D3.15	8	1263	47	100	3921	300	0.08	40.6223754137135	0.322111706197399	163.561783178781	0.00293820349290539	0.0130569401006858	0.248361045130641	0.11520695895682	0.511962621347892	26	82	1
SPAC11D3.17	7	454	130	100	3291	300	0.07	35.5445784869993	0.137951990276512	70.0492192260177	0.00671443949771464	0.0335297116636013	0.507422907488987	0.220972203869789	1.10346281084912	12	95	1
SPNCRNA.611	66	107	35	100	1474	300	0.66	335.134597163136	0.0725915875169607	36.8605339998927	0.448672118420232	0.847214735190196	9.09196261682243	6.61342702551422	12.4879451967035	11	155	1.57566884190471e-24
SPAC5H10.01	4	8	9	100	687	300	0.04	20.3111877068568	0.0116448326055313	5.9130095216468	0.127050858421533	1.82191715979488	3.435	0.872839397355931	12.5165708877908	1	103	1
SPNCRNA.613	1	5	13	100	416	300	0.01	5.07779692671419	0.0120192307692308	6.10312130614686	0.00883974757390515	1.74105855180368	0.832	0.0367733499074454	7.24280357550331	1	100	1
SPAC5H10.03	0	416	183	100	3193	300	0	0	0.130284998434075	66.1560764645507	0.000218603068041745	0.0115377431021699	0	0.00697999596257291	0.368400137252284	11	89	1
SPAC5H10.04	33	703	29	100	2498	300	0.33	167.567298581568	0.28142514011209	142.901971156128	0.0325592815176101	0.0673264768661243	1.17260312944523	0.8133308523099	1.68181539211578	29	104	1
SPAC5H10.07	4	20	6	100	453	300	0.04	20.3111877068568	0.0441501103752759	22.4185294777668	0.0579647536940266	0.617796832978937	0.906	0.26258033423394	2.79861965339458	4	100	1
SPNCRNA.614	8	96	19	100	1475	300	0.08	40.6223754137135	0.0650847457627119	33.0487122009873	0.0375717923239619	0.177078557426065	1.22916666666667	0.554183936778438	2.61190872203445	6	102	1
SPAC5H10.10	4	87	27	100	1554	300	0.04	20.3111877068568	0.055984555984556	28.4278206321837	0.0143780952509757	0.129938094864998	0.71448275862069	0.223435600200162	2.01923799420206	5	99	1
SPAC5H10.11	5	86	12	100	1565	300	0.05	25.3889846335709	0.0549520766773163	27.9035486068639	0.0208284195769369	0.148634168020504	0.909883720930233	0.325964766379063	2.32612472952089	5	100	1
SPNCRNA.616	1	2	1	100	497	300	0.01	5.07779692671419	0.00402414486921529	2.04337904495541	0.0179700152612445	6.97865092307548	2.485	0.0893109758483854	34.6838950876852	0	101	1
SPNCRNA.617	7	178	3	100	3975	300	0.07	35.5445784869993	0.0447798742138365	22.7383107661667	0.0169632135434974	0.0863995083710754	1.56320224719101	0.674287738354022	3.43438045775025	4	103	1
SPSNORNA.49	4	10	25	100	159	300	0.04	20.3111877068568	0.0628930817610063	31.9358297277622	0.105971553517581	1.38077252419944	0.636	0.168494770092954	2.19542831347711	6	98	1
SPNCRNA.141	6	22	18	100	604	300	0.06	30.4667815602851	0.0364238410596026	18.4952868191576	0.099238444329978	0.708298164460976	1.64727272727273	0.599400203753067	4.2781209133443	3	103	1
SPAC13G6.03	6	215	12	100	3896	300	0.06	30.4667815602851	0.0551848049281314	28.0217232865388	0.0112080254550858	0.0649109955905933	1.08725581395349	0.436664671730142	2.52893238820951	5	101	1
SPAC13G6.04	4	30	39	100	505	300	0.04	20.3111877068568	0.0594059405940594	30.165130257708	0.0399036842115003	0.396477875317764	0.673333333333333	0.201513605268076	2.00221327035471	5	99	1
SPAC13G6.08	0	20	10	100	2130	300	0	0	0.00938967136150235	4.76788443822929	0.00459577388787386	0.250708753220746	0	0.0978899838117133	5.3400964436019	0	100	1
SPAC13G6.09	3	70	1	100	1572	300	0.03	15.2333907801426	0.044529262086514	22.6110550171751	0.0107888205887194	0.140758323650804	0.673714285714286	0.169600259654669	2.21272084779065	4	99	1
SPAC13G6.13	0	0	0	100	147	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC13G6.14	10	252	43	100	1272	300	0.1	50.7779692671419	0.19811320754717	100.597863642451	0.0198997748532589	0.0766796911076079	0.504761904761905	0.253125136133453	0.975365670888772	18	92	1
SPAC24B11.05	15	286	28	100	1489	300	0.15	76.1669539007128	0.192075218267293	97.531895301562	0.0300398211932007	0.0900272309145814	0.780944055944056	0.447292937566758	1.34050546831812	18	97	1
SPNCRNA.622	11	93	3	100	2388	300	0.11	55.8557661938561	0.0389447236180905	19.7753397899673	0.0599554122833601	0.227357679357103	2.82451612903226	1.43173524532664	5.42930138304763	4	107	1
SPNCRNA.142	4	81	26	100	597	300	0.04	20.3111877068568	0.135678391959799	68.894732171499	0.0154160419382817	0.139843211786121	0.294814814814815	0.0920337703715417	0.834863974363143	12	92	1
SPAC24B11.09	4	392	47	100	2741	300	0.04	20.3111877068568	0.143013498723094	72.6193504294769	0.00325118960440283	0.0282340673646828	0.27969387755102	0.0891151070566816	0.773895786465954	13	91	1
