V4	Mcs6as_Cdk9as_3MBPP1r2_pr_counts	Mcs6as_Cdk9as_3MBPP1r2gb_counts	Mcs6as_Cdk9as_3MBPP1r2term_counts	Mcs6as_Cdk9as_3MBPP1r2pr_map	Mcs6as_Cdk9as_3MBPP1r2gb_map	Mcs6as_Cdk9as_3MBPP1r2term_map	Mcs6as_Cdk9as_3MBPP1r2pr_density	Mcs6as_Cdk9as_3MBPP1r2pr_densityRPKM	Mcs6as_Cdk9as_3MBPP1r2gb_density	Mcs6as_Cdk9as_3MBPP1r2gb_densityRPKM	Mcs6as_Cdk9as_3MBPP1r2pause_index_CI_low	Mcs6as_Cdk9as_3MBPP1r2pause_index_CI_high	Mcs6as_Cdk9as_3MBPP1r2pause_index_scaled	Mcs6as_Cdk9as_3MBPP1r2pause_index_CI_low_scaled	Mcs6as_Cdk9as_3MBPP1r2pause_index_CI_high_scaled	Mcs6as_Cdk9as_3MBPP1r2_ExpPR	Mcs6as_Cdk9as_3MBPP1r2_ExpGB	Mcs6as_Cdk9as_3MBPP1r2Fexact_Pval
SPAC1002.01	30	81	91	100	481	300	0.3	65.4619628900496	0.168399168399168	36.7458003748719	0.238283371509797	0.573067373101148	1.78148148148148	1.14614301696212	2.75645406461652	18	112	1
SPAC1002.02	24	398	62	100	837	300	0.24	52.3695703120397	0.475507765830346	103.758905735722	0.0390144432214452	0.0924297069829711	0.504723618090452	0.326550889763496	0.773636647447468	39	85	1
SPAC1002.03c	10	473	5	100	2955	300	0.1	21.8206542966832	0.160067681895093	34.9278155070429	0.0106675517371441	0.0405885107101476	0.624735729386892	0.315226153832608	1.19939049148486	15	95	1
SPAC1002.04c	24	238	47	100	641	300	0.24	52.3695703120397	0.371294851794072	81.0189660313667	0.0646982417563088	0.155900105114696	0.646386554621849	0.414715729657939	0.999319673785198	33	91	1
SPAC1002.05c	14	109	70	100	2086	300	0.14	30.5489160153565	0.0522531160115053	11.4019718041154	0.0705575938552256	0.229647251276211	2.67926605504587	1.47183140782001	4.79044166162176	5	109	1
SPAC1002.06c	9	17	30	100	311	300	0.09	19.6385888670149	0.0546623794212219	11.9276888438461	0.218666934512536	1.25403133384207	1.64647058823529	0.680054166333986	3.90003744824883	5	104	1
SPAC1002.07c	13	238	28	100	1084	300	0.13	28.3668505856882	0.219557195571956	47.9088166292491	0.029898520953712	0.0977110207081912	0.592100840336134	0.324099967138239	1.05918746447679	20	93	1
SPAC1002.08c	12	383	22	100	1783	300	0.12	26.1847851560199	0.214806505888951	46.8721850568125	0.0168154526282953	0.0569917716539689	0.55864229765013	0.299819520362505	1.01616328859027	19	93	1
SPAC1002.09c	46	1863	41	100	2132	300	0.46	100.375009764743	0.873827392120075	190.674854384244	0.0182144502690479	0.0333649040298793	0.52641975308642	0.3883320797361	0.711339753917027	68	78	1
SPAC1002.10c	57	159	198	100	1806	300	0.57	124.377729491094	0.0880398671096345	19.2108750452527	0.261822272231382	0.489991510147436	6.47433962264151	4.72851023649875	8.8492466732627	12	145	1.118276232398e-16
SPAC1002.11	6	372	32	100	1871	300	0.06	13.0923925780099	0.198824158204169	43.3847322200222	0.00651074641122702	0.0373093517170789	0.301774193548387	0.121816065354058	0.698057970626547	17	89	1
SPAC1002.12c	62	409	11	100	1692	300	0.62	135.288056639436	0.241725768321513	52.7461442514387	0.114963528901267	0.199508914970344	2.56488997555012	1.94518290900944	3.37569084129821	31	131	0.000583097403470763
SPAC1002.13c	342	5118	277	100	1829	300	3.42	746.266376946566	2.79825041006014	610.596548334744	0.0597996430664287	0.074659894256468	1.22219226260258	1.09373547168498	1.3655294659508	325	117	1
SPAC1002.14	18	532	77	100	1485	300	0.18	39.2771777340298	0.358249158249158	78.1723103423264	0.0205036516690826	0.0551091036247668	0.502443609022556	0.304479227285877	0.818370188827787	31	87	1
SPAC1002.15c	2	179	0	100	2754	300	0.02	4.36413085933664	0.0649963689179375	14.18263296698	0.00191988555821046	0.0455245809022172	0.307709497206704	0.0528736482731162	1.25374695804706	6	96	1
SPAC1002.16c	49	171	5	100	1906	300	0.49	106.921206053748	0.0897166841552991	19.576767495975	0.205884522348736	0.397871618185174	5.46163742690058	3.9241589959669	7.58343304260941	12	137	3.61696178533719e-12
SPAC1002.17c	15	569	74	100	990	300	0.15	32.7309814450248	0.574747474747475	125.413659543563	0.0152053721988625	0.0449235218115889	0.260984182776801	0.150533184768738	0.44474286593473	41	74	1
SPAC1002.18	8	373	11	100	1505	300	0.08	17.4565234373466	0.247840531561462	54.0804255990886	0.00989262876796431	0.0444789462856461	0.322788203753351	0.148884062957863	0.669408141598974	21	87	1
SPAC1002.19	49	664	20	100	1563	300	0.49	106.921206053748	0.424824056301983	92.6993886948027	0.0545862842108077	0.0994829945963962	1.1534186746988	0.853183622214924	1.55491920554167	44	105	1
SPAC1002.20	0	17	83	100	548	300	0	0	0.031021897810219	6.76918107743822	0.00541762860743838	0.297388981119444	0	0.0296886047687623	1.62969161653455	3	97	1
SPAC1006.01	181	2122	120	100	1664	300	1.81	394.953842769966	1.27524038461538	278.265795778617	0.073062907063705	0.0995405603609109	1.41934024505184	1.21576677354005	1.65635492440556	157	124	1
SPAC1006.02	47	189	13	100	1217	300	0.47	102.557075194411	0.155299917830731	33.887458192877	0.178292101031182	0.345938378919536	3.02640211640212	2.16981486954948	4.21007007145076	19	128	0.000326208889055085
SPAC1006.03c	43	1037	20	100	2770	300	0.43	93.8288134757378	0.374368231046931	81.6895974933592	0.0301787901889249	0.0567752709745145	1.14860173577628	0.83595248823322	1.57267500599405	38	105	1
SPAC1006.04c	2	79	49	100	3993	300	0.02	4.36413085933664	0.0197846230904082	4.31713420845974	0.00430672637634489	0.104481113335973	1.01088607594937	0.171967584207452	4.17193085550538	1	101	1
SPAC1006.05c	191	621	5	100	2032	300	1.91	416.774497066649	0.305610236220472	66.6861531409463	0.260638514395587	0.362839870240291	6.24979066022544	5.29617461251833	7.37290616328272	68	223	7.80496309292643e-43
SPAC1006.06	37	1478	0	100	4139	300	0.37	80.7364208977279	0.357091084803093	77.9196111391587	0.0178026377494903	0.0350468076973327	1.036150202977	0.736851176451403	1.4505873705926	36	101	1
SPAC1006.07	584	2437	407	100	1302	300	5.84	1274.3262109263	1.87173579109063	408.424996321175	0.218715649036076	0.262548156973299	3.12009848173984	2.84767775044971	3.41837700379236	445	239	1.12643140406905e-24
SPAC1006.08	9	207	241	100	1457	300	0.09	19.6385888670149	0.142072752230611	31.0012041140249	0.0208963907867612	0.0871959002948826	0.633478260869565	0.304460413763111	1.27044426729644	13	96	1
SPAC1006.09	210	896	9	100	4844	300	2.1	458.233740230348	0.184971098265896	40.3619039013794	0.201083136765492	0.273102680410943	11.353125	9.74046714492043	13.2290938391061	48	262	1.96390847238052e-83
SPAC1039.01	0	334	1	100	2977	300	0	0	0.112193483372523	24.4813521501249	0.000272307822907933	0.0143780550844009	0	0.00810660388796917	0.428034699862614	10	90	1
SPAC1039.02	0	466	38	100	2733	300	0	0	0.170508598609587	37.2060918487171	0.000195136611481627	0.010297379737157	0	0.00533308359179288	0.281427388216501	14	86	1
SPAC1039.03	9	290	13	100	1499	300	0.09	19.6385888670149	0.19346230820547	42.2147414678995	0.0149807038990611	0.0619538341699518	0.465206896551724	0.224560751446927	0.928687974207577	17	92	1
SPAC1039.04	20	237	4	100	1844	300	0.2	43.6413085933664	0.128524945770065	28.0449841014855	0.0519510390729976	0.135604626275869	1.55611814345992	0.957977160506075	2.50054930852702	13	107	1
SPAC1039.05c	2	362	4	100	3153	300	0.02	4.36413085933664	0.114811290834126	25.0525748664742	0.000953172461992655	0.0223956925184155	0.174198895027624	0.0300535277266284	0.70613618510564	10	92	1
SPAC1039.06	6	235	4	100	1966	300	0.06	13.0923925780099	0.119532044760936	26.0826742610405	0.0102646324180465	0.0593207267982468	0.501957446808511	0.201802673338794	1.16624548885353	11	95	1
SPAC1039.07c	10	251	21	100	1430	300	0.1	21.8206542966832	0.175524475524476	38.3005890102622	0.0199780117543979	0.0769894303160605	0.569721115537849	0.285685568087891	1.10094885351967	16	94	1
SPAC1039.08	5	57	2	100	995	300	0.05	10.9103271483416	0.057286432160804	12.500274320713	0.0310027646069383	0.227678871249599	0.87280701754386	0.308477507839036	2.26540476893351	5	100	1
SPAC1039.09	0	142	6	100	3060	300	0	0	0.0464052287581699	10.1259245429053	0.000641076103730268	0.0339433348565579	0	0.0196169287741462	1.03866604661067	4	96	1
SPAC1039.10	0	20	2	100	888	300	0	0	0.0225225225225225	4.91456177853226	0.00459577388787386	0.250708753220746	0	0.0408104721243199	2.22629372860023	2	98	1
SPAC1039.11c	0	456	24	100	3471	300	0	0	0.131374243733794	28.6667195600333	0.000199418009787792	0.0105236484071604	0	0.00692179911973427	0.365275836212539	11	89	1
SPAC105.01c	19	424	4	100	3151	300	0.19	41.4592431636981	0.134560456997778	29.3619721415223	0.0274732230152874	0.072222675024347	1.41200471698113	0.865681257211706	2.27573649001717	14	105	1
SPAC105.02c	32	701	59	100	1418	300	0.32	69.8260937493863	0.494358251057828	107.872204950458	0.0314821650383675	0.0658315210319609	0.647303851640514	0.446417100244051	0.933490968233206	43	89	1
SPAC105.03c	6	722	5	100	2487	294	0.06	13.0923925780099	0.290309609971854	63.3474563820076	0.00336596234554647	0.0191525868228802	0.206675900277008	0.0837114835337406	0.47632483428503	23	83	1
