V4	CDK9as_dis2ts_3MBPP1_30Cr2_pr_counts	CDK9as_dis2ts_3MBPP1_30Cr2gb_counts	CDK9as_dis2ts_3MBPP1_30Cr2term_counts	CDK9as_dis2ts_3MBPP1_30Cr2pr_map	CDK9as_dis2ts_3MBPP1_30Cr2gb_map	CDK9as_dis2ts_3MBPP1_30Cr2term_map	CDK9as_dis2ts_3MBPP1_30Cr2pr_density	CDK9as_dis2ts_3MBPP1_30Cr2pr_densityRPKM	CDK9as_dis2ts_3MBPP1_30Cr2gb_density	CDK9as_dis2ts_3MBPP1_30Cr2gb_densityRPKM	CDK9as_dis2ts_3MBPP1_30Cr2pause_index_CI_low	CDK9as_dis2ts_3MBPP1_30Cr2pause_index_CI_high	CDK9as_dis2ts_3MBPP1_30Cr2pause_index_scaled	CDK9as_dis2ts_3MBPP1_30Cr2pause_index_CI_low_scaled	CDK9as_dis2ts_3MBPP1_30Cr2pause_index_CI_high_scaled	CDK9as_dis2ts_3MBPP1_30Cr2_ExpPR	CDK9as_dis2ts_3MBPP1_30Cr2_ExpGB	CDK9as_dis2ts_3MBPP1_30Cr2Fexact_Pval
SPAC1002.01	23	50	47	100	481	300	0.23	103.426985719431	0.103950103950104	46.7445474642644	0.272456610936471	0.771989336554125	2.2126	1.31051629860443	3.71326870882534	11	112	1
SPAC1002.02	18	129	21	100	837	300	0.18	80.9428583891202	0.154121863799283	69.3059122009592	0.0824459342554217	0.233289361892386	1.16790697674419	0.69007246971788	1.95263195903927	15	103	1
SPAC1002.03c	2	294	12	100	2955	300	0.02	8.99365093212447	0.099492385786802	44.739989408538	0.00117256191169477	0.0276076525119946	0.201020408163265	0.0346492044905804	0.815806131729441	9	93	1
SPAC1002.04c	18	119	22	100	641	300	0.18	80.9428583891202	0.185647425897036	83.4824072482692	0.0891304612611032	0.253611353517618	0.969579831932773	0.571326256683672	1.62564877604793	18	100	1
SPAC1002.05c	13	85	69	100	2086	300	0.13	58.458731058809	0.0407478427612656	18.3235937015959	0.0814384102480777	0.28161527481468	3.19035294117647	1.6988052377749	5.87449463263423	4	109	1
SPAC1002.06c	0	17	26	100	311	300	0	0	0.0546623794212219	24.5807179816907	0.00541762860743838	0.297388981119444	0	0.0168488249691334	0.924879731281469	5	95	1
SPAC1002.07c	24	201	14	100	1084	300	0.24	107.923811185494	0.185424354243542	83.3820958190506	0.0763184425449365	0.185316738456077	1.29432835820896	0.827291917187111	2.00883344486388	19	105	1
SPAC1002.08c	5	182	26	100	1783	300	0.05	22.4841273303112	0.102075154234436	45.9014153013644	0.00998354073627729	0.06912901130528	0.489835164835165	0.178006531327824	1.23257027157314	9	96	1
SPAC1002.09c	15	639	16	100	2132	300	0.15	67.4523819909335	0.299718574108818	134.778211670439	0.0135502750579063	0.039969986271624	0.500469483568075	0.288891864234562	0.852160107311024	26	89	1
SPAC1002.10c	5	77	94	100	1806	300	0.05	22.4841273303112	0.0426356589147287	19.1725116770095	0.0231902063366767	0.166587851296784	1.17272727272727	0.418815126440381	3.00857659441992	4	101	1
SPAC1002.11	5	169	8	100	1871	300	0.05	22.4841273303112	0.0903260288615714	40.6180386832986	0.0107408440066457	0.0745283707263783	0.553550295857988	0.200961191364341	1.39442581629054	8	97	1
SPAC1002.12c	40	255	12	100	1692	300	0.4	179.873018642489	0.150709219858156	67.7713057828528	0.11075150915862	0.221369984710325	2.65411764705882	1.87391553496385	3.7455801412987	18	122	0.0199255179546663
SPAC1002.13c	94	3009	128	100	1829	300	0.94	422.70159380985	1.64516129032258	739.800318610238	0.025298112654954	0.0385348710512298	0.571372549019608	0.462702480459109	0.704802791526993	120	74	1
SPAC1002.14	9	187	27	100	1485	300	0.09	40.4714291945601	0.125925925925926	56.626691054117	0.0230939076740074	0.0966874049009345	0.714705882352941	0.34294452895901	1.43580796277888	12	97	1
SPAC1002.15c	1	94	2	100	2754	300	0.01	4.49682546606223	0.0341321713870733	15.3486417505392	0.000550022635457497	0.0701615416299683	0.292978723404255	0.0151476233804995	1.93224885648933	3	98	1
SPAC1002.16c	8	51	3	100	1906	300	0.08	35.9746037284979	0.0267576075550892	12.0324291064624	0.0688994057933437	0.342880636165133	2.98980392156863	1.31322267442113	6.53530492530744	2	106	1
SPAC1002.17c	0	177	3	100	990	300	0	0	0.178787878787879	80.3977886356581	0.00051415016568119	0.0271969441069806	0	0.00509008664024378	0.269249746659108	15	85	1
SPAC1002.18	2	64	8	100	1505	300	0.02	8.99365093212447	0.0425249169435216	19.1227129453809	0.00529396749921369	0.129663211239235	0.4703125	0.0796742108631661	1.95143132915049	4	98	1
SPAC1002.19	8	133	3	100	1563	300	0.08	35.9746037284979	0.0850927703134997	38.264733652353	0.0273494005384782	0.126663547864869	0.94015037593985	0.427471130416414	1.97975125312791	8	100	1
SPAC1002.20	0	10	58	100	548	300	0	0	0.0182481751824818	8.20588588697488	0.00929728784483565	0.525639636497703	0	0.0509491373896994	2.88050520800741	1	99	1
SPAC1006.01	94	789	33	100	1664	300	0.94	422.70159380985	0.474158653846154	213.220870956917	0.0956182595667023	0.148291425576935	1.9824588086185	1.59108783918993	2.4675693216002	62	132	0.0288724602219028
SPAC1006.02	16	67	3	100	1217	300	0.16	71.9492074569957	0.0550534100246508	24.7565576192415	0.133114394198495	0.422693857509232	2.90626865671642	1.62000217739569	5.14418424588736	6	110	1
